"Blast-Off Blue","blast-off-blue","#4c6393"
"Babylon Blue","mp5037","#5b4d65"
"Baffin Blue","mp8972","#aecfd4"
"Balinese Atoll","mp946","#00709b"
"Bambino Blue","mp7797","#a5bfd2"
"Bayville Blue","mp7965","#7facb0"
"Beale Street Blues","mp13702","#303759"
"Beethoven Blue","mp2356","#7385a1"
"Belize Blue","mp359","#27588b"
"Bering Straits Sky","mp955","#c6cfd8"
"Berries","mp5783","#a8c3c9"
"Blue Abyss","mp2103","#1d1a44"
"Blue And Grey","mp4510","#797b89"
"Blue Bangle","mp14188","#2e4672"
"Blue Bike","mp11976","#272362"
"Blue Bottom","mp4105","#004f6f"
"Blue Brigantine","mp4518","#41576b"
"Blue Chic","mp5878","#c0ccd5"
"Blue Collar","mp9460","#455c84"
"Blue Dandy","mp4348","#356b92"
"Blue Eyed Mary","mp7292","#7e7e90"
"Blue Fang","mp3341","#93939b"
"Blue Flag","mp1992","#446b91"
"Blue Frit","mp11988","#5f6585"
"Blue Funk","mp2098","#374f75"
"Blue Glass","mp340","#2c0060"
"Blue Hawaii","mp13728","#00618f"
"Blue Lead","mp6059","#5e6881"
"Blue Lightening","mp2625","#4875a2"
"Blue Nose","mp7455","#7993b3"
"Blue On Violet","mp9130","#37327d"
"Blue Period","mp4520","#4f6f8b"
"Blue Polo","mp14112","#37324e"
"Blue Ribbon","mp5080","#140043"
"Blue Specter","mp6984","#98bfc9"
"Blue Truth","mp5488","#4c7286"
"Blue Valley","mp8065","#667490"
"Blue Veil","mp7922","#ebede5"
"Blue Wonder","mp9971","#3a415b"
"Blues News","mp5040","#00668d"
"Blurple Haze","mp721","#938f9e"
"Bobby Blue","mp1816","#73c2cf"
"Brewster Blue","mp6785","#bebdd3"
"Brezo Blue","mp2844","#6c6290"
"Brindisi Blue","mp4832","#37547e"
"Brittany Blue","mp2641","#2e6972"
"Bushmans Bluey","mp9963","#38728a"
"Calm Blue","mp894","#bac3eb"
"Camille Blue","mp2896","#50a5c9"
"Candy Blue","mp4435","#626389"
"Captain Blue","mp5149","#507189"
"Castaway Blue","mp6783","#74aec7"
"Celeste","mp6855","#ddf4f5"
"Cerulean","mp7837","#aed6d8"
"Ceylon Sapphire","mp8426","#25467c"
"Ciel Bleu","mp4721","#49a1bc"
"Cloister","mp11713","#005a78"
"Coal Blue","mp11611","#5a6d87"
"Commelina Blue","mp67","#b7d4d8"
"Cook Islands Blue","mp2110","#2d3d6f"
"Copenhagen","mp2514","#56a3b4"
"Copenhagen Blue","mp958","#87a1b3"
"Cornwall Blue","mp965","#7084a9"
"Countrified Blue","mp2965","#9abed0"
"Cruiseliner Blue","mp8072","#1e0d4f"
"Cuernavaca Blue","mp2169","#1e185c"
"Cypress Bayou","mp5517","#437a87"
"Czech Flag Blue","mp2306","#312c4f"
"Daisy Blue","mp5753","#8ab1c6"
"Dansk Blue","mp3758","#3e425e"
"Dark Colonial Blue","mp75","#1b3056"
"Debonair","mp1731","#b0d2d5"
"Deepsea Spray","mp745","#c3ced3"
"Diner Door Blue","mp973","#5c76af"
"Diplomat","mp5694","#5f6173"
"Djibouti Flag Blue","mp10273","#375079"
"Dream I Can Fly","mp7932","#30a3bc"
"Dun Blue","mp9468","#466271"
"Faience Blue","mp5576","#8aa9c9"
"Far Nebula","mp6135","#3c3e58"
"Fiord Blue","mp5659","#49828c"
"Fordson Blue","mp12106","#00577b"
"Franco Blue","mp11183","#3c5475"
"Frescoe Sky","mp7694","#63749b"
"Gray Dawn","mp5010","#b3b7c6"
"Grecian Blue","mp5157","#073165"
"Greyblue","mp723","#c2bec0"
"Guantanamo Teal","mp375","#00597d"
"Hardees New Blue","mp4036","#004d73"
"Highway Blue","mp10180","#004d6e"
"Hong Kong Blue","mp4900","#32749b"
"Ice Cave Blue","mp886","#dcd8ef"
"Ice Palace","mp949","#97d4d9"
"Iceberg Blue","mp349","#bce1f4"
"Im So Blue","mp341","#1c0043"
"Impulse","mp10147","#39456d"
"In The Twilight","mp7081","#797884"
"Indanthrone Blue","mp10261","#0f1e5f"
"Indian Teal","mp12446","#4b5570"
"Indiglo","mp3597","#383e5d"
