"R2-4-07","r2-4-07","#cba9a1"
"R2-4-08","r2-4-08","#d4b5ac"
"R2-4-09","r2-4-09","#dec4bc"
"R2-4-10","r2-4-10","#e9d7d0"
"R2-3-03","r2-3-03","#a87064"
"R2-3-04","r2-3-04","#b58174"
"R2-3-05","r2-3-05","#c19083"
"R2-3-06","r2-3-06","#cd9f90"
"R2-3-07","r2-3-07","#d7aea0"
"R2-3-08","r2-3-08","#dfbeb1"
"R2-3-09","r2-3-09","#e9cdc2"
"R2-3-10","r2-3-10","#efd9d0"
"R2-2-02","r2-2-02","#b56051"
"R2-2-03","r2-2-03","#c16e5e"
"R2-2-04","r2-2-04","#d07e6b"
"R2-2-05","r2-2-05","#da8e7b"
"R2-2-06","r2-2-06","#e39e89"
"R2-2-07","r2-2-07","#eab09b"
"R2-2-08","r2-2-08","#f1c1ae"
"R2-1-02","r2-1-02","#c84f3e"
"R2-1-03","r2-1-03","#db604c"
"R2-1-04","r2-1-04","#e5705a"
"R2-1-05","r2-1-05","#ef856e"
"R2-1-06","r2-1-06","#f59981"
"R2-1-07","r2-1-07","#f9ad95"
"B1-2-02","b1-2-02","#819ad6"
"B1-2-03","b1-2-03","#8fa8df"
"B1-2-04","b1-2-04","#9bb3e2"
"B1-2-05","b1-2-05","#acc1e7"
"B1-2-06","b1-2-06","#bdcfeb"
"B1-2-07","b1-2-07","#cddbee"
"B1-3-02","b1-3-02","#8095ba"
"B1-3-03","b1-3-03","#8ca0c2"
"B1-3-04","b1-3-04","#9daecc"
"B1-3-05","b1-3-05","#aebdd8"
"B1-3-06","b1-3-06","#bdcae0"
"B1-3-07","b1-3-07","#ced8e8"
"B1-3-08","b1-3-08","#dee6f0"
"B1-3-09","b1-3-09","#e8eef0"
"B1-4-03","b1-4-03","#8795b1"
"B1-4-04","b1-4-04","#94a2bc"
"B1-4-05","b1-4-05","#a7b3ca"
"B1-4-06","b1-4-06","#b7c1d5"
"B1-4-07","b1-4-07","#c5cedf"
"B1-4-08","b1-4-08","#d4ddea"
"B1-4-09","b1-4-09","#e1e9f1"
"B1-5-03","b1-5-03","#838998"
"B1-5-04","b1-5-04","#9095a3"
"B1-5-05","b1-5-05","#a0a5b2"
"B1-5-06","b1-5-06","#aeb2bc"
"B1-5-07","b1-5-07","#bdc1c9"
"B1-5-08","b1-5-08","#cccfd5"
"B1-5-09","b1-5-09","#dce0e4"
"B1-5-10","b1-5-10","#e7eaec"
"BG-03","bg-03","#75787a"
"BG-04","bg-04","#868a8c"
"BG-05","bg-05","#96989a"
"BG-06","bg-06","#a3a5a7"
"BG-07","bg-07","#b2b4b5"
"BG-08","bg-08","#c2c3c4"
"BG-09","bg-09","#d1d1d0"
"BG-10","bg-10","#dfe0df"
"BG-11","bg-11","#87929a"
"B2-5-03","b2-5-03","#919ba1"
"B2-5-04","b2-5-04","#a2abb0"
"B2-5-05","b2-5-05","#b4bcc0"
"B2-5-06","b2-5-06","#c8ced1"
"B2-5-07","b2-5-07","#d8dcdd"
"B2-5-08","b2-5-08","#e6e8e7"
"B2-5-09","b2-5-09","#e6e8e7"
"B2-4-03","b2-4-03","#8ca4b5"
"B2-4-04","b2-4-04","#9ab1c1"
"B2-4-05","b2-4-05","#acc0cd"
"B2-4-06","b2-4-06","#bdced7"
"B2-4-07","b2-4-07","#cddbe1"
"B2-4-08","b2-4-08","#dce7ea"
"B2-4-09","b2-4-09","#eef3f1"
"B2-3-02","b2-3-02","#7aa7c1"
"B2-3-03","b2-3-03","#8ab6d0"
"B2-3-04","b2-3-04","#9dc2d9"
"B2-3-05","b2-3-05","#b0d0e2"
"B2-3-06","b2-3-06","#c1dae8"
"B2-3-07","b2-3-07","#d3e6ef"
"B2-3-08","b2-3-08","#e5f1f4"
"B2-2-02","b2-2-02","#75b7d4"
"B2-2-03","b2-2-03","#8bc3dd"
"B2-2-04","b2-2-04","#a4d1e6"
"B2-2-05","b2-2-05","#bbdeef"
"B2-2-06","b2-2-06","#cfe9f4"
"G1-2-02","g1-2-02","#86ba5c"
"G1-2-03","g1-2-03","#97c66d"
"G1-2-04","g1-2-04","#a9d27f"
"G1-2-05","g1-2-05","#c0df97"
"G1-2-06","g1-2-06","#d2e9ae"
"G1-2-07","g1-2-07","#e9f6ca"
"G1-3-02","g1-3-02","#93ab74"
"G1-3-03","g1-3-03","#a2b781"
"G1-3-04","g1-3-04","#b4c595"
"G1-3-05","g1-3-05","#c4d3a7"
"G1-3-06","g1-3-06","#d3dfbb"
"G1-3-07","g1-3-07","#e1eace"
"G1-3-08","g1-3-08","#eff4dd"
"G1-4-03","g1-4-03","#9da886"
"G1-4-04","g1-4-04","#abb595"
"G1-4-05","g1-4-05","#bac2a6"
"G1-4-06","g1-4-06","#c6ceb4"
"G1-4-07","g1-4-07","#d4dbc3"
"G1-4-08","g1-4-08","#e2e7d5"
"G1-5-03","g1-5-03","#90987e"
"G1-5-04","g1-5-04","#9fa68d"
"G1-5-05","g1-5-05","#afb69e"
"G1-5-06","g1-5-06","#bec3ac"
"G1-5-07","g1-5-07","#cad0bb"
"G1-5-08","g1-5-08","#d6dcc9"
"G1-5-09","g1-5-09","#e5e9d8"
"GG-03","gg-03","#868b78"
"GG-04","gg-04","#959986"
"GG-05","gg-05","#a4a794"
"GG-06","gg-06","#b2b5a3"
"GG-07","gg-07","#c3c5b3"
"GG-08","gg-08","#cfd1c1"
"GG-09","gg-09","#dbddd0"
"GG-10","gg-10","#e7e8de"
"G2-5-03","g2-5-03","#a1a77a"
"G2-5-04","g2-5-04","#afb388"
"G2-5-05","g2-5-05","#bdc196"
"G2-5-06","g2-5-06","#cacda4"
"G2-5-07","g2-5-07","#d7dab4"
"G2-5-08","g2-5-08","#e2e5c5"
"G2-4-03","g2-4-03","#adb47c"
"G2-4-04","g2-4-04","#bcc28a"
"G2-4-05","g2-4-05","#c9ce98"
"G2-4-06","g2-4-06","#d5daa7"
"G2-4-07","g2-4-07","#e1e5b9"
"G2-4-08","g2-4-08","#eef0ce"
"G2-3-02","g2-3-02","#b2ba64"
"G2-3-03","g2-3-03","#bdc572"
"G2-3-04","g2-3-04","#cbd188"
"G2-3-05","g2-3-05","#dadf9e"
"G2-3-06","g2-3-06","#e6eab2"
"G2-3-07","g2-3-07","#f1f4c8"
"G2-2-02","g2-2-02","#b2c74b"
"G2-2-03","g2-2-03","#c1d35f"
"G2-2-04","g2-2-04","#d0df77"
"G2-2-05","g2-2-05","#dfeb95"
"G2-2-06","g2-2-06","#eff8ba"
"G-03","g-03","#706e6b"
"G-04","g-04","#7e7b78"
"G-05","g-05","#8d8986"
"G-06","g-06","#9d9995"
"G-07","g-07","#adaaa5"
"G-08","g-08","#bbb8b4"
"G-09","g-09","#cbc9c4"
"G-10","g-10","#dbd8d3"
"G-11","g-11","#e7e6e1"
"G-12","g-12","#f6f5ef"
