"ispo 840 040-01","ispo-840-040-01","#d78c62"
"ispo 840 040-02","ispo-840-040-02","#e5a67f"
"ispo 840 040-03","ispo-840-040-03","#ebb797"
"ispo 840 040-04","ispo-840-040-04","#f5d0b5"
"ispo 840 040-05","ispo-840-040-05","#f6e1ce"
"ispo 840 040-10","ispo-840-040-10","#b16d42"
"ispo 840 040-11","ispo-840-040-11","#c6875f"
"ispo 840 040-12","ispo-840-040-12","#d8a17b"
"ispo 840 040-13","ispo-840-040-13","#e2b897"
"ispo 840 040-14","ispo-840-040-14","#eecdb3"
"ispo 840 040-15","ispo-840-040-15","#f2dfce"
"ispo 840 040-20","ispo-840-040-20","#9e6841"
"ispo 840 040-21","ispo-840-040-21","#be8b65"
"ispo 840 040-22","ispo-840-040-22","#cca17f"
"ispo 840 040-23","ispo-840-040-23","#dcb99c"
"ispo 840 040-24","ispo-840-040-24","#e6ceb7"
"ispo 840 040-25","ispo-840-040-25","#f3e1d1"
"ispo 840 040-30","ispo-840-040-30","#8f6a4a"
"ispo 840 040-31","ispo-840-040-31","#b08868"
"ispo 840 040-32","ispo-840-040-32","#c4a082"
"ispo 840 040-33","ispo-840-040-33","#d4b99f"
"ispo 840 040-34","ispo-840-040-34","#e2cdb9"
"ispo 840 040-35","ispo-840-040-35","#ede0d1"
"ispo 840 040-40","ispo-840-040-40","#7a6045"
"ispo 840 040-41","ispo-840-040-41","#a2866c"
"ispo 840 040-42","ispo-840-040-42","#b8a088"
"ispo 840 040-43","ispo-840-040-43","#cbb8a2"
"ispo 840 040-44","ispo-840-040-44","#dbcebb"
"ispo 840 040-45","ispo-840-040-45","#e8ded1"
"ispo 840 040-50","ispo-840-040-50","#675844"
"ispo 840 040-51","ispo-840-040-51","#8b7b68"
"ispo 840 040-52","ispo-840-040-52","#afa08f"
"ispo 840 040-53","ispo-840-040-53","#c4b8a9"
"ispo 840 040-54","ispo-840-040-54","#d5ccbf"
"ispo 840 040-55","ispo-840-040-55","#e7e2d9"
"ispo 840 040-60","ispo-840-040-60","#47423a"
"ispo 840 040-61","ispo-840-040-61","#7f776c"
"ispo 840 040-62","ispo-840-040-62","#9f9990"
"ispo 840 040-63","ispo-840-040-63","#bbb5ac"
"ispo 840 040-64","ispo-840-040-64","#cecac1"
"ispo 840 040-65","ispo-840-040-65","#e5e2da"
"ispo 840 050-00","ispo-840-050-00","#9e5138"
"ispo 840 050-01","ispo-840-050-01","#c97656"
"ispo 840 050-02","ispo-840-050-02","#dc9475"
"ispo 840 050-03","ispo-840-050-03","#e7ae92"
"ispo 840 050-04","ispo-840-050-04","#f3c8b2"
"ispo 840 050-05","ispo-840-050-05","#f8dfd1"
"ispo 840 050-10","ispo-840-050-10","#97513b"
"ispo 840 050-11","ispo-840-050-11","#bb7658"
"ispo 840 050-12","ispo-840-050-12","#d9977a"
"ispo 840 050-13","ispo-840-050-13","#e2ad92"
"ispo 840 050-14","ispo-840-050-14","#eec7b0"
"ispo 840 050-15","ispo-840-050-15","#f1d9c9"
"ispo 840 050-20","ispo-840-050-20","#864f3b"
"ispo 840 050-21","ispo-840-050-21","#ba7a5f"
"ispo 840 050-22","ispo-840-050-22","#d1987c"
"ispo 840 050-23","ispo-840-050-23","#dfb096"
"ispo 840 050-24","ispo-840-050-24","#e5c3af"
"ispo 840 050-25","ispo-840-050-25","#f7e1d3"
"ispo 840 050-30","ispo-840-050-30","#784d3d"
"ispo 840 050-31","ispo-840-050-31","#ab7861"
"ispo 840 050-32","ispo-840-050-32","#c5977e"
"ispo 840 050-33","ispo-840-050-33","#d8b59f"
"ispo 840 050-34","ispo-840-050-34","#e7cab6"
"ispo 840 050-35","ispo-840-050-35","#f0dccf"
"ispo 840 050-40","ispo-840-050-40","#674b3d"
"ispo 840 050-41","ispo-840-050-41","#a27b66"
"ispo 840 050-42","ispo-840-050-42","#bb9782"
"ispo 840 050-43","ispo-840-050-43","#ceb19d"
"ispo 840 050-44","ispo-840-050-44","#dbc6b6"
"ispo 840 050-45","ispo-840-050-45","#ecddd1"
"ispo 840 050-50","ispo-840-050-50","#54433a"
"ispo 840 050-51","ispo-840-050-51","#8e7466"
"ispo 840 050-52","ispo-840-050-52","#b39b8b"
"ispo 840 050-53","ispo-840-050-53","#c6b09f"
"ispo 840 050-54","ispo-840-050-54","#decec2"
"ispo 840 050-55","ispo-840-050-55","#f0e4da"
"ispo 840 050-60","ispo-840-050-60","#433f3c"
"ispo 840 050-61","ispo-840-050-61","#7e736c"
"ispo 840 050-62","ispo-840-050-62","#a59a91"
"ispo 840 050-63","ispo-840-050-63","#beb5ac"
"ispo 840 050-64","ispo-840-050-64","#d0c9c0"
"ispo 840 050-65","ispo-840-050-65","#e5dfd6"
"ispo 840 060-00","ispo-840-060-00","#85473c"
"ispo 840 060-01","ispo-840-060-01","#b1766e"
"ispo 840 060-02","ispo-840-060-02","#c89590"
"ispo 840 060-03","ispo-840-060-03","#dbb3b0"
"ispo 840 060-04","ispo-840-060-04","#e7cac6"
"ispo 840 060-05","ispo-840-060-05","#eedbd6"
"ispo 840 060-10","ispo-840-060-10","#7a4038"
"ispo 840 060-11","ispo-840-060-11","#a6706b"
"ispo 840 060-12","ispo-840-060-12","#c29591"
"ispo 840 060-13","ispo-840-060-13","#d5b3b0"
"ispo 840 060-14","ispo-840-060-14","#e8cdc8"
"ispo 840 060-15","ispo-840-060-15","#efded8"
"ispo 840 060-20","ispo-840-060-20","#72443c"
"ispo 840 060-21","ispo-840-060-21","#9f716b"
"ispo 840 060-22","ispo-840-060-22","#b89490"
"ispo 840 060-23","ispo-840-060-23","#ccb0aa"
"ispo 840 060-24","ispo-840-060-24","#dbc9c5"
"ispo 840 060-25","ispo-840-060-25","#eedfd9"
"ispo 840 060-30","ispo-840-060-30","#643a33"
"ispo 840 060-31","ispo-840-060-31","#94706c"
"ispo 840 060-32","ispo-840-060-32","#b19391"
"ispo 840 060-33","ispo-840-060-33","#c8afac"
"ispo 840 060-34","ispo-840-060-34","#dfcbc7"
"ispo 840 060-35","ispo-840-060-35","#eee3df"
"ispo 840 060-40","ispo-840-060-40","#5c413b"
"ispo 840 060-41","ispo-840-060-41","#8c716d"
"ispo 840 060-42","ispo-840-060-42","#ad9692"
"ispo 840 060-43","ispo-840-060-43","#c1aeab"
"ispo 840 060-44","ispo-840-060-44","#d5c9c6"
"ispo 840 060-45","ispo-840-060-45","#e7ddd7"
"ispo 840 060-50","ispo-840-060-50","#4e3b38"
"ispo 840 060-51","ispo-840-060-51","#827272"
"ispo 840 060-52","ispo-840-060-52","#a79896"
"ispo 840 060-53","ispo-840-060-53","#bdb2b0"
"ispo 840 060-54","ispo-840-060-54","#d4ccc8"
"ispo 840 060-55","ispo-840-060-55","#e6e0db"
"ispo 840 060-60","ispo-840-060-60","#474040"
"ispo 840 060-61","ispo-840-060-61","#797272"
"ispo 840 060-62","ispo-840-060-62","#979191"
"ispo 840 060-63","ispo-840-060-63","#b2aeac"
"ispo 840 060-64","ispo-840-060-64","#d1cdc9"
"ispo 840 060-65","ispo-840-060-65","#e0dcd5"
"ispo 840 070-00","ispo-840-070-00","#6b4341"
"ispo 840 070-01","ispo-840-070-01","#997078"
"ispo 840 070-02","ispo-840-070-02","#b6959d"
"ispo 840 070-03","ispo-840-070-03","#c7acb5"
"ispo 840 070-04","ispo-840-070-04","#decacf"
"ispo 840 070-05","ispo-840-070-05","#eadedd"
"ispo 840 070-10","ispo-840-070-10","#623f3d"
"ispo 840 070-11","ispo-840-070-11","#98717a"
"ispo 840 070-12","ispo-840-070-12","#b29299"
"ispo 840 070-13","ispo-840-070-13","#cab0b9"
"ispo 840 070-14","ispo-840-070-14","#dac6cc"
"ispo 840 070-15","ispo-840-070-15","#eadedd"
"ispo 840 070-20","ispo-840-070-20","#5d3f3c"
"ispo 840 070-21","ispo-840-070-21","#90737b"
"ispo 840 070-22","ispo-840-070-22","#af969e"
"ispo 840 070-23","ispo-840-070-23","#c4b1b5"
"ispo 840 070-24","ispo-840-070-24","#d5c7ca"
"ispo 840 070-25","ispo-840-070-25","#ece2e0"
"ispo 840 070-30","ispo-840-070-30","#57403d"
"ispo 840 070-31","ispo-840-070-31","#877077"
"ispo 840 070-32","ispo-840-070-32","#a8959c"
"ispo 840 070-33","ispo-840-070-33","#beafb3"
"ispo 840 070-34","ispo-840-070-34","#d4c8c8"
"ispo 840 070-35","ispo-840-070-35","#e8e0de"
"ispo 840 070-40","ispo-840-070-40","#51403f"
"ispo 840 070-41","ispo-840-070-41","#837479"
"ispo 840 070-42","ispo-840-070-42","#a39498"
"ispo 840 070-43","ispo-840-070-43","#bbafb2"
"ispo 840 070-44","ispo-840-070-44","#d5cbcc"
"ispo 840 070-45","ispo-840-070-45","#e5dfdf"
"ispo 840 070-50","ispo-840-070-50","#3f3d3e"
"ispo 840 070-51","ispo-840-070-51","#767376"
"ispo 840 070-52","ispo-840-070-52","#9b999b"
"ispo 840 070-53","ispo-840-070-53","#b4b1b1"
"ispo 840 070-54","ispo-840-070-54","#ccc9c7"
"ispo 840 070-55","ispo-840-070-55","#e5e2de"
"ispo 840 070-60","ispo-840-070-60","#3f3d3e"
"ispo 840 070-61","ispo-840-070-61","#757274"
"ispo 840 070-62","ispo-840-070-62","#9b999b"
"ispo 840 070-63","ispo-840-070-63","#b6b3b3"
"ispo 840 070-64","ispo-840-070-64","#cbc8c7"
"ispo 840 070-65","ispo-840-070-65","#e1ded9"
"ispo 840 080-00","ispo-840-080-00","#58404b"
"ispo 840 080-01","ispo-840-080-01","#876d89"
"ispo 840 080-02","ispo-840-080-02","#aa95af"
"ispo 840 080-03","ispo-840-080-03","#c1b0c3"
"ispo 840 080-04","ispo-840-080-04","#d6c8d5"
"ispo 840 080-05","ispo-840-080-05","#e6dee0"
"ispo 840 080-10","ispo-840-080-10","#4f3c43"
"ispo 840 080-11","ispo-840-080-11","#826d84"
"ispo 840 080-12","ispo-840-080-12","#a391aa"
"ispo 840 080-13","ispo-840-080-13","#c0b0c1"
"ispo 840 080-14","ispo-840-080-14","#d2c7d2"
"ispo 840 080-15","ispo-840-080-15","#e7e0e0"
"ispo 840 080-20","ispo-840-080-20","#4e3f43"
"ispo 840 080-21","ispo-840-080-21","#827188"
"ispo 840 080-22","ispo-840-080-22","#a596ab"
"ispo 840 080-23","ispo-840-080-23","#bdb0c3"
"ispo 840 080-24","ispo-840-080-24","#d3cad6"
"ispo 840 080-25","ispo-840-080-25","#e7e1e6"
"ispo 840 080-30","ispo-840-080-30","#493c40"
"ispo 840 080-31","ispo-840-080-31","#827381"
"ispo 840 080-32","ispo-840-080-32","#a497a8"
"ispo 840 080-33","ispo-840-080-33","#bcb3c0"
"ispo 840 080-34","ispo-840-080-34","#d2cdd5"
"ispo 840 080-35","ispo-840-080-35","#e4e0e1"
"ispo 840 080-40","ispo-840-080-40","#423b3d"
"ispo 840 080-41","ispo-840-080-41","#776f7a"
"ispo 840 080-42","ispo-840-080-42","#9f97a3"
"ispo 840 080-43","ispo-840-080-43","#b5afb8"
"ispo 840 080-44","ispo-840-080-44","#cfcbd0"
"ispo 840 080-45","ispo-840-080-45","#e1dddc"
"ispo 840 080-50","ispo-840-080-50","#3e3938"
"ispo 840 080-51","ispo-840-080-51","#7a767e"
"ispo 840 080-52","ispo-840-080-52","#99959c"
"ispo 840 080-53","ispo-840-080-53","#bab5ba"
"ispo 840 080-54","ispo-840-080-54","#d2cfd1"
"ispo 840 080-55","ispo-840-080-55","#e4e2e0"
"ispo 840 080-60","ispo-840-080-60","#3d3b3a"
"ispo 840 080-61","ispo-840-080-61","#747477"
"ispo 840 080-62","ispo-840-080-62","#9a999a"
"ispo 840 080-63","ispo-840-080-63","#b5b5b6"
"ispo 840 080-64","ispo-840-080-64","#cfcecc"
"ispo 840 080-65","ispo-840-080-65","#e3e2df"
"ispo 840 090-00","ispo-840-090-00","#544270"
"ispo 840 090-01","ispo-840-090-01","#8171a1"
"ispo 840 090-02","ispo-840-090-02","#9f92bf"
"ispo 840 090-03","ispo-840-090-03","#b5abce"
"ispo 840 090-04","ispo-840-090-04","#d3cadc"
"ispo 840 090-05","ispo-840-090-05","#e5dde2"
"ispo 840 090-10","ispo-840-090-10","#504066"
"ispo 840 090-11","ispo-840-090-11","#806fa0"
"ispo 840 090-12","ispo-840-090-12","#a192bd"
"ispo 840 090-13","ispo-840-090-13","#b9aece"
"ispo 840 090-14","ispo-840-090-14","#cec6db"
"ispo 840 090-15","ispo-840-090-15","#e6e0e1"
"ispo 840 090-20","ispo-840-090-20","#504461"
"ispo 840 090-21","ispo-840-090-21","#807298"
"ispo 840 090-22","ispo-840-090-22","#a195b9"
"ispo 840 090-23","ispo-840-090-23","#bbb2cb"
"ispo 840 090-24","ispo-840-090-24","#d6cedc"
"ispo 840 090-25","ispo-840-090-25","#e7dfe2"
"ispo 840 090-30","ispo-840-090-30","#4a4259"
"ispo 840 090-31","ispo-840-090-31","#786e8f"
"ispo 840 090-32","ispo-840-090-32","#9f95b1"
"ispo 840 090-33","ispo-840-090-33","#bbb3c8"
"ispo 840 090-34","ispo-840-090-34","#d0c9d6"
"ispo 840 090-35","ispo-840-090-35","#e3dedf"
"ispo 840 090-40","ispo-840-090-40","#46404f"
"ispo 840 090-41","ispo-840-090-41","#766e87"
"ispo 840 090-42","ispo-840-090-42","#a097af"
"ispo 840 090-43","ispo-840-090-43","#bbb3c6"
"ispo 840 090-44","ispo-840-090-44","#cec8d3"
"ispo 840 090-45","ispo-840-090-45","#e4dfe0"
"ispo 840 090-50","ispo-840-090-50","#3d3a3e"
"ispo 840 090-51","ispo-840-090-51","#777382"
"ispo 840 090-52","ispo-840-090-52","#9d9aa9"
"ispo 840 090-53","ispo-840-090-53","#b9b6c0"
"ispo 840 090-54","ispo-840-090-54","#d3cfd5"
"ispo 840 090-55","ispo-840-090-55","#e5e2df"
"ispo 840 090-60","ispo-840-090-60","#393737"
"ispo 840 090-61","ispo-840-090-61","#73717a"
"ispo 840 090-62","ispo-840-090-62","#99979e"
"ispo 840 090-63","ispo-840-090-63","#b3b1b5"
"ispo 840 090-64","ispo-840-090-64","#ccc9cb"
"ispo 840 090-65","ispo-840-090-65","#e1deda"
"ispo 840 100-00","ispo-840-100-00","#414779"
"ispo 840 100-01","ispo-840-100-01","#5e76b4"
"ispo 840 100-02","ispo-840-100-02","#859bc9"
"ispo 840 100-03","ispo-840-100-03","#a4b8da"
"ispo 840 100-04","ispo-840-100-04","#bfcce0"
"ispo 840 100-05","ispo-840-100-05","#dae0e4"
"ispo 840 100-10","ispo-840-100-10","#3f4775"
"ispo 840 100-11","ispo-840-100-11","#5f74ae"
"ispo 840 100-12","ispo-840-100-12","#899dcf"
"ispo 840 100-13","ispo-840-100-13","#a7bbde"
"ispo 840 100-14","ispo-840-100-14","#c4d1e3"
"ispo 840 100-15","ispo-840-100-15","#dbe1e3"
"ispo 840 100-20","ispo-840-100-20","#3d4369"
"ispo 840 100-21","ispo-840-100-21","#5f77ac"
"ispo 840 100-22","ispo-840-100-22","#8399c6"
"ispo 840 100-23","ispo-840-100-23","#a2b4d6"
"ispo 840 100-24","ispo-840-100-24","#c4d1e3"
"ispo 840 100-25","ispo-840-100-25","#dce2e6"
"ispo 840 100-30","ispo-840-100-30","#3c415e"
"ispo 840 100-31","ispo-840-100-31","#6176a3"
"ispo 840 100-32","ispo-840-100-32","#8a9ec4"
"ispo 840 100-33","ispo-840-100-33","#a8b8d2"
"ispo 840 100-34","ispo-840-100-34","#c4d0de"
"ispo 840 100-35","ispo-840-100-35","#dde3e5"
"ispo 840 100-40","ispo-840-100-40","#3a4053"
"ispo 840 100-41","ispo-840-100-41","#62769a"
"ispo 840 100-42","ispo-840-100-42","#8b9cb9"
