"Marmorit rokoko 2","marmorit-rokoko-2","#d3a79c"
"Marmorit rokoko 3","marmorit-rokoko-3","#e1beb5"
"Marmorit rokoko 4","marmorit-rokoko-4","#e8cdc1"
"Marmorit sahara","marmorit-sahara","#f2daa7"
"Marmorit sahara 1","marmorit-sahara-1","#f6dfab"
"Marmorit sahara 2","marmorit-sahara-2","#f8e4b6"
"Marmorit sahara 3","marmorit-sahara-3","#f8e6c0"
"Marmorit sahara 4","marmorit-sahara-4","#f5e7cb"
"Marmorit sand","marmorit-sand","#d3bca0"
"Marmorit sand 1","marmorit-sand-1","#dec9ad"
"Marmorit sand 2","marmorit-sand-2","#e1cfb6"
"Marmorit sand 3","marmorit-sand-3","#e3d6c2"
"Marmorit sand 4","marmorit-sand-4","#e9e0d1"
"Marmorit schiefer","marmorit-schiefer","#9d998f"
"Marmorit schiefer 1","marmorit-schiefer-1","#a5a196"
"Marmorit schiefer 2","marmorit-schiefer-2","#c2beb4"
"Marmorit schiefer 3","marmorit-schiefer-3","#d7d3ca"
"Marmorit schiefer 4","marmorit-schiefer-4","#e6e2da"
"Marmorit smaragd","marmorit-smaragd","#cad0b2"
"Marmorit smaragd 1","marmorit-smaragd-1","#cfd4b7"
"Marmorit smaragd 2","marmorit-smaragd-2","#d7d9bf"
"Marmorit smaragd 3","marmorit-smaragd-3","#e2e2cd"
"Marmorit smaragd 4","marmorit-smaragd-4","#e8e6d5"
"Marmorit stein","marmorit-stein","#bdc1c3"
"Marmorit stein 1","marmorit-stein-1","#c0c4c6"
"Marmorit stein 2","marmorit-stein-2","#c9cbcc"
"Marmorit stein 3","marmorit-stein-3","#d4d7d7"
"Marmorit stein 4","marmorit-stein-4","#e3e3e0"
"Marmorit stroh","marmorit-stroh","#e3c791"
"Marmorit stroh 1","marmorit-stroh-1","#ead2a6"
"Marmorit stroh 2","marmorit-stroh-2","#efdebb"
"Marmorit stroh 3","marmorit-stroh-3","#efe1c3"
"Marmorit stroh 4","marmorit-stroh-4","#f0e7d6"
"Marmorit tigris","marmorit-tigris","#ceb397"
"Marmorit tigris 1","marmorit-tigris-1","#d1b79a"
