"DIC 1s","1s","#fad2ba"
"DIC 339s","339s","#947247"
"DIC 340s","340s","#92714b"
"DIC 341s","341s","#8c6844"
"DIC 342s*","342s","#7a654b"
"DIC 343s","343s","#79674a"
"DIC 344s*","344s","#7a614c"
"DIC 345s*","345s","#855c4b"
"DIC 346s","346s","#806b51"
"DIC 347s*","347s","#6b604a"
"DIC 348s","348s","#a59e6a"
"DIC 349s","349s","#8d865b"
"DIC 350s","350s","#8c7e58"
"DIC 351s","351s","#73734e"
"DIC 352s","352s","#6b7252"
"DIC 353s","353s","#726f4a"
"DIC 354s","354s","#84724d"
"DIC 355s","355s","#757157"
"DIC 356s","356s","#6c644c"
"DIC 357s","357s","#abab71"
"DIC 358s*","358s","#b1bc78"
"DIC 359s*","359s","#aec475"
"DIC 360s*","360s","#b1c654"
"DIC 361s*","361s","#a2b444"
"DIC 362s","362s","#8ea146"
"DIC 363s","363s","#98b56a"
"DIC 364s*","364s","#90b97b"
"DIC 365s*","365s","#84ae60"
"DIC 366s","366s","#79a26f"
"DIC 367s","367s","#70a165"
"DIC 368s","368s","#708f4d"
"DIC 369s","369s","#788856"
"DIC 370s","370s","#878f54"
"DIC 371s","371s","#9e8e3e"
"DIC 372s","372s","#8c8e43"
"DIC 373s","373s","#777b43"
"DIC 374s","374s","#6d7747"
"DIC 375s*","375s","#637e50"
"DIC 376s","376s","#4d7b54"
"DIC 377s","377s","#4b7456"
"DIC 378s","378s","#456b55"
"DIC 379s","379s","#40594f"
"DIC 380s","380s","#405d53"
"DIC 381s*","381s","#78ac7e"
"DIC 382s","382s","#78a97b"
"DIC 383s*","383s","#648e69"
"DIC 384s*","384s","#68a275"
"DIC 385s*","385s","#5c835d"
"DIC 386s*","386s","#588362"
"DIC 387s*","387s","#45775e"
"DIC 388s*","388s","#397c5f"
"DIC 389s","389s","#336657"
"DIC 390s","390s","#9bb698"
"DIC 391s*","391s","#7a8f79"
"DIC 392s*","392s","#68866c"
"DIC 393s","393s","#52735e"
"DIC 394s*","394s","#63a088"
"DIC 395s","395s","#50967b"
"DIC 396s","396s","#3a7b66"
"DIC 397s","397s","#71ae9f"
"DIC 398s","398s","#74bb9f"
"DIC 399s","399s","#84b39b"
"DIC 400s","400s","#57a493"
"DIC 401s","401s","#548a88"
"DIC 402s","402s","#46908b"
"DIC 403s*","403s","#60a08d"
"DIC 404s*","404s","#73b0a1"
"DIC 405s*","405s","#559591"
"DIC 406s","406s","#4a7d85"
"DIC 407s","407s","#3e737b"
"DIC 408s","408s","#1a6d77"
"DIC 409s","409s","#2f5b6e"
"DIC 410s","410s","#35596f"
"DIC 411s","411s","#365a76"
"DIC 412s*","412s","#68b0ad"
"DIC 413s","413s","#5da0a2"
"DIC 414s","414s","#55939b"
"DIC 415s","415s","#9eccc1"
"DIC 416s","416s","#82c1bf"
"DIC 417s","417s","#77adaf"
"DIC 418s*","418s","#6aaeb5"
"DIC 419s","419s","#59a4ae"
"DIC 420s","420s","#5e9fb0"
"DIC 421s","421s","#588ea9"
"DIC 422s","422s","#5a8ca5"
"DIC 423s","423s","#5582a3"
"DIC 424s*","424s","#52779f"
"DIC 425s*","425s","#55698b"
"DIC 426s*","426s","#536378"
"DIC 427s","427s","#8cafb6"
"DIC 428s","428s","#80a7b1"
"DIC 429s","429s","#82a3ad"
"DIC 430s","430s","#6a97a6"
"DIC 431s*","431s","#6f91a2"
"DIC 432s","432s","#597a94"
"DIC 433s","433s","#425478"
"DIC 434s","434s","#455877"
"DIC 435s*","435s","#4a4f6a"
"DIC 436s","436s","#8792bb"
"DIC 437s","437s","#7d7eb2"
"DIC 438s","438s","#7c7eb4"
"DIC 439s","439s","#6c78ab"
"DIC 440s","440s","#6e75a9"
"DIC 441s","441s","#bdc5b5"
"DIC 442s","442s","#a3afb2"
"DIC 443s","443s","#96a4aa"
"DIC 444s*","444s","#8694a1"
"DIC 445s","445s","#7c879b"
"DIC 446s","446s","#6d758c"
"DIC 447s","447s","#636a7f"
"DIC 448s","448s","#5e6373"
"DIC 449s*","449s","#565472"
"DIC 450s*","450s","#8991b5"
"DIC 451s","451s","#b09cb3"
"DIC 452s","452s","#a297b9"
"DIC 453s","453s","#aa8cbe"
"DIC 454s","454s","#a492c3"
"DIC 455s*","455s","#8372b4"
"DIC 456s*","456s","#7e6d9a"
"DIC 457s","457s","#8772aa"
"DIC 458s","458s","#a895a9"
"DIC 459s","459s","#9b8b99"
"DIC 460s","460s","#997d97"
"DIC 461s","461s","#807482"
"DIC 462s","462s","#7f6a8f"
"DIC 463s","463s","#6c5e7f"
"DIC 464s","464s","#686170"
"DIC 465s*","465s","#685b71"
"DIC 466s*","466s","#6a5e71"
"DIC 467s","467s","#c4aa9e"
"DIC 468s","468s","#e9b9a7"
"DIC 469s","469s","#d0a79c"
"DIC 470s","470s","#d6969a"
"DIC 471s*","471s","#b69998"
"DIC 472s","472s","#c1919d"
"DIC 473s","473s","#ab7e8a"
"DIC 474s","474s","#977481"
"DIC 475s","475s","#a3707c"
"DIC 476s","476s","#b7848c"
"DIC 477s","477s","#eebdb1"
"DIC 478s","478s","#d99ca8"
"DIC 479s","479s","#b96f94"
"DIC 480s","480s","#d48399"
"DIC 481s","481s","#c27e8e"
"DIC 482s","482s","#a9627f"
"DIC 483s","483s","#a95f9a"
"DIC 484s","484s","#aa607c"
"DIC 485s","485s","#a05d81"
"DIC 486s","486s","#a65c90"
"DIC 487s*","487s","#af6a79"
"DIC 488s*","488s","#9f6d71"
"DIC 489s*","489s","#9b6e74"
"DIC 490s","490s","#9a5a7b"
"DIC 491s","491s","#8f5467"
"DIC 492s","492s","#7f5366"
"DIC 493s","493s","#986c78"
"DIC 494s*","494s","#a46d73"
"DIC 495s*","495s","#7a5662"
"DIC 496s*","496s","#7a5e68"
"DIC 497s","497s","#7a4e68"
"DIC 498s","498s","#826063"
"DIC 499s*","499s","#724b4d"
"DIC 500s","500s","#78465d"
"DIC 501s","501s","#6a465d"
"DIC 502s*","502s","#8a7c6d"
"DIC 503s*","503s","#776c60"
"DIC 504s","504s","#635d59"
"DIC 505s","505s","#af9f84"
"DIC 506s","506s","#cbbb8e"
"DIC 507s","507s","#817a66"
"DIC 508s","508s","#8d8071"
"DIC 509s","509s","#837d6c"
"DIC 510s*","510s","#63695e"
"DIC 511s*","511s","#5b6061"
"DIC 512s*","512s","#849085"
"DIC 513s","513s","#919c8e"
"DIC 514s","514s","#656565"
"DIC 515s*","515s","#6b6d6d"
"DIC 516s*","516s","#5e5959"
"DIC 517s","517s","#bbb097"
"DIC 518s","518s","#afa095"
"DIC 519s","519s","#95867f"
"DIC 520s*","520s","#685e5b"
"DIC 521s","521s","#5d5755"
"DIC 522s","522s","#d7c0a3"
"DIC 523s","523s","#af9f8f"
"DIC 524s*","524s","#81756d"
"DIC 525s","525s","#685e5b"
"DIC 526s*","526s","#5d5754"
"DIC 527s","527s","#aba384"
"DIC 528s","528s","#817c68"
"DIC 529s*","529s","#767565"
"DIC 530s*","530s","#747264"
"DIC 531s","531s","#6a675b"
"DIC 532s","532s","#989b83"
"DIC 533s","533s","#777e6d"
"DIC 534s*","534s","#6d7265"
"DIC 535s*","535s","#64675c"
"DIC 536s*","536s","#5b6059"
"DIC 537s*","537s","#929684"
"DIC 538s","538s","#767b6f"
"DIC 539s","539s","#656a69"
"DIC 540s","540s","#636867"
"DIC 541s","541s","#5a5b5c"
"DIC 542s","542s","#929188"
"DIC 543s","543s","#94948e"
"DIC 544s*","544s","#6f6d6e"
"DIC 545s*","545s","#6d6e6f"
"DIC 546s*","546s","#676869"
"DIC 546-1-2s","546-1-2s","#dad7c8"
"DIC 547s","547s","#cac5b8"
"DIC 548s","548s","#bebab1"
"DIC 549s*","549s","#a2a099"
"DIC 549-1-2s*","549-1-2s","#8e8b84"
"DIC 550s*","550s","#87847d"
"DIC 551s*","551s","#7b7974"
"DIC 552s*","552s","#7a7771"
"DIC 553s*","553s","#6c6b66"
"DIC 554s*","554s","#65635e"
"DIC 555s*","555s","#615f5a"
"DIC 556s*","556s","#5d5b57"
"DIC 557s","557s","#c53494"
"DIC 558s","558s","#da3691"
"DIC 559s","559s","#cf2d7b"
"DIC 561s","561s","#e22d6a"
"DIC 563s","563s","#e2365d"
