"GN-02-80 graphitgrau 8","gn-02-80-graphitgrau-8","#dad8d0"
"F1-07-81 erdbraun 8","f1-07-81-erdbraun-8","#e4d8c7"
"E9-10-71 erdbraun 6","e9-10-71-erdbraun-6","#cfc0aa"
"E4-14-58 erdbraun 4","e4-14-58-erdbraun-4","#b39e86"
"E7-18-42 erdbraun 2","e7-18-42-erdbraun-2","#88745e"
"E3-05-84 erdbraun 9","e3-05-84-erdbraun-9","#ebe1d2"
"F0-08-76 erdbraun 7","f0-08-76-erdbraun-7","#d9ccb9"
"E9-12-65 erdbraun 5","e9-12-65-erdbraun-5","#bfae98"
"E7-16-49 erdbraun 3","e7-16-49-erdbraun-3","#9a846c"
"F4-11-86 currygelb 8","f4-11-86-currygelb-8","#f9e6c7"
"F0-24-77 currygelb 5","f0-24-77-currygelb-5","#efc992"
"E8-36-67 currygelb 3","e8-36-67-currygelb-3","#ddad68"
"E7-46-52 currygelb 0","e7-46-52-currygelb-0","#b78444"
"F5-08-87 currygelb 9","f5-08-87-currygelb-9","#f8ebd3"
"F1-19-81 currygelb 6","f1-19-81-currygelb-6","#f4d5a7"
"E9-30-72 currygelb 4","e9-30-72-currygelb-4","#e9bd80"
"E8-43-58 currygelb 1","e8-43-58-currygelb-1","#c5914a"
"F2-06-84","f2-06-84","#ece0ce"
"F0-15-75","f0-15-75","#ddc6a7"
"E8-20-60","e8-20-60","#bca07c"
"E8-20-50","e8-20-50","#a38c6f"
"F2-08-86","f2-08-86","#f6e7d0"
"F2-10-80","f2-10-80","#e7d5be"
"E8-20-70","e8-20-70","#d3b48b"
"E8-25-55","e8-25-55","#b5956e"
"F8-13-86 sonnengelb 7","f8-13-86-sonnengelb-7","#faebc7"
"F5-22-82 sonnengelb 5","f5-22-82-sonnengelb-5","#f9dda3"
"F2-36-76 sonnengelb 3","f2-36-76-sonnengelb-3","#f4c575"
"E8-54-63 sonnengelb 0","e8-54-63-sonnengelb-0","#df9e3e"
"F8-10-88 sonnengelb 8","f8-10-88-sonnengelb-8","#f9efd2"
"F7-17-85 sonnengelb 6","f7-17-85-sonnengelb-6","#fbe6b8"
"F4-27-80 sonnengelb 4","f4-27-80-sonnengelb-4","#fbd590"
"F0-46-69 sonnengelb 1","f0-46-69-sonnengelb-1","#ecaf50"
"F3-09-78 riedbraun 7","f3-09-78-riedbraun-7","#e3d5bd"
"F2-14-68 riedbraun 5","f2-14-68-riedbraun-5","#cab698"
"F1-20-53 riedbraun 3","f1-20-53-riedbraun-3","#a68e6e"
"F0-23-41 riedbraun 1","f0-23-41-riedbraun-1","#877155"
"F5-07-81 riedbraun 8","f5-07-81-riedbraun-8","#eadec9"
"F3-11-73 riedbraun 6","f3-11-73-riedbraun-6","#d7c6aa"
"F2-17-61 riedbraun 4","f2-17-61-riedbraun-4","#baa586"
"F0-22-45 riedbraun 2","f0-22-45-riedbraun-2","#927b5c"
"F8-03-80 rotgrau 8","f8-03-80-rotgrau-8","#ded9cf"
"F7-04-71 rotgrau 6","f7-04-71-rotgrau-6","#c5c0b7"
"F4-05-58 rotgrau 4","f4-05-58-rotgrau-4","#a39d94"
"E9-06-40 rotgrau 1","e9-06-40-rotgrau-1","#7f786e"
"F7-04-84 rotgrau 9","f7-04-84-rotgrau-9","#e5e0d5"
"F7-03-76 rotgrau 7","f7-03-76-rotgrau-7","#d2cec5"
"F5-04-65 rotgrau 5","f5-04-65-rotgrau-5","#b7b0a6"
"F2-06-50 rotgrau 3","f2-06-50-rotgrau-3","#918a81"
"F6-10-80","f6-10-80","#e2d3b9"
"F6-20-70","f6-20-70","#d2be91"
"F2-20-60","f2-20-60","#b9a27f"
"F2-30-50","f2-30-50","#a38959"
"F6-07-82","f6-07-82","#eddfc9"
"F6-15-75","f6-15-75","#dac9a2"
"F2-25-65","f2-25-65","#cbb07c"
"F2-25-55","f2-25-55","#b19668"
"G0-05-80","g0-05-80","#ddd5c6"
"F6-10-70","f6-10-70","#c9bca5"
"F6-10-60","f6-10-60","#ada48e"
"F2-10-50","f2-10-50","#968c7c"
"G0-03-86","g0-03-86","#ece8db"
"F2-05-75","f2-05-75","#d2cabd"
"F6-15-65","f6-15-65","#bdaf8f"
"F6-15-55","f6-15-55","#a5997c"
"F7-05-79 steingrau 7","f7-05-79-steingrau-7","#d9d5c8"
"F7-06-68 steingrau 5","f7-06-68-steingrau-5","#bfb9a9"
"F6-09-54 steingrau 3","f6-09-54-steingrau-3","#9e9585"
"F7-10-44 steingrau 1","f7-10-44-steingrau-1","#847d6e"
"F6-04-83 steingrau 8","f6-04-83-steingrau-8","#e5e1d4"
"F7-05-74 steingrau 6","f7-05-74-steingrau-6","#cec9bc"
"F6-07-62 steingrau 4","f6-07-62-steingrau-4","#b1aa9a"
"F7-09-47 steingrau 2","f7-09-47-steingrau-2","#8d8476"
"F9-14-87 korngelb 7","f9-14-87-korngelb-7","#faebc1"
"F8-24-84 korngelb 5","f8-24-84-korngelb-5","#fde3a1"
"F6-38-78 korngelb 3","f6-38-78-korngelb-3","#f6d06f"
"F4-56-69 korngelb 0","f4-56-69-korngelb-0","#e5b437"
"F9-07-88 korngelb 9","f9-07-88-korngelb-9","#f8efd4"
"F8-17-85 korngelb 6","f8-17-85-korngelb-6","#fae7b4"
"F6-30-82 korngelb 4","f6-30-82-korngelb-4","#fbda8a"
"F4-50-72 korngelb 1","f4-50-72-korngelb-1","#eebe4b"
"G0-12-86 senfgelb 7","g0-12-86-senfgelb-7","#f6eaca"
"F8-18-83 senfgelb 5","f8-18-83-senfgelb-5","#f4dfad"
"F6-30-74 senfgelb 3","f6-30-74-senfgelb-3","#e5c681"
"F5-39-66 senfgelb 1","f5-39-66-senfgelb-1","#d1ae5c"
"G1-07-88 senfgelb 9","g1-07-88-senfgelb-9","#f0e9d3"
"F8-14-85 senfgelb 6","f8-14-85-senfgelb-6","#f5e6be"
"F7-24-79 senfgelb 4","f7-24-79-senfgelb-4","#ecd49a"
"F6-36-69 senfgelb 2","f6-36-69-senfgelb-2","#d7b76a"
"F7-04-83 gelbgrau 8","f7-04-83-gelbgrau-8","#e6e2d5"
"F8-06-76 gelbgrau 6","f8-06-76-gelbgrau-6","#d4cfc1"
"F7-08-65 gelbgrau 4","f7-08-65-gelbgrau-4","#b8b2a1"
"F7-11-50 gelbgrau 2","f7-11-50-gelbgrau-2","#918976"
"F8-04-85 gelbgrau 9","f8-04-85-gelbgrau-9","#eee8d9"
"F9-04-82 gelbgrau 7","f9-04-82-gelbgrau-7","#e0dbcd"
"F7-06-71 gelbgrau 5","f7-06-71-gelbgrau-5","#cac2b2"
"F6-09-57 gelbgrau 3","f6-09-57-gelbgrau-3","#a39a87"
"F8-06-79 olivgrau 8","f8-06-79-olivgrau-8","#dcd7c6"
"F8-09-70 olivgrau 6","f8-09-70-olivgrau-6","#c5bca6"
"F9-13-57 olivgrau 4","f9-13-57-olivgrau-4","#a29a82"
"F9-17-40 olivgrau 2","f9-17-40-olivgrau-2","#79715b"
"F9-05-82 olivgrau 9","f9-05-82-olivgrau-9","#e8e3d3"
"F9-07-75 olivgrau 7","f9-07-75-olivgrau-7","#d1cab4"
"F8-11-63 olivgrau 5","f8-11-63-olivgrau-5","#b4ac94"
"F9-15-47 olivgrau 3","f9-15-47-olivgrau-3","#8c836a"
"G0-14-84 birkengrun 7","g0-14-84-birkengrun-7","#f2e4bf"
"G0-21-78 birkengrun 5","g0-21-78-birkengrun-5","#e2d19a"
"F9-30-66 birkengrun 3","f9-30-66-birkengrun-3","#c7b471"
"G0-40-52 birkengrun 0","g0-40-52-birkengrun-0","#a1914d"
"G1-10-86 birkengrun 8","g1-10-86-birkengrun-8","#f0e5c7"
"G1-17-81 birkengrun 6","g1-17-81-birkengrun-6","#ebdbad"
"G0-25-73 birkengrun 4","g0-25-73-birkengrun-4","#d3c489"
"G0-35-61 birkengrun 2","g0-35-61-birkengrun-2","#b5a361"
"G0-11-83 moosgrun 7","g0-11-83-moosgrun-7","#e9e0c1"
"G0-18-74 moosgrun 5","g0-18-74-moosgrun-5","#d5c99e"
"G1-26-62 moosgrun 3","g1-26-62-moosgrun-3","#b7a873"
"G0-31-50 moosgrun 1","g0-31-50-moosgrun-1","#988a55"
"G0-09-85 moosgrun 8","g0-09-85-moosgrun-8","#eee6cc"
"G1-14-79 moosgrun 6","g1-14-79-moosgrun-6","#ded4ae"
"G0-21-69 moosgrun 4","g0-21-69-moosgrun-4","#c8bb8c"
"G0-29-55 moosgrun 2","g0-29-55-moosgrun-2","#a4955f"
"G2-05-78 grungrau 7","g2-05-78-grungrau-7","#dcd8cc"
"G2-06-68 grungrau 5","g2-06-68-grungrau-5","#c0bcae"
"G2-09-54 grungrau 3","g2-09-54-grungrau-3","#9a9482"
"G4-11-39 grungrau 1","g4-11-39-grungrau-1","#767161"
"G2-04-82 grungrau 8","g2-04-82-grungrau-8","#e8e3d4"
"G4-05-74 grungrau 6","g4-05-74-grungrau-6","#d2cdbe"
