"Scala 42-03-27","scala-42-03-27","#696667"
"Scala 42-03-30","scala-42-03-30","#555151"
"Scala 42-06-21","scala-42-06-21","#877c82"
"Scala 42-06-24","scala-42-06-24","#6b6169"
"Scala 42-06-27","scala-42-06-27","#5b4d5b"
"Scala 42-09-21","scala-42-09-21","#89748a"
"Scala 42-09-24","scala-42-09-24","#735f75"
"Scala 42-09-27","scala-42-09-27","#5b465f"
"Scala 42-12-21","scala-42-12-21","#93708f"
"Scala 42-12-24","scala-42-12-24","#846285"
"Scala 42-15-21","scala-42-15-21","#a06c98"
"Scala 42-15-24","scala-42-15-24","#84577f"
"Scala 42-15-27","scala-42-15-27","#644265"
"Scala 42-15-30","scala-42-15-30","#49324c"
"Scala 42-18-21","scala-42-18-21","#ab64a2"
"Scala 42-18-24","scala-42-18-24","#8e4788"
"Scala 42-18-27","scala-42-18-27","#7b3468"
"Scala 42-21-21","scala-42-21-21","#9f6ca4"
"Scala 42-21-24","scala-42-21-24","#884f84"
"Scala 42-21-27","scala-42-21-27","#713a71"
"Scala 45-06-21","scala-45-06-21","#817d85"
"Scala 45-06-24","scala-45-06-24","#67626a"
"Scala 45-06-27","scala-45-06-27","#534f59"
"Scala 45-06-30","scala-45-06-30","#3f3d4a"
"Scala 45-09-21","scala-45-09-21","#887c91"
"Scala 45-09-24","scala-45-09-24","#6c6178"
"Scala 45-09-27","scala-45-09-27","#554863"
"Scala 45-09-30","scala-45-09-30","#463857"
"Scala 45-12-21","scala-45-12-21","#88779c"
"Scala 45-12-24","scala-45-12-24","#746185"
"Scala 45-12-27","scala-45-12-27","#5a456d"
"Scala 45-15-21","scala-45-15-21","#8f7596"
"Scala 45-15-24","scala-45-15-24","#775d7f"
"Scala 45-15-27","scala-45-15-27","#5c4164"
"Scala 45-18-21","scala-45-18-21","#936faf"
"Scala 45-18-24","scala-45-18-24","#7a5497"
"Scala 45-18-27","scala-45-18-27","#603f7c"
"Scala 45-18-30","scala-45-18-30","#482e59"
"Scala 48-06-21","scala-48-06-21","#7c808c"
"Scala 48-06-24","scala-48-06-24","#5f6371"
"Scala 48-06-27","scala-48-06-27","#4f5262"
"Scala 48-06-30","scala-48-06-30","#393a48"
"Scala 48-09-21","scala-48-09-21","#817b93"
"Scala 48-09-24","scala-48-09-24","#69617b"
"Scala 48-09-27","scala-48-09-27","#524b64"
"Scala 48-09-30","scala-48-09-30","#3f3554"
"Scala 48-12-21","scala-48-12-21","#7f6a9c"
"Scala 48-12-24","scala-48-12-24","#685d80"
"Scala 48-12-27","scala-48-12-27","#54496c"
"Scala 48-15-21","scala-48-15-21","#8c78b4"
"Scala 48-15-24","scala-48-15-24","#745b9e"
"Scala 48-15-27","scala-48-15-27","#5d4580"
"Scala 48-15-30","scala-48-15-30","#4a3567"
"Scala 48-15-33","scala-48-15-33","#443662"
"Scala 48-18-24","scala-48-18-24","#695093"
"Scala 51-03-24","scala-51-03-24","#7d7f7e"
"Scala 51-06-21","scala-51-06-21","#7c7d89"
"Scala 51-06-24","scala-51-06-24","#666777"
"Scala 51-06-27","scala-51-06-27","#525162"
"Scala 51-06-30","scala-51-06-30","#3a3947"
"Scala 51-09-21","scala-51-09-21","#7a7b96"
