"Herbol Currygelb St3","herbol-currygelb-st3","#daa965"
"Herbol Currygelb St4","herbol-currygelb-st4","#e8bc7c"
"Herbol Currygelb St5","herbol-currygelb-st5","#f1cb95"
"Herbol Currygelb St6","herbol-currygelb-st6","#f4d6a9"
"Herbol Currygelb St7","herbol-currygelb-st7","#f6dfbb"
"Herbol Currygelb St8","herbol-currygelb-st8","#f6e6c8"
"Herbol Currygelb St9","herbol-currygelb-st9","#f7edd7"
"Herbol Erdbraun","herbol-erdbraun","#645341"
"Herbol Erdbraun St1","herbol-erdbraun-st1","#79654f"
"Herbol Erdbraun St2","herbol-erdbraun-st2","#847059"
"Herbol Erdbraun St3","herbol-erdbraun-st3","#97836b"
"Herbol Erdbraun St4","herbol-erdbraun-st4","#ae9a83"
"Herbol Erdbraun St5","herbol-erdbraun-st5","#c3ad95"
"Herbol Erdbraun St6","herbol-erdbraun-st6","#cebda8"
"Herbol Erdbraun St7","herbol-erdbraun-st7","#d7c9b6"
"Herbol Erdbraun St8","herbol-erdbraun-st8","#e5d9c8"
"Herbol Erdbraun St9","herbol-erdbraun-st9","#e9e1d4"
"Herbol Farngruen","herbol-farngruen","#81824b"
"Herbol Farngruen St1","herbol-farngruen-st1","#93945a"
"Herbol Farngruen St2","herbol-farngruen-st2","#9b9c65"
"Herbol Farngruen St3","herbol-farngruen-st3","#adae7a"
"Herbol Farngruen St4","herbol-farngruen-st4","#bfc090"
"Herbol Farngruen St5","herbol-farngruen-st5","#cdcfa4"
"Herbol Farngruen St6","herbol-farngruen-st6","#dbddba"
"Herbol Farngruen St7","herbol-farngruen-st7","#e2e3c7"
"Herbol Farngruen St8","herbol-farngruen-st8","#e7e7d0"
"Herbol Farngruen St9","herbol-farngruen-st9","#edecda"
"Herbol Gelbgrau","herbol-gelbgrau","#736d5a"
"Herbol Gelbgrau St1","herbol-gelbgrau-st1","#857d68"
"Herbol Gelbgrau St2","herbol-gelbgrau-st2","#8f8773"
"Herbol Gelbgrau St3","herbol-gelbgrau-st3","#a39a87"
"Herbol Gelbgrau St4","herbol-gelbgrau-st4","#b7b09e"
"Herbol Gelbgrau St5","herbol-gelbgrau-st5","#c8c2b3"
"Herbol Gelbgrau St6","herbol-gelbgrau-st6","#d4cfc0"
"Herbol Gelbgrau St7","herbol-gelbgrau-st7","#dedace"
"Herbol Gelbgrau St8","herbol-gelbgrau-st8","#e5e1d7"
"Herbol GelbgrauSt 9","herbol-gelbgraust-9","#ebe7dd"
"Herbol Graphitgrau","herbol-graphitgrau","#4f5150"
"Herbol Graphitgrau St1","herbol-graphitgrau-st1","#626462"
"Herbol Graphitgrau St2","herbol-graphitgrau-st2","#6e6f6c"
"Herbol Graphitgrau St3","herbol-graphitgrau-st3","#82827e"
"Herbol Graphitgrau St4","herbol-graphitgrau-st4","#9a9a97"
"Herbol Graphitgrau St5","herbol-graphitgrau-st5","#aeafac"
"Herbol Graphitgrau St6","herbol-graphitgrau-st6","#bdbdb9"
"Herbol Graphitgrau St7","herbol-graphitgrau-st7","#cececa"
"Herbol Graphitgrau St8","herbol-graphitgrau-st8","#d9d8d2"
"Herbol Graphitgrau St9","herbol-graphitgrau-st9","#e3e1db"
"Herbol Gruengrau","herbol-gruengrau","#5b594c"
"Herbol Gruengrau St1","herbol-gruengrau-st1","#726e5e"
"Herbol Gruengrau St2","herbol-gruengrau-st2","#807b6b"
"Herbol Gruengrau St3","herbol-gruengrau-st3","#989381"
"Herbol Gruengrau St4","herbol-gruengrau-st4","#ada898"
