"TRENDline LUMNEZIA POLARWEISS","trendline-lumnezia-polarweiss","#f0eee6"
"TRENDline MONTAGNA G 2230","trendline-montagna-g-2230","#aeb0a5"
"TRENDline MONTAGNA G 2240","trendline-montagna-g-2240","#9da0a2"
"TRENDline MONTAGNA G 2250","trendline-montagna-g-2250","#c8c6c4"
"TRENDline MONTAGNA G 2260","trendline-montagna-g-2260","#8f8e8c"
"TRENDline MONTAGNA G 2270","trendline-montagna-g-2270","#d7d4d4"
"TRENDline TRAMONTO G 3000","trendline-tramonto-g-3000","#f2d8d0"
"TRENDline TRAMONTO G 3010","trendline-tramonto-g-3010","#e4baac"
"TRENDline TRAMONTO G 3020","trendline-tramonto-g-3020","#d8a899"
"TRENDline TRAMONTO G 3030","trendline-tramonto-g-3030","#c99485"
"TRENDline TRAMONTO G 3040","trendline-tramonto-g-3040","#ebd3c8"
"TRENDline TRAMONTO G 3060","trendline-tramonto-g-3060","#dba495"
"TRENDline TRAMONTO G 3070","trendline-tramonto-g-3070","#c18272"
"TRENDline TRAMONTO G 3100","trendline-tramonto-g-3100","#eddacc"
"TRENDline TRAMONTO G 3110","trendline-tramonto-g-3110","#e8c7b6"
"TRENDline TRAMONTO G 3120","trendline-tramonto-g-3120","#f0d8cb"
"TRENDline TRAMONTO G 3130","trendline-tramonto-g-3130","#d8b8a8"
"TRENDline TRAMONTO G 3140","trendline-tramonto-g-3140","#dbc3ba"
"TRENDline TRAMONTO G 3145","trendline-tramonto-g-3145","#cdb8b1"
"TRENDline TRAMONTO G 3146","trendline-tramonto-g-3146","#927978"
"TRENDline TRAMONTO G 3172","trendline-tramonto-g-3172","#bd745e"
"TRENDline TRAMONTO G 3174","trendline-tramonto-g-3174","#b46e62"
"TRENDline TRAMONTO G 3176","trendline-tramonto-g-3176","#a36259"
"TRENDline TRAMONTO G 3180","trendline-tramonto-g-3180","#e0a083"
"TRENDline OZEANO G 4000","trendline-ozeano-g-4000","#d8dcda"
"TRENDline OZEANO G 4010","trendline-ozeano-g-4010","#ccd5d5"
"TRENDline OZEANO G 4020","trendline-ozeano-g-4020","#e0ebe5"
"TRENDline OZEANO G 4030","trendline-ozeano-g-4030","#c6dadd"
"TRENDline OZEANO G 4040","trendline-ozeano-g-4040","#e3e7e3"
"TRENDline OZEANO G 4050","trendline-ozeano-g-4050","#cbd3d0"
"TRENDline OZEANO G 4060","trendline-ozeano-g-4060","#c2d2d6"
"TRENDline OZEANO G 4070","trendline-ozeano-g-4070","#a3bdc6"
"TRENDline OZEANO G 4080","trendline-ozeano-g-4080","#95b2be"
