"BRITISH STD Yellow- Cream and Buff 363","yellow-cream-and-buff-363","#a47034"
"BRITISH STD Yellow- Cream and Buff 364","yellow-cream-and-buff-364","#cfc099"
"BRITISH STD Yellow- Cream and Buff 365","yellow-cream-and-buff-365","#dfd3aa"
"BRITISH STD Yellow- Cream and Buff 368","yellow-cream-and-buff-368","#dd7d00"
"BRITISH STD Yellow- Cream and Buff 384","yellow-cream-and-buff-384","#d9c498"
"BRITISH STD Yellow- Cream and Buff 385","yellow-cream-and-buff-385","#eccc94"
"BRITISH STD Yellow- Cream and Buff 386","yellow-cream-and-buff-386","#e5c18f"
"BRITISH STD Yellow- Cream and Buff 387","yellow-cream-and-buff-387","#d7ba88"
"BRITISH STD Yellow- Cream and Buff 388","yellow-cream-and-buff-388","#d7b686"
"BRITISH STD Yellow- Cream and Buff 397","yellow-cream-and-buff-397","#edd163"
"BRITISH STD Brown and Pink 410","brown-and-pink-410","#95692c"
"BRITISH STD Brown and Pink 411","brown-and-pink-411","#684017"
"BRITISH STD Brown and Pink 412","brown-and-pink-412","#503022"
"BRITISH STD Brown and Pink 413","brown-and-pink-413","#3b271a"
"BRITISH STD Brown and Pink 414","brown-and-pink-414","#975a0c"
"BRITISH STD Brown and Pink 415","brown-and-pink-415","#683c23"
"BRITISH STD Brown and Pink 439","brown-and-pink-439","#733718"
"BRITISH STD Brown and Pink 442","brown-and-pink-442","#e8c891"
"BRITISH STD Brown and Pink 443","brown-and-pink-443","#c78d77"
"BRITISH STD Brown and Pink 444","brown-and-pink-444","#944532"
"BRITISH STD Brown and Pink 445","brown-and-pink-445","#762e17"
"BRITISH STD Brown and Pink 446","brown-and-pink-446","#662c1f"
"BRITISH STD Brown and Pink 448","brown-and-pink-448","#54211a"
"BRITISH STD Brown and Pink 449","brown-and-pink-449","#4d2524"
"BRITISH STD Brown and Pink 451","brown-and-pink-451","#311d17"
"BRITISH STD Brown and Pink 473","brown-and-pink-473","#66231a"
"BRITISH STD Brown and Pink 489","brown-and-pink-489","#79492f"
"BRITISH STD Brown and Pink 490","brown-and-pink-490","#593120"
"BRITISH STD Red and Orange 536","red-and-orange-536","#c52e04"
"BRITISH STD Red and Orange 537","red-and-orange-537","#bc1603"
"BRITISH STD Red and Orange 538","red-and-orange-538","#9d0003"
"BRITISH STD Red and Orange 540","red-and-orange-540","#670f16"
"BRITISH STD Red and Orange 541","red-and-orange-541","#34191a"
"BRITISH STD Red and Orange 557","red-and-orange-557","#dd6800"
"BRITISH STD Red and Orange 570","red-and-orange-570","#ab3c0e"
"BRITISH STD Red and Orange 591","red-and-orange-591","#cc4b00"
"BRITISH STD Grey 628","grey-628","#a0a181"
"BRITISH STD Grey 629","grey-629","#949077"
"BRITISH STD Grey 630","grey-630","#999d88"
"BRITISH STD Grey 631","grey-631","#939c92"
"BRITISH STD Grey 632","grey-632","#5e6568"
"BRITISH STD Grey 633","grey-633","#313c42"
"BRITISH STD Grey 634","grey-634","#5e6050"
"BRITISH STD Grey 635","grey-635","#4a5247"
"BRITISH STD Grey 671","grey-671","#444748"
"BRITISH STD Grey 692","grey-692","#728f8c"
"BRITISH STD Grey 693","grey-693","#7f8782"
"BRITISH STD Grey 694","grey-694","#8b8d81"
"BRITISH STD Grey 695","grey-695","#232625"
"BRITISH STD Violet 796","violet-796","#633a69"
