"orchidee 1","orchidee-1","#883854"
"physalis 5","physalis-5","#ffb849"
"physalis 6","physalis-6","#ffc96b"
"physalis 7","physalis-7","#ffbe56"
"physalis 8","physalis-8","#ffd483"
"physalis 9","physalis-9","#ffde99"
"physalis 10","physalis-10","#ffedc1"
"physalis 11","physalis-11","#ffe6af"
"physalis 12","physalis-12","#fff2d1"
"physalis 13","physalis-13","#fdf4da"
"physalis 14","physalis-14","#fbf8e8"
"cacao 1","cacao-1","#7e5a3f"
"cacao 2","cacao-2","#976b4c"
"cacao 3","cacao-3","#8f6548"
"cacao 4","cacao-4","#a77858"
"cacao 5","cacao-5","#ad7d5d"
"cacao 6","cacao-6","#c49676"
"cacao 7","cacao-7","#b58664"
"cacao 8","cacao-8","#d1a88a"
"cacao 9","cacao-9","#ddba9e"
"cacao 10","cacao-10","#f0d9c4"
"cacao 11","cacao-11","#e8cbb2"
"cacao 12","cacao-12","#f3e3d1"
"cacao 13","cacao-13","#f9eddd"
"cacao 14","cacao-14","#faf3e4"
"caramel 1","caramel-1","#c9933f"
"caramel 2","caramel-2","#e1b05f"
"caramel 3","caramel-3","#eabc71"
"caramel 4","caramel-4","#f4d398"
"caramel 5","caramel-5","#fdeed1"
"marille 1","marille-1","#ffae12"
"marille 2","marille-2","#ffbb2b"
"marille 3","marille-3","#ffb41d"
"marille 4","marille-4","#ffc13c"
"marille 5","marille-5","#ffc744"
"marille 6","marille-6","#ffd367"
"marille 7","marille-7","#ffcc52"
"marille 8","marille-8","#ffdd7f"
"marille 9","marille-9","#ffe599"
"marille 10","marille-10","#fff1c2"
"marille 11","marille-11","#ffebaf"
"marille 12","marille-12","#fff5d0"
"marille 13","marille-13","#fdf7dc"
"marille 14","marille-14","#fdfae8"
"kandis 1","kandis-1","#715a47"
"kandis 2","kandis-2","#856c57"
"kandis 3","kandis-3","#7e6653"
"kandis 4","kandis-4","#957d68"
"kandis 5","kandis-5","#9c846f"
"kandis 6","kandis-6","#b49f8b"
"kandis 7","kandis-7","#a38d78"
"kandis 8","kandis-8","#c3b19e"
"kandis 9","kandis-9","#d1c1af"
"kandis 10","kandis-10","#e8ddcf"
"kandis 11","kandis-11","#ded0c0"
"kandis 12","kandis-12","#efe6da"
"kandis 13","kandis-13","#f5efe4"
"kandis 14","kandis-14","#f7f3ea"
"sand 1","sand-1","#c29f41"
"sand 2","sand-2","#dcbb64"
"sand 3","sand-3","#e4c676"
"sand 4","sand-4","#f1da9d"
"sand 5","sand-5","#fcf2d4"
"grapefruit 1","grapefruit-1","#ffb805"
"grapefruit 2","grapefruit-2","#ffc324"
"grapefruit 3","grapefruit-3","#ffbc12"
"grapefruit 4","grapefruit-4","#ffca38"
"grapefruit 5","grapefruit-5","#ffcc3c"
"grapefruit 6","grapefruit-6","#ffd965"
"grapefruit 7","grapefruit-7","#ffd24e"
"grapefruit 8","grapefruit-8","#ffe180"
"grapefruit 9","grapefruit-9","#ffe897"
"grapefruit 10","grapefruit-10","#fff2c0"
"grapefruit 11","grapefruit-11","#ffeeae"
"grapefruit 12","grapefruit-12","#fff6d2"
"grapefruit 13","grapefruit-13","#fdf6db"
"grapefruit 14","grapefruit-14","#fdf8e4"
"safran 1","safran-1","#d2953b"
"safran 2","safran-2","#e0a549"
"safran 3","safran-3","#dc9f43"
"safran 4","safran-4","#e8b057"
"safran 5","safran-5","#ecb45c"
"safran 6","safran-6","#f6c779"
"safran 7","safran-7","#f0bc67"
"safran 8","safran-8","#f9d18e"
"safran 9","safran-9","#fbdca4"
"safran 10","safran-10","#feedca"
"safran 11","safran-11","#fee6b9"
"safran 12","safran-12","#fef2d7"
"safran 13","safran-13","#fbf4e0"
"safran 14","safran-14","#fcf7e8"
"macchia 1","macchia-1","#6e764d"
"macchia 2","macchia-2","#8c9567"
"macchia 3","macchia-3","#9ba274"
"macchia 4","macchia-4","#bbc19a"
"macchia 5","macchia-5","#e2e6d0"
"citro 1","citro-1","#ffcf00"
"citro 2","citro-2","#ffd700"
"citro 3","citro-3","#ffd500"
"citro 4","citro-4","#ffdb31"
"citro 5","citro-5","#ffdd39"
"citro 6","citro-6","#ffe564"
"citro 7","citro-7","#ffe14d"
"citro 8","citro-8","#ffea81"
"citro 9","citro-9","#ffee99"
"citro 10","citro-10","#fff4bf"
"citro 11","citro-11","#fff1ac"
"citro 12","citro-12","#fff7cf"
"citro 13","citro-13","#fff8da"
"citro 14","citro-14","#fdf9e3"
"anis 1","anis-1","#936d3c"
"anis 2","anis-2","#a87f49"
"anis 3","anis-3","#9e7742"
"anis 4","anis-4","#b58c54"
"anis 5","anis-5","#bb935a"
"anis 6","anis-6","#d0ab76"
"anis 7","anis-7","#c49c64"
"anis 8","anis-8","#dbbb8a"
"anis 9","anis-9","#e5ca9f"
"anis 10","anis-10","#f3e2c3"
"anis 11","anis-11","#edd7b4"
"anis 12","anis-12","#f8ead1"
"anis 13","anis-13","#f9efd9"
"anis 14","anis-14","#fcf6e7"
"petrol 1","petrol-1","#4e686c"
"petrol 2","petrol-2","#82a0a4"
"petrol 3","petrol-3","#96b2b5"
"petrol 4","petrol-4","#bfd2d3"
"petrol 5","petrol-5","#e5eeeb"
"pistachio 1","pistachio-1","#a1bb13"
"pistachio 2","pistachio-2","#b8c72d"
"pistachio 3","pistachio-3","#b2c421"
"pistachio 4","pistachio-4","#c6cf3f"
"pistachio 5","pistachio-5","#cbd247"
"pistachio 6","pistachio-6","#dcde6a"
"pistachio 7","pistachio-7","#d1d653"
"pistachio 8","pistachio-8","#e5e481"
"pistachio 9","pistachio-9","#ecea98"
"pistachio 10","pistachio-10","#f8f4c4"
"pistachio 11","pistachio-11","#f2eeaf"
"pistachio 12","pistachio-12","#f9f5d0"
"pistachio 13","pistachio-13","#f9f7db"
"pistachio 14","pistachio-14","#fcf9e4"
"curuma 1","curuma-1","#dd9d2b"
"curuma 2","curuma-2","#e7ac32"
"curuma 3","curuma-3","#e1a428"
"curuma 4","curuma-4","#eeb640"
"curuma 5","curuma-5","#f1bb47"
"curuma 6","curuma-6","#f8cb65"
"curuma 7","curuma-7","#f4c153"
"curuma 8","curuma-8","#fbd57b"
"curuma 9","curuma-9","#fedf95"
