"S 2060-Y10R","s-2060-y10r","#ce9c35"
"S 2070-Y10R","s-2070-y10r","#d19500"
"S 3060-Y10R","s-3060-y10r","#b2822b"
"S 0505-Y20R","s-0505-y20r","#f4ebd4"
"S 0507-Y20R","s-0507-y20r","#f7ecd0"
"S 0510-Y20R","s-0510-y20r","#f9e7c4"
"S 1010-Y20R","s-1010-y20r","#e9d7b6"
"S 0603-Y20R","s-0603-y20r","#f1ecdd"
"S 1005-Y20R","s-1005-y20r","#e6dcc6"
"S 1505-Y20R","s-1505-y20r","#dad2c0"
"S 2005-Y20R","s-2005-y20r","#ccc5b4"
"S 1005-Y20R","s-1005-y20r","#e3d9c3"
"S 2005-Y20R","s-2005-y20r","#ccc4b3"
"S 3005-Y20R","s-3005-y20r","#b5ab9a"
"S 4005-Y20R","s-4005-y20r","#a09686"
"S 5005-Y20R","s-5005-y20r","#8d8476"
"S 6005-Y20R","s-6005-y20r","#786e61"
"S 7005-Y20R","s-7005-y20r","#5e574d"
"S 8005-Y20R","s-8005-y20r","#4b4339"
"S 8505-Y20R","s-8505-y20r","#373028"
"S 0515-Y20R","s-0515-y20r","#fae2b7"
"S 1015-Y20R","s-1015-y20r","#eed6ab"
"S 1515-Y20R","s-1515-y20r","#e0c8a0"
"S 1510-Y20R","s-1510-y20r","#ddccad"
"S 2010-Y20R","s-2010-y20r","#ccbc9f"
"S 3010-Y20R","s-3010-y20r","#b6a68c"
"S 0520-Y20R","s-0520-y20r","#fddea9"
"S 1020-Y20R","s-1020-y20r","#eacd9f"
"S 2020-Y20R","s-2020-y20r","#d0b387"
"S 3020-Y20R","s-3020-y20r","#b99c75"
"S 4020-Y20R","s-4020-y20r","#a78a64"
"S 5020-Y20R","s-5020-y20r","#8f7351"
"S 6020-Y20R","s-6020-y20r","#775c3e"
"S 7020-Y20R","s-7020-y20r","#624b33"
"S 0530-Y20R","s-0530-y20r","#fdd392"
"S 1030-Y20R","s-1030-y20r","#f2c78a"
"S 2030-Y20R","s-2030-y20r","#d3ac75"
"S 3030-Y20R","s-3030-y20r","#b99361"
"S 4030-Y20R","s-4030-y20r","#a47e4f"
"S 5030-Y20R","s-5030-y20r","#8d6a3f"
"S 6030-Y20R","s-6030-y20r","#75532e"
"S 0540-Y20R","s-0540-y20r","#ffc97b"
"S 1040-Y20R","s-1040-y20r","#f3bd72"
"S 2040-Y20R","s-2040-y20r","#d9a460"
"S 3040-Y20R","s-3040-y20r","#bc8c50"
"S 3050-Y20R","s-3050-y20r","#b9833a"
"S 4040-Y20R","s-4040-y20r","#a1753e"
"S 4050-Y20R","s-4050-y20r","#9d6a2b"
"S 5040-Y20R","s-5040-y20r","#8d6331"
"S 0550-Y20R","s-0550-y20r","#ffc267"
"S 0560-Y20R","s-0560-y20r","#ffb850"
"S 1050-Y20R","s-1050-y20r","#f4b55e"
"S 1060-Y20R","s-1060-y20r","#f7ad48"
"S 2050-Y20R","s-2050-y20r","#d79c4e"
"S 2060-Y20R","s-2060-y20r","#d59237"
"S 3060-Y20R","s-3060-y20r","#b77a2b"
"S 3560-Y20R","s-3560-y20r","#a76d23"
"S 0560-Y20R","s-0560-y20r","#ffb951"
"S 0570-Y20R","s-0570-y20r","#ffb237"
"S 0580-Y20R","s-0580-y20r","#ffa700"
"S 0585-Y20R","s-0585-y20r","#ffaa00"
"S 1070-Y20R","s-1070-y20r","#f3a330"
"S 1080-Y20R","s-1080-y20r","#f19900"
"S 2070-Y20R","s-2070-y20r","#d1871b"
"S 3065-Y20R","s-3065-y20r","#b97515"
"S 0505-Y30R","s-0505-y30r","#f3e7d2"
"S 1010-Y30R","s-1010-y30r","#ead6b9"
"S 1510-Y30R","s-1510-y30r","#ddc9ad"
"S 0804-Y30R","s-0804-y30r","#ede4d3"
"S 0907-Y30R","s-0907-y30r","#ecddc6"
"S 1005-Y30R","s-1005-y30r","#e4dac7"
"S 1505-Y30R","s-1505-y30r","#dbd0be"
"S 2005-Y30R","s-2005-y30r","#cdc3b2"
"S 0510-Y30R","s-0510-y30r","#fae6c8"
"S 1010-Y30R","s-1010-y30r","#ead6b9"
"S 2010-Y30R","s-2010-y30r","#d6c2a7"
"S 3010-Y30R","s-3010-y30r","#bba68e"
"S 4010-Y30R","s-4010-y30r","#a5927e"
"S 5010-Y30R","s-5010-y30r","#907b66"
"S 6010-Y30R","s-6010-y30r","#7e6956"
"S 7010-Y30R","s-7010-y30r","#645242"
"S 8010-Y30R","s-8010-y30r","#47392c"
"S 0515-Y30R","s-0515-y30r","#fbdbb5"
"S 1015-Y30R","s-1015-y30r","#eed0ab"
"S 1515-Y30R","s-1515-y30r","#e1c4a0"
"S 1510-Y30R","s-1510-y30r","#dec9ad"
"S 2010-Y30R","s-2010-y30r","#d6c2a7"
"S 3010-Y30R","s-3010-y30r","#bba68e"
"S 5010-Y30R","s-5010-y30r","#8f7b65"
"S 6010-Y30R","s-6010-y30r","#7e6955"
"S 0520-Y30R","s-0520-y30r","#fad7ac"
