"Sahara","DEC747","#d5c3ad"
"Oyster","DEC748","#e3d3bf"
"Linen White","DEC749","#e9dcd1"
"Bison Beige","DEC750","#9f9180"
"Ash Gray","DEC751","#c1b5a9"
"Birchwood","DEC752","#ccbeac"
"Almond","DEC753","#eddcc8"
"Quicksand","DEC754","#e2d0b9"
"Cocoa","DEC755","#736354"
"Weathered Brown","DEC756","#59504c"
"Rincon Cove","DEC757","#c7b39e"
"Cashmere","DEC758","#ebdbca"
"Hickory ","DEC759","#b7a28e"
"Desert Gray","DEC760","#b8a487"
"Cochise","DEC761","#ddcdb3"
"Milkweed","DEC762","#f9ecd1"
"Oatmeal Cookie","DEC763","#f6ebd3"
"Inside Passage","DEC764","#e0cfb5"
"Bone","DEC765","#eadfce"
"Steveareno Beige","DEC766","#c5b5a4"
"Riverbed","DEC767","#d2c5ae"
"Winter Lite","DEC768","#efe0c9"
"Ranier White","DEC769","#f7ecd8"
"Drifting","DEC770","#beb4a8"
"Shaggy Barked","DEC771","#b3ab98"
"Navajo White","DEC772","#ebe1c9"
"Heather","DEC773","#d6cfbf"
"Shady","DEC774","#dbd6cb"
"Sea Glass","DEC775","#c7c4a5"
"Courtyard Green","DEC776","#978d71"
"Meadowood","DEC777","#9da28e"
"Boxwood","DEC778","#707b71"
"Woodlawn Green","DEC779","#405b50"
"Tickled Crow","DEC780","#b6baa4"
"Sycamore Stand","DEC781","#959e8f"
"Belize Green","DEC782","#b9c3b3"
"Opaline","DEC783","#c1d1c4"
"Green Mirror","DEC784","#d7e2d5"
"Whisper Gray","DEC785","#e9e5da"
"Miner's Dust","DEC786","#d3cec5"
"Mythical Blue","DEC787","#93a8a7"
"Dark Lagoon","DEC788","#6a7f7d"
"Light Gray","DEC789","#979d9a"
"Ice Gray","DEC790","#cac7c4"
"Cloud","DEC791","#d8d7d3"
"Cape Cod Blue","DEC792","#91a2a6"
"Chalky","DEC793","#e9e9e1"
"Salina Springs","DEC794","#cad2d4"
"Gray Pearl","DEC795","#c3c0bb"
"Irogon Blue","DEC796","#9dacb5"
"Battleship Gray","DEC797","#6f7476"
"Taliesin Blue","DEC798","#707e84"
"Wharf View","DEC799","#65737e"
"Antique Paper","DE6218","#f4f0e8"
"Crystal Haze","DE6219","#e7e2d6"
"Porous Stone","DE6220","#d4cebf"
"Flintstone","DE6221","#bbb3a2"
"Weather Board","DE6222","#9f947d"
"Mission Trail","DE6223","#857a64"
"Treasure Chest","DE6224","#726854"
"Fossil","DE6225","#f4f1eb"
"Foggy Day","DE6226","#e7e3db"
"Muslin","DE6227","#d4d0c5"
"Play on Gray","DE6228","#bab6a9"
"Calico Rock","DE6229","#9c9584"
"Center Ridge","DE6230","#817a69"
"Shaker Gray","DE6231","#6c6556"
"Abstract White","DE6232","#ede9dd"
"Limestone","DE6233","#dcd8c7"
"Serene Thought","DE6234","#c5c0ac"
"Northgate Green","DE6235","#aaa388"
"Wilderness","DE6236","#8f886c"
"Denali Green","DE6237","#7d775d"
"Spruce Woods","DE6238","#6f6a52"
"Latte Froth","DE6239","#f3f0e8"
"Watermist","DE6240","#e6e3d8"
"Lunar Landing","DE6241","#d2cfc1"
"Wells Gray","DE6242","#b9b5a4"
"Union Springs","DE6243","#9c9680"
"Smoky Forest","DE6244","#817d68"
"Aged Jade","DE6245","#6c6956"
"Moonlight","DE6246","#f2f1e6"
"Garden Pebble","DE6247","#e4e4d5"
"Spooky","DE6248","#d1d2bf"
"Trinity Islands","DE6249","#b9b79b"
"Fairbank Green","DE6250","#9d9c7e"
"Green Scene","DE6251","#858365"
"Secret Path","DE6252","#737054"
"Cotton Field","DE6253","#f2f0e8"
"Light Sprinkle","DE6254","#e3e3d7"
"Wishing Well","DE6255","#d0d1c1"
"Turtle Trail","DE6256","#b6b5a0"
"Battle Harbor","DE6257","#9c9c82"
"Ivy Garden","DE6258","#818068"
"Secluded Green","DE6259","#6f6d56"
"Wishful White","DE6260","#f4f1e8"
"Ice Palace","DE6261","#e2e4d7"
"Glass Tile","DE6262","#cdd0c0"
"Pistachio Shell","DE6263","#b1b6a3"
"Fair Spring","DE6264","#93977f"
"Moss Covered","DE6265","#7a7e66"
"Bijoux Green","DE6266","#676b55"
"Dove's Wing","DE6267","#f4f2ea"
"Pearly Star","DE6268","#e4e4da"
"Particular Mint","DE6269","#d0d2c5"
"Antique Coin","DE6270","#b5b8a8"
"Elemental Green","DE6271","#969783"
"Dried Chive","DE6272","#7b7d69"
"Green Gate","DE6273","#676957"
"Frostbite","DE6274","#ecebe5"
"Silver Creek","DE6275","#d9dad2"
"Silhouette","DE6276","#cbcdc4"
"Pebble Walk","DE6277","#afb2a7"
"Stone Creek","DE6278","#8f9183"
"Armored Steel","DE6279","#747769"
"English Forest","DE6280","#606256"
"Shadow White","DE6281","#eef1ea"
"Distant Haze","DE6282","#dfe4da"
"Granite","DE6283","#c8d1c4"
"Graceful Green","DE6284","#acb7a8"
"Linden Spear","DE6285","#8e9985"
"Greenland","DE6286","#737d6a"
"Italian Basil","DE6287","#5f6957"
"Windy Sky","DE6288","#e8ebe7"
"Silver Fox","DE6289","#d5dbd5"
"Ashwood","DE6290","#bcc4bd"
"Casting Shadow","DE6291","#9da7a0"
"Stone Craft","DE6292","#7d867c"
"Velvet Clover","DE6293","#656d63"
"Midnight Spruce","DE6294","#555b53"
"Lightning Bolt","DE6295","#e5ebe6"
"Sculptural Silver","DE6296","#d1dad5"
"Patina Creek","DE6297","#b6c4bd"
"Agate Green","DE6298","#96a69f"
"Limerick","DE6299","#76857b"
"Windrock","DE6300","#5e6c62"
"Hidden Forest","DE6301","#4f5a51"
"Mist Spirit","DE6302","#e4ebe7"
"Sky Glass","DE6303","#d0dbd7"
"Blustery Wind","DE6304","#b6c5c1"
"Galway Bay","DE6305","#95a7a4"
"Armor ","DE6306","#74857f"
"Artistic Stone","DE6307","#5c6b65"
"Black Spruce","DE6308","#4c5752"
"Gray Wonder","DE6309","#e5e8e6"
"Rainy Season","DE6310","#d1d8d6"
"Haze Blue","DE6311","#b7c0be"
"Dusty Dream","DE6312","#97a2a0"
"Enchanted Eve","DE6313","#79837f"
"Dark Pewter","DE6314","#606865"
"Black Pool","DE6315","#4f5552"
"Cold Water","DE6316","#d9dfe0"
"Mount Sterling","DE6317","#cad3d4"
"Lake Placid","DE6318","#aeb9bc"
"Gray Flannel","DE6319","#8d9a9e"
"Pike Lake","DE6320","#6c7779"
"Soot","DE6321","#555e5f"
"Black Lead","DE6322","#474c4d"
"White Lake","DE6323","#e2e7e7"
"Veiled Spotlight","DE6324","#cfd5d7"
"Crestline","DE6325","#b4bcbf"
"Soft Pumice","DE6326","#949ea2"
"Rhinoceros","DE6327","#727a7c"
"Anchor Gray","DE6328","#596062"
"Cover of Night","DE6329","#494e4f"
"Waterloo","DE6330","#d9dfe3"
"Bay of Hope","DE6331","#bfc9d0"
"Glen Falls","DE6332","#acb8c1"
"Hamilton Blue","DE6333","#8a99a4"
"Long Lake","DE6334","#68757e"
"Novelty Navy","DE6335","#515b62"
"Stargazing","DE6336","#414549"
"Silver City","DE6337","#e3e5e8"
"Shiny Nickel","DE6338","#ccd3d8"
"Adirondack","DE6339","#b0b9c1"
"Canadian Lake","DE6340","#8f9aa4"
"Vulcan","DE6341","#6c757d"
"Blue Steel","DE6342","#535a61"
"Salem Black","DE6343","#45494d"
"Wisp of Smoke","DE6344","#e5e7e9"
"Sparkling Frost","DE6345","#d2d5da"
"Silver Springs","DE6346","#b7bdc4"
"Shining Knight","DE6347","#989ea7"
"Draw Your Sword","DE6348","#6c7179"
"Edge of Black","DE6349","#54585e"
"Dark Engine","DE6350","#3e3f41"
"Cold Wind","DE6351","#e1e3e4"
"December Sky","DE6352","#d5d7d9"
"Silver Lined","DE6353","#bbbfc3"
"Gray Wolf","DE6354","#9ca0a6"
"Tarnished Silver","DE6355","#797b80"
"Sheet Metal","DE6356","#5e6063"
"Black Tie","DE6357","#464647"
"Vapor","DE6358","#eaeaea"
"Silver Setting","DE6359","#d8dadb"
"Foil","DE6360","#c0c3c4"
"Baby Seal","DE6361","#a1a5a8"
"Storm Cloud","DE6362","#808283"
"Pointed Rock","DE6363","#646767"
"Cavernous","DE6364","#515252"
"Cold Morning","DE6365","#e6e5e4"
"Silver Spoon","DE6366","#d3d3d2"
"Covered in Platinum","DE6367","#b9baba"
"Walrus","DE6368","#999b9b"
"Legendary Gray","DE6369","#787976"
"Charcoal Smudge","DE6370","#60605e"
"Black Jack","DE6371","#51504d"
"Lace Veil","DE6372","#ecebea"
"Porpoise","DE6373","#dbdbda"
"Silver Polish","DE6374","#c6c6c6"
"Castlerock","DE6375","#a9aaab"
"Looking Glass","DE6376","#888786"
"Boat Anchor","DE6377","#6c6b6a"
"Jet","DE6378","#575654"
"Silver Lake","DE6379","#dedddd"
"Clouded Vision","DE6380","#d1d0d1"
"Silver Bullet","DE6381","#b6b5b8"
"Formal Gray","DE6382","#97969a"
"Bank Vault","DE6383","#757374"
"Iron Fixture","DE6384","#5d5b5b"
"Black Bean","DE6385","#4e4b4a"
"Snow Peak","DE6386","#e0dcdb"
"Dangerous Robot","DE6387","#cbc5c6"
"Smoky Mountain","DE6388","#afa8a9"
"Fallen Rock","DE6389","#8e8583"
"Chocolate Pudding","DE6390","#6f6665"
"Black Russian","DE6391","#5c5451"
"Mink","DE6392","#524a46"
"Mountain Air","DE6393","#e6e0e0"
"Eagle's View","DE6394","#d4cbcc"
"Antique Mauve","DE6395","#bbb0b1"
"Ashen Plum","DE6396","#9b9092"
"Hickory Cliff","DE6397","#7c6e6d"
"Louisiana Mud","DE6398","#655856"
"Molasses","DE6399","#574a47"
"Silent Breath","DE5714","#e9f1ec"
"Fizzle","DE5715","#d8e4de"
"Rolling Waves","DE5716","#bfd1c9"
"Pistachio Ice Cream","DE5717","#a0b7ad"
"Mother Earth","DE5718","#849c8d"
