"DN-01-87 rotgrau 5","dn-01-87-rotgrau-5","#faf3ee"
"U0-05-56 blaugrau 2","u0-05-56-blaugrau-2","#989da0"
"T9-05-46 blaugrau 1","t9-05-46-blaugrau-1","#86898b"
"VN-02-83 taube 5","vn-02-83-taube-5","#edecf2"
"UN-02-77 taube 4","un-02-77-taube-4","#d8d9de"
"U0-05-66 taube 3","u0-05-66-taube-3","#b6b9c4"
"U0-05-56 taube 2","u0-05-56-taube-2","#999da6"
"T9-05-46 taube 1","t9-05-46-taube-1","#858890"
"TN-02-84 flieder 5","tn-02-84-flieder-5","#e8ebf0"
"U0-06-83 flieder 4","u0-06-83-flieder-4","#dde4f5"
"T9-10-71 flieder 3","t9-10-71-flieder-3","#bec8df"
"U1-09-60 flieder 2","u1-09-60-flieder-2","#a5abbd"
"U2-09-41 flieder 1","u2-09-41-flieder-1","#747988"
"T1-05-81 jeans 5","t1-05-81-jeans-5","#dbe4e7"
"T0-04-73 jeans 4","t0-04-73-jeans-4","#cacfd5"
"S6-15-70 jeans 3","s6-15-70-jeans-3","#b0cadf"
"S9-21-59 jeans 2","s9-21-59-jeans-2","#8eaecc"
"T0-20-40 jeans 1","t0-20-40-jeans-1","#677c92"
"R7-08-83 gletscher 5","r7-08-83-gletscher-5","#d8edf6"
"R9-10-80 gletscher 4","r9-10-80-gletscher-4","#cee7f3"
"S1-13-73 gletscher 3","s1-13-73-gletscher-3","#b9d4e5"
"R9-20-60 gletscher 2","r9-20-60-gletscher-2","#8aafc4"
"R8-32-29 gletscher 1","r8-32-29-gletscher-1","#446779"
"Q8-04-83 azur 5 ","q8-04-83-azur-5","#e0eef0"
"R0-13-77 azur 4","r0-13-77-azur-4","#bcdfea"
"R1-20-70 azur 3 ","r1-20-70-azur-3","#99cdde"
"R0-20-60 azur 2 ","r0-20-60-azur-2","#83b0c0"
"Q9-29-41 azur 1","q9-29-41-azur-1","#4f8191"
"R8-12-79 indigo 5","r8-12-79-indigo-5","#c4e0ef"
"R9-18-71 indigo 4","r9-18-71-indigo-4","#a5cce1"
"S4-26-64 indigo 3","s4-26-64-indigo-3","#8bbce0"
"S1-38-56 indigo 2","s1-38-56-indigo-2","#5ea8d3"
"S5-49-41 indigo 1","s5-49-41-indigo-1","#2b82b4"
"T8-08-78 lapis 5","t8-08-78-lapis-5","#d4ddf0"
"U0-17-68 lapis 4","u0-17-68-lapis-4","#b1c2e5"
"U0-20-60 lapis 3","u0-20-60-lapis-3","#9aadd5"
"U0-40-39 lapis 2","u0-40-39-lapis-2","#5279b1"
"U0-39-28 lapis 1","u0-39-28-lapis-1","#415f90"
"V0-06-80 lavendel 5","v0-06-80-lavendel-5","#dfdfee"
"V0-13-67 lavendel 4","v0-13-67-lavendel-4","#b9bbdb"
"U9-25-54 lavendel 3","u9-25-54-lavendel-3","#9299d0"
"U9-31-41 lavendel 2","u9-31-41-lavendel-2","#7078af"
"U9-48-19 lavendel 1","u9-48-19-lavendel-1","#3c497f"
"AN-01-85 violettgrau 5","an-01-85-violettgrau-5","#f2ebea"
"BN-01-79 violettgrau 4","bn-01-79-violettgrau-4","#e3dedd"
"AN-02-65 violettgrau 3","an-02-65-violettgrau-3","#bfb4b4"
"Z9-04-44 violettgrau 2","z9-04-44-violettgrau-2","#8d7f81"
"AN-02-35 violettgrau 1","an-02-35-violettgrau-1","#706a6b"
"XN-02-84 anthrazit 5","xn-02-84-anthrazit-5","#efe8ed"
"WN-02-77 anthrazit 4","wn-02-77-anthrazit-4","#dfd9e0"
"W0-05-65 anthrazit 3","w0-05-65-anthrazit-3","#bab5c2"
"W1-05-46 anthrazit 2","w1-05-46-anthrazit-2","#89848f"
"W0-05-36 anthrazit 1","w0-05-36-anthrazit-1","#706b75"
"WN-02-82 veilchen 5","wn-02-82-veilchen-5","#e9e4eb"
"V9-04-79 veilchen 4","v9-04-79-veilchen-4","#e1dce8"
"W0-08-71 veilchen 3","w0-08-71-veilchen-3","#cdc4db"
