"HL8543","hl8543","#ffad1e"
"HL8544","hl8544","#3a7196"
"HL8545","hl8545","#a09d88"
"HL8551","hl8551","#79b197"
"HL8552","hl8552","#cf8570"
"HL8553","hl8553","#bab98c"
"HL8554","hl8554","#8392c5"
"HL8555","hl8555","#434547"
"HL8561","hl8561","#36b07e"
"HL8562","hl8562","#d87259"
"HL8563","hl8563","#f1db88"
"HL8564","hl8564","#d8abd3"
"HL8565","hl8565","#775264"
