"Colortrend F295","f295","#efa960"
"Colortrend F296","f296","#e7983e"
"Colortrend F297","f297","#f3ebcc"
"Colortrend F298","f298","#f5e7be"
"Colortrend F299","f299","#f2e8b8"
"Colortrend F300","f300","#f0e9b0"
"Colortrend F301","f301","#f1ebd2"
"Colortrend F302","f302","#f5eac8"
"Colortrend F303","f303","#f4e7c0"
"Colortrend F304","f304","#f2e0bc"
"Colortrend F305","f305","#eecf2a"
"Colortrend F306","f306","#eac125"
"Colortrend F307","f307","#efb635"
"Colortrend F308","f308","#efae33"
"Colortrend F309","f309","#efaa36"
"Colortrend F310","f310","#eaa433"
"Colortrend F311","f311","#e79931"
"Colortrend F312","f312","#e99c3e"
"Colortrend F313","f313","#b5a5a5"
"Colortrend F314","f314","#e2c2b9"
"Colortrend F315","f315","#c7c2c4"
"Colortrend F316","f316","#c7c2c4"
"Colortrend F317","f317","#c6c6c8"
"Colortrend F318","f318","#bdc4cf"
"Colortrend F319","f319","#a8b8ca"
"Colortrend F320","f320","#85b656"
"Colortrend F321","f321","#9bb545"
"Colortrend F322","f322","#aeb747"
"Colortrend F323","f323","#b9bf3d"
"Colortrend F324","f324","#c0bd3e"
"Colortrend F325","f325","#d5c53d"
"Colortrend F326","f326","#dfc135"
"Colortrend F327","f327","#d9925d"
"Colortrend F328","f328","#d58b60"
"Colortrend F329","f329","#cc7b5a"
"Colortrend F330","f330","#d6904f"
"Colortrend F331","f331","#d48850"
"Colortrend F332","f332","#c36f43"
"Colortrend F333","f333","#628cc8"
"Colortrend F334","f334","#4b8dc3"
"Colortrend F335","f335","#4874b6"
"Colortrend F336","f336","#3d6daf"
"Colortrend F337","f337","#3875a7"
"Colortrend F338","f338","#3666a0"
"Colortrend F339","f339","#367570"
"Colortrend F340","f340","#3b5e71"
"Colortrend F341","f341","#3d6473"
"Colortrend F342","f342","#3d6569"
"Colortrend F343","f343","#425b64"
"Colortrend F344","f344","#41595c"
"Colortrend F345","f345","#4d514e"
"Colortrend F346","f346","#424b4d"
"Colortrend F347","f347","#616853"
"Colortrend F348","f348","#505d4c"
"Colortrend F349","f349","#565d5d"
"Colortrend F350","f350","#45474b"
