"Trimetal D016B","trimetal-d016b","#f8e0c3"
"Trimetal D017C","trimetal-d017c","#f4dcc1"
"Trimetal D023G","trimetal-d023g","#b29672"
"Trimetal D036G","trimetal-d036g","#c69d64"
"Trimetal D038L","trimetal-d038l","#8f6728"
"Trimetal D040D","trimetal-d040d","#f7c683"
"Trimetal D040K","trimetal-d040k","#9f7336"
"Trimetal D046J","trimetal-d046j","#ac7c31"
"Trimetal D047G","trimetal-d047g","#ce994a"
"Trimetal D057H","trimetal-d057h","#be8629"
"Trimetal D069E","trimetal-d069e","#ffb337"
"Trimetal D074F","trimetal-d074f","#e89b00"
"Trimetal D101K","trimetal-d101k","#7a7978"
"Trimetal D112B","trimetal-d112b","#f5e4d0"
"Trimetal D126L","trimetal-d126l","#83673e"
"Trimetal D132D","trimetal-d132d","#edc994"
"Trimetal D142G","trimetal-d142g","#bd914f"
"Trimetal D144F","trimetal-d144f","#ddae65"
"Trimetal D202B","trimetal-d202b","#edeae7"
"Trimetal D203B","trimetal-d203b","#eae6e0"
"Trimetal D228E","trimetal-d228e","#dbbc8d"
"Trimetal D235H","trimetal-d235h","#b18d54"
"Trimetal D239K","trimetal-d239k","#9d773f"
"Trimetal D241G","trimetal-d241g","#bb9250"
"Trimetal D250G","trimetal-d250g","#c89a45"
"Trimetal D261G","trimetal-d261g","#ca9116"
"Trimetal D262G","trimetal-d262g","#c89127"
"Trimetal D279E","trimetal-d279e","#f7a900"
"Trimetal D326D","trimetal-d326d","#e8ca9d"
"Trimetal D331E","trimetal-d331e","#d5b783"
"Trimetal D336F","trimetal-d336f","#d0ad73"
"Trimetal D339H","trimetal-d339h","#ac8949"
"Trimetal D345F","trimetal-d345f","#cea55b"
"Trimetal D350E","trimetal-d350e","#deae53"
"Trimetal D354H","trimetal-d354h","#b68b32"
"Trimetal D361D","trimetal-d361d","#f7bd44"
"Trimetal D368G","trimetal-d368g","#cc9703"
"Trimetal D403N","trimetal-d403n","#53504c"
"Trimetal D409B","trimetal-d409b","#f4e9d8"
"Trimetal D415N","trimetal-d415n","#584b31"
"Trimetal D417K","trimetal-d417k","#84765c"
"Trimetal D422D","trimetal-d422d","#dbc6a0"
"Trimetal D432E","trimetal-d432e","#dbbd87"
"Trimetal D448F","trimetal-d448f","#d7ae5c"
"Trimetal D452C","trimetal-d452c","#fbc968"
"Trimetal D455E","trimetal-d455e","#e0b24f"
"Trimetal D459F","trimetal-d459f","#c89b2a"
"Trimetal D501G","trimetal-d501g","#a3a2a0"
"Trimetal D508C","trimetal-d508c","#e9e2d0"
"Trimetal D513B","trimetal-d513b","#f1e3cb"
"Trimetal D515B","trimetal-d515b","#edddc2"
"Trimetal D521B","trimetal-d521b","#f6dfb8"
"Trimetal D532C","trimetal-d532c","#f7d79c"
