"LM 284 Fiat Agri rotbraun","lm-284-fiat-agri-rotbraun","#873119"
"LM 8122 Krone Erntewagen hellbraun 8129","lm-8122-krone-erntewagen-hellbraun-8129","#8b6b35"
"LM 9388 Landini schwarzgrau","lm-9388-landini-schwarzgrau","#252427"
"BMS 7155 Atlas anthrazit","bms-7155-atlas-anthrazit","#4f4f49"
"BMS 9432 Bobcat white","bms-9432-bobcat-white","#e4e1d1"
"LM 291 Aufbauten wei","lm-291-aufbauten-wei","#d8ceb2"
"BMS 9378 Liebherr wei","bms-9378-liebherr-wei","#d1cfbf"
"LM 295 Renault wei","lm-295-renault-wei","#e4dcc3"
"LM 225 Motorblock silber","lm-225-motorblock-silber","#8f8b84"
"LM 226 Fendt diamantgrau metallic","lm-226-fendt-diamantgrau-metallic","#6e665a"
