"farbe-raum 6030-Y20R","6030-y20r","#714e25"
"farbe-raum 6030-Y50R","6030-y50r","#703f21"
"farbe-raum 6030-Y70R","6030-y70r","#673521"
"farbe-raum 6030-Y90R","6030-y90r","#602c28"
"farbe-raum 6500-N","6500-n","#656463"
"farbe-raum 7005-Y20R","7005-y20r","#595249"
"farbe-raum 7005-Y50R","7005-y50r","#60564e"
"farbe-raum 7010-B10G","7010-b10g","#3f4f56"
"farbe-raum 7010-G90Y","7010-g90y","#59513d"
"farbe-raum 7010-R90B","7010-r90b","#414c56"
"farbe-raum 7020-G","7020-g","#16402e"
"farbe-raum 7020-G30Y","7020-g30y","#334426"
"farbe-raum 7020-R","7020-r","#4b2727"
"farbe-raum 7020-R10B","7020-r10b","#44222b"
"farbe-raum 7020-R80B","7020-r80b","#1f334f"
"farbe-raum 7020-Y40R","7020-y40r","#5e3d25"
"farbe-raum 7020-Y60R","7020-y60r","#5a3625"
"farbe-raum 7500-N","7500-n","#4f4f4f"
"farbe-raum 7502-Y","7502-y","#504d47"
"farbe-raum 8005-Y80R","8005-y80r","#423631"
"farbe-raum 8010-G10Y","8010-g10y","#243528"
"farbe-raum 8010-R90B","8010-r90b","#1f2c38"
"farbe-raum 8010-Y10R","8010-y10r","#433522"
"farbe-raum 8010-Y30R","8010-y30r","#443323"
"farbe-raum 8010-Y50R","8010-y50r","#443023"
"farbe-raum 8010-Y70R","8010-y70r","#3e271a"
"farbe-raum 8500-N","8500-n","#302f2d"
"farbe-raum 9000-N","9000-n","#151617"
