"Black Box","MP33758","#0a1b20"
"Midnight Blue","MP2320","#4b3b5b"
"Midnight In Nome","MP8069","#506677"
"Ming Vase","MP6161","#004b69"
"Miramar","MP12682","#c0e7eb"
"Mojave Aster","MP3342","#4b6887"
"Monserrat Blue","MP17","#005b81"
"Mozart Blue","MP7031","#5d7985"
"Nantucket","MP6175","#5f5f85"
"Napoleon Blue","MP2598","#394577"
"Navajo Turquoise","MP10230","#207893"
"New Borns Eyes","MP7880","#b0c4d6"
"Night Mission","MP6678","#3b3850"
"North Sea Blue","MP8201","#004869"
"Ocho Rios Blue","MP3547","#2a5594"
"Oh So Blue","MP13999","#2f4f99"
"Oldham Blue","MP11818","#59777d"
"Paddington Blue","MP7327","#466baa"
"Pale Delphinium","MP893","#dde7ff"
"Pasha Blue","MP10596","#62546d"
"Pastel Smalt Blue","MP11589","#a7b7ec"
"Pastoral Blue","MP6046","#44668b"
"Patrician Blue","MP12008","#486a80"
"Peter O Teal","MP8339","#295b67"
"Plumage","MP6126","#005a7c"
"Process Cyan U","MP9133","#0088c5"
"Puget Sound Blue","MP11584","#194982"
"Purple Orchid","MP12013","#4e1461"
"Purple Print","MP2112","#785186"
"Queens Wreath","MP7461","#857f8e"
"Reflex Blue C 2X","MP1060","#201a44"
"Regalia Blue","MP2758","#181e53"
"Rendezvous Bay","MP7279","#57959c"
"River Teal Blue","MP741","#2a5962"
"Road House Blues","MP11862","#004f6e"
"Roman Bath Blue","MP950","#78cbd7"
"Rotterdam Blue","MP13704","#3e5d73"
"Royal Purple","MP2016","#4e1469"
"Sailboat Blue","MP2160","#1652a6"
"Santa Clara","MP7336","#60acb5"
"Scuro Blue","MP5264","#596e91"
"Sea Reflections","MP7030","#71909c"
"Skylight","MP2983","#dce5e4"
"Soda Can Blue","MP13912","#007cb3"
"South China Sea","MP10505","#43455c"
"St. Louis Blues","MP6186","#327473"
"St. Maarten Blue","MP356","#d1f8f5"
"Staid Blue","MP962","#d2d5dc"
"Starshine Blue","MP6062","#d9e1e4"
"Steamboat Blue","MP25133","#1f0d4f"
"Teal Edge","MP6679","#2e6972"
"Teal Plastic","MP11829","#608e94"
"Thalassa","MP8713","#62b8c0"
"Tintoretto Blue","MP8973","#374463"
"Tonal Blue","MP10359","#1f6e94"
"Toray Blue","MP13750","#28396a"
"Touch Of Dutch","MP10098","#747a8d"
"Tralee Blue","MP4654","#4b688f"
"Tres Blue","MP14019","#152c69"
"Van Deusen Blue","MP7440","#536575"
"Vans Blue Money","MP13740","#16143d"
"Vanuatu Blue","MP11703","#005779"
"Venetian Tile Blue","MP943","#8dcccf"
"Very Blue","MP10259","#313558"
"Victory Navy Blue","MP1989","#3c3254"
"Vienna Lake","MP4840","#9bccd4"
"Vinca Blue","MP13836","#8c92c5"
"Violet Kohl","MP11225","#7e767b"
"VW Bug Blue","MP907","#8ec7d9"
"Waloon Blue","MP2774","#6f86a2"
"Whitewashed Blue","MP948","#b7dfde"
"Wilmington Spruce","MP7535","#43949d"
"Working Blue","MP9431","#4e2d7d"
"Yin Yang","MP7477","#777d96"
"Alcazar Brown","MP11569","#855c4e"
"Alton Brown","MP2250","#533f42"
"Anodized Black","MP13338","#4c2f30"
"Antler","MP6720","#b79882"
"Arabica Bean","MP2833","#7d583e"
"Baked Cumin","MP7646","#b69667"
"Bear Creek","MP7050","#836452"
"Beaver Creek","MP6666","#978067"
"Beige Frame","MP12813","#bda890"
"Beigewood","MP7621","#9b8067"
"Bellaire Brown","MP12808","#391e1f"
"Brogan Brown","MP11559","#8a553c"
"Brown Bear","MP555","#4e3232"
"Brown Betty","MP158","#784d2f"
"Brown Bomber","MP13306","#6e3820"
"Brown County","MP4991","#956f54"
"Brown Ebony","MP13799","#55322e"
"Brown Shoe","MP1077","#5f4141"
"Brownian Motion","MP13377","#83675e"
"Camino","MP6390","#b4a290"
"Capilano Bridge","MP10441","#c1a47e"
"Cast Bronze","MP7458","#5a3d3d"
"Cattail Brown","MP2808","#8b6044"
"Chocolat Noir","MP13335","#5a3d3d"
"Chocolate Bliss","MP10161","#73544c"
"Chocolate Thunder","MP11705","#471600"
"Choconut","MP554","#564141"
"Chukker Brown","MP12860","#b39a7e"
"Clay Ball","MP11949","#aa9784"
"Clay Beige","MP12385","#ab9784"
"Cocoa Crispy","MP857","#5d2e27"
"Craft Brown","MP3181","#9f7f69"
"Dark Horse","MP11194","#442929"
"Dark Roast","MP12213","#442929"
