"Scala 66-18-15","scala-66-18-15","#56bbdf"
"Scala 66-18-24","scala-66-18-24","#00739e"
"Scala 69-03-03","scala-69-03-03","#e7edea"
"Scala 69-03-12","scala-69-03-12","#b2bdbf"
"Scala 69-03-18","scala-69-03-18","#8e9799"
"Scala 69-06-33","scala-69-06-33","#313c3f"
"Scala 69-09-12","scala-69-09-12","#b2cad1"
"Scala 69-09-18","scala-69-09-18","#769ba9"
"Scala 69-09-27","scala-69-09-27","#33555f"
"Scala 69-15-21","scala-69-15-21","#2b8eae"
"Scala 69-18-03","scala-69-18-03","#cde8e8"
"Scala 69-18-06","scala-69-18-06","#bee6e8"
"Scala 69-18-15","scala-69-18-15","#4bbccd"
"Scala 69-18-21","scala-69-18-21","#0092ac"
"Scala 72-09-03","scala-72-09-03","#d0e0db"
"Scala 72-12-06","scala-72-12-06","#c5e5e6"
"Scala 72-12-09","scala-72-12-09","#abd9dd"
"Scala 72-15-15","scala-72-15-15","#71bbbc"
"Scala 72-15-18","scala-72-15-18","#58a6a5"
"Scala 72-18-24","scala-72-18-24","#007879"
"Scala 72-18-27","scala-72-18-27","#005f67"
"Scala 72-21-18","scala-72-21-18","#00abaf"
"Scala 75-03-03","scala-75-03-03","#ecede8"
"Scala 75-06-03","scala-75-06-03","#e5ede7"
"Scala 75-06-06","scala-75-06-06","#dae0dc"
"Scala 75-09-03","scala-75-09-03","#e0ede6"
"Scala 75-09-09","scala-75-09-09","#c1d7cf"
"Scala 75-09-18","scala-75-09-18","#879d98"
"Scala 75-12-06","scala-75-12-06","#c9e4de"
"Scala 75-12-12","scala-75-12-12","#9ccbc5"
"Scala 75-15-15","scala-75-15-15","#8bb8ae"
"Scala 75-18-03","scala-75-18-03","#c9ece1"
"Scala 75-18-18","scala-75-18-18","#00b2a1"
"Scala 75-18-24","scala-75-18-24","#007a72"
"Scala 78-01-03","scala-78-01-03","#e3e9e5"
"Scala 78-01-09","scala-78-01-09","#c7cbc7"
"Scala 78-01-15","scala-78-01-15","#9a9f9d"
"Scala 78-03-03","scala-78-03-03","#e3ece2"
