"010903000030135","010903000030135","#063356"
"010904000045135","010904000045135","#003759"
"010905000060135","010905000060135","#003b5c"
"010906000075135","010906000075135","#003f5f"
"010907000090135","010907000090135","#004563"
"010908000105135","010908000105135","#004964"
"010909000120135","010909000120135","#004d65"
"010910000135135","010910000135135","#005268"
"010911000150135","010911000150135","#00586a"
"010912000165135","010912000165135","#005f6c"
"010913000180135","010913000180135","#00676f"
"010914000195135","010914000195135","#006e72"
"010915000210135","010915000210135","#007374"
"010916000225135","010916000225135","#007876"
"010917000240135","010917000240135","#007876"
"010918000255135","010918000255135","#007877"
"011001000000120","011001000000120","#162d49"
"011002000015120","011002000015120","#0e2d4b"
"011003000030120","011003000030120","#07314e"
"011004000045120","011004000045120","#003450"
"011005000060120","011005000060120","#003b56"
"011006000075120","011006000075120","#003e57"
"011007000090120","011007000090120","#004259"
"011008000105120","011008000105120","#00475a"
"011009000120120","011009000120120","#004a5b"
"011010000135120","011010000135120","#00525f"
"011011000150120","011011000150120","#005861"
"011012000165120","011012000165120","#005e62"
"011013000180120","011013000180120","#006664"
"011014000195120","011014000195120","#006c67"
"011015000210120","011015000210120","#007268"
"011016000225120","011016000225120","#007669"
"011017000240120","011017000240120","#00776a"
"011018000255120","011018000255120","#00766a"
"011101000000105","011101000000105","#142940"
"011102000015105","011102000015105","#102b43"
"011103000030105","011103000030105","#0e3046"
"011104000045105","011104000045105","#043248"
"011105000060105","011105000060105","#00374c"
"011106000075105","011106000075105","#003b4e"
"011107000090105","011107000090105","#004051"
"011108000105105","011108000105105","#004452"
"011109000120105","011109000120105","#004a53"
"011110000135105","011110000135105","#005056"
"011111000150105","011111000150105","#005758"
"011112000165105","011112000165105","#005d59"
"011113000180105","011113000180105","#00645a"
"011114000195105","011114000195105","#006b5c"
"011115000210105","011115000210105","#006e5b"
"011116000225105","011116000225105","#00745d"
"011117000240105","011117000240105","#00755e"
"011118000255105","011118000255105","#00745e"
"011201000000090","011201000000090","#18283a"
"011202000015090","011202000015090","#152b3d"
"011203000030090","011203000030090","#102d3e"
"011204000045090","011204000045090","#083041"
"011205000060090","011205000060090","#003544"
"011206000075090","011206000075090","#003946"
"011207000090090","011207000090090","#003e48"
"011208000105090","011208000105090","#00444a"
"011209000120090","011209000120090","#004b4c"
"011210000135090","011210000135090","#00514d"
"011211000150090","011211000150090","#00564e"
"011212000165090","011212000165090","#005b4f"
"011213000180090","011213000180090","#00634f"
"011214000195090","011214000195090","#006950"
"011215000210090","011215000210090","#006e51"
"011216000225090","011216000225090","#007252"
"011217000240090","011217000240090","#007252"
"011218000255090","011218000255090","#007252"
"011301000000075","011301000000075","#162432"
"011302000015075","011302000015075","#142734"
"011303000030075","011303000030075","#102936"
