"Arizona","290D-4","#f3ac6a"
"Apple Crisp","290D-5","#e4913f"
"Acorn","290D-6","#d17921"
"Crispy Gingersnap","290D-7","#ba6614"
"Weathered Sandstone","290E-1","#eee2d2"
"Oat Cake","290E-2","#e3ceba"
"Classic Taupe","290E-3","#d1c1a9"
"Classic Taupe","290E-3","#d5bda7"
"Cliff Rock","290F-4","#ab976d"
"Wooden Swing","290F-5","#9d8153"
"Warm Earth","290F-6","#846e46"
"Wooden Cabin","290F-7","#654926"
"Opal Cream","300A-1","#fef2d0"
"Whisper Yellow","300A-2","#ffe6b3"
"Melted Butter","300A-3","#ffdc9d"
"Sunporch","300B-4","#ffd189"
"Honey Bird","300B-5","#ffcd7f"
"Glorious Gold","300B-6","#ffae34"
"Goldfish","300B-7","#ff8c00"
"Princess Ivory","300C-1","#faecdb"
"Sand Dollar White","300C-2","#fbe3cd"
"Bagel","300C-3","#facb94"
"High Plateau","300D-4","#e8af6e"
"Desert Caravan","300D-5","#d39d55"
"Medieval Gold","300D-6","#a47526"
"Spanish Leather","300D-7","#81591a"
"Biloxi","300E-1","#f7e7d5"
"Calm Air","300E-2","#f0d5af"
"Clair De Lune","300E-3","#e0c298"
"Almond Toast","300F-4","#bca16c"
"Brown Rabbit","300F-5","#a88d51"
"Highland Ridge","300F-6","#826932"
"Centaur","300F-7","#615028"
"Ivory Invitation","310A-1","#fdf4d9"
"Gold Buttercup","310A-2","#feecb6"
"Manila Tint","310A-3","#ffe39d"
"Cornmeal","310B-4","#ffd483"
"Spiced Butternut","310B-5","#ffc861"
"Twenty Carat","310B-6","#ffb935"
"Saffron Thread","310B-7","#ffa600"
"Kansas Grain","310C-1","#fee7cd"
"Orange Glow","310C-2","#ffe0bb"
"Warm Cocoon","310C-3","#fbcd96"
"Gold Buff","310D-4","#edba6e"
"Sahara Shade","310D-5","#e4a94a"
"Light Copper","310D-6","#c3882b"
"Mayan Gold","310D-7","#a0660f"
"Cancun Sand","310E-1","#fcf2dd"
"Stable Hay","310E-2","#f9e3c1"
"Ripe Wheat","310E-3","#e2c78c"
"Rye","310F-4","#d1b16e"
"Donegal Tweed","310F-5","#bc9850"
"Goldenrod Tea","310F-6","#956e1c"
"Carmel Woods","310F-7","#7f5f17"
"Eggnog","320A-1","#fcf5dd"
"Provence Creme","320A-2","#fef0ca"
"Cornsilk","320A-3","#feebb1"
"Lemon Pound Cake","320B-4","#fede85"
"Zinnia Gold","320B-5","#ffd66f"
"Mellow Yellow","320B-6","#ffcf5e"
"Macaw","320B-7","#ffb90f"
"Cotton Tail","320C-1","#fdf0dd"
"Cream Yellow","320C-2","#ffe4bc"
"Honey Butter","320C-3","#f7d394"
"Arizona Tan","320D-4","#e6bc77"
"Sweet Maple","320D-5","#ddae53"
"Lion Mane","320D-6","#b68832"
"Victorian Gold","320D-7","#97710e"
"Popcorn Ball","320E-1","#fcf0d4"
"Cracked Wheat","320E-2","#f5e2be"
"Riviera Sand","320E-3","#deca9e"
"Riviera Sand","320E-3","#e0c6a3"
"Desert Camel","320F-4","#d1bc8b"
"Mesa","320F-5","#b7a369"
"Wool Tweed","320F-6","#907838"
"Fig","320F-7","#6c602f"
"Bonnie Cream","330A-1","#fef3d2"
"Frosted Lemon","330A-2","#ffefc1"
"Lively Yellow","330A-3","#feeca2"
"Cheerful Hue","330B-4","#fee487"
"Yellow Corn","330B-5","#fee075"
"Lemon Sorbet","330B-6","#ffd13d"
"Sunflower","330B-7","#ffc520"
"Honeysuckle White","330C-1","#f8f0d4"
"Lightweight Beige","330C-2","#f7e8c6"
"Clam Chowder","330C-3","#f5daac"
"Warm Muffin","330D-4","#e2c081"
"Campground","330D-5","#cea753"
"Townhouse Tan","330D-6","#bd963f"
"Sconce Gold","330D-7","#886b1b"
"Informal Ivory","330E-1","#f1eed4"
"Cornerstone","330E-2","#eee2c3"
"Sensible Hue","330E-3","#ebdbb3"
"Pebble Path","330F-4","#d4c28f"
"Golden Bear","330F-5","#b39c43"
"Bristle Grass","330F-6","#9a8334"
"Nutty Brown","330F-7","#7e6828"
"Pineapple Fizz","340A-1","#faf5d8"
"Rich Cream","340A-2","#f9eebd"
"Song Of Summer","340A-3","#fbe9ac"
"Lemon Drops","340B-4","#fde88f"
"Yellow Brick Road","340B-5","#fedf73"
"Pineapple Soda","340B-6","#ffcc34"
"Empire Yellow","340B-7","#ffb700"
"Powder Sand","340C-1","#faf6e2"
"Havana Cream","340C-2","#f9e7c2"
"Pismo Dunes","340C-3","#f5d79e"
"Honey Bear","340D-4","#e9c26f"
"Galley Gold","340D-5","#d3ab42"
"Fervent Brass","340D-6","#b78d1c"
"Golden Green","340D-7","#9f7d0d"
"Parmesan","340E-1","#faf7e1"
"Cottonseed","340E-2","#f5eac7"
"Bavarian Cream","340E-3","#ecdcb0"
"Expedition Khaki","340F-4","#d9c389"
"Beachwalk","340F-5","#cfb369"
"Mojave Gold","340F-6","#bc9d4d"
"Woven Basket","340F-7","#987f33"
"Ruffled Clam","350A-1","#fbf9e0"
"Vanilla Milkshake","350A-2","#fdf5d0"
"Pale Sunshine","350A-3","#fff0bc"
"Lemon Souffle","350B-4","#feeca1"
"Straw Hat","350B-5","#fddf86"
"Wildflower Honey","350B-6","#fdd86b"
"Chickadee","350B-7","#fec62f"
"Downy","350C-1","#fdf5d3"
"Banana Cream","350C-2","#fce7b7"
"Applesauce","350C-3","#f7d68f"
"Wild Bamboo","350D-4","#edc56d"
"French Pale Gold","350D-5","#d0ab45"
"Bronze Green","350D-6","#a99035"
"Cattail Brown","350D-7","#846d22"
"Moonlight White","350E-1","#fbf5e4"
"Honey Moth","350E-2","#fbf0cd"
"Oklahoma Wheat","350E-3","#f7e5b9"
"Quiet Veranda","350F-4","#edd6a5"
"Camel","350F-5","#d4c081"
"Fossil Butte","350F-6","#9e914f"
