"Caparol AVA Magenta","ava-magenta","#993d60"
"Caparol Savanne 12","savanne-12","#b09368"
"Caparol Savanne 15","savanne-15","#e8d8b9"
"Caparol Savanne 14","savanne-14","#dec8a3"
"Caparol Savanne 18","savanne-18","#f3ecdc"
"Caparol Savanne 16","savanne-16","#ece1ca"
"Caparol Salbei 0","salbei-0","#5d6859"
"Caparol Salbei 13","salbei-13","#b3bcae"
"Caparol Salbei 12","salbei-12","#929c8e"
"Caparol Salbei 15","salbei-15","#d7dcd3"
"Caparol Salbei 14","salbei-14","#c6cec1"
"Caparol Salbei 18","salbei-18","#eceee8"
"Caparol Salbei 16","salbei-16","#e2e6dd"
"Caparol Tibet 0","tibet-0","#667372"
"Caparol Tibet 13","tibet-13","#abb7b4"
"Caparol Tibet 12","tibet-12","#8c9998"
"Caparol Tibet 15","tibet-15","#d0d7d5"
"Caparol Tibet 14","tibet-14","#bfc8c6"
"Caparol Tibet 18","tibet-18","#e9ede9"
"Caparol Tibet 16","tibet-16","#dce2de"
"Caparol Atlantis 0","atlantis-0","#4f575d"
"Caparol Atlantis 13","atlantis-13","#95a6af"
"Caparol Atlantis 12","atlantis-12","#748690"
"Caparol Atlantis 15","atlantis-15","#c2ced3"
"Caparol Atlantis 14","atlantis-14","#abbbc2"
"Caparol Atlantis 18","atlantis-18","#e1e8e8"
"Caparol Atlantis 16","atlantis-16","#cfd9dc"
