"S 1040-B20G","s-1040-b20g","#7bc9d0"
"S 2050-B20G","s-2050-b20g","#39a6b2"
"S 3050-B20G","s-3050-b20g","#138b96"
"S 0505-B20G","s-0505-b20g","#e6f0ec"
"S 1010-B30G","s-1010-b30g","#ccdfdd"
"S 2020-B30G","s-2020-b30g","#9bc3c3"
"S 4030-B30G","s-4030-b30g","#588b90"
"S 5030-B30G","s-5030-b30g","#406f74"
"S 0502-B50G","s-0502-b50g","#eaeee8"
"S 1005-B50G","s-1005-b50g","#d8e2dd"
"S 2010-B50G","s-2010-b50g","#aec1be"
"S 4010-B50G","s-4010-b50g","#8b9b99"
"S 6010-B50G","s-6010-b50g","#617270"
"S 1010-B50G","s-1010-b50g","#cbdfda"
"S 1515-B50G","s-1515-b50g","#b3d0cc"
"S 3020-B50G","s-3020-b50g","#84a8a5"
"S 5020-B50G","s-5020-b50g","#5d7f7d"
"S 6020-B50G","s-6020-b50g","#4b6867"
"S 0505-B50G","s-0505-b50g","#e6efe8"
"S 1015-B50G","s-1015-b50g","#bfdcd7"
"S 2030-B50G","s-2030-b50g","#80b8b4"
"S 3040-B50G","s-3040-b50g","#499792"
"S 3050-B50G","s-3050-b50g","#189189"
"S 0510-B50G","s-0510-b50g","#dff0e8"
"S 0515-B50G","s-0515-b50g","#ceebe4"
"S 0530-B50G","s-0530-b50g","#aae8df"
"S 1050-B50G","s-1050-b50g","#49c4ba"
"S 2060-B50G","s-2060-b50g","#00a196"
"S 0510-B70G","s-0510-b70g","#dcefe4"
"S 0520-B70G","s-0520-b70g","#c3ebdd"
"S 0530-B70G","s-0530-b70g","#a7e4d3"
"S 1050-B70G","s-1050-b70g","#4ecdb6"
"S 2060-B70G","s-2060-b70g","#00a38b"
"S 0510-B90G","s-0510-b90g","#dfeee0"
"S 0520-B90G","s-0520-b90g","#c9edd8"
"S 1030-B90G","s-1030-b90g","#a1d6bc"
"S 1050-B90G","s-1050-b90g","#62c9a3"
"S 2050-B90G","s-2050-b90g","#41ac88"
"S 0505-B80G","s-0505-b80g","#ecf3e9"
"S 1010-B90G","s-1010-b90g","#d1e1d5"
"S 2020-B90G","s-2020-b90g","#9ebfae"
"S 3030-B90G","s-3030-b90g","#6ba28c"
"S 4040-B90G","s-4040-b90g","#3c836b"
"S 1005-B80G","s-1005-b80g","#d6e0d8"
"S 2005-B80G","s-2005-b80g","#bdc7c1"
"S 3010-B90G","s-3010-b90g","#a1b2a8"
"S 5010-B90G","s-5010-b90g","#73847c"
"S 7010-B90G","s-7010-b90g","#4c5b53"
"S 1005-G30Y","s-1005-g30y","#dde1d3"
"S 2010-G30Y","s-2010-g30y","#bbc5b0"
"S 3020-G30Y","s-3020-g30y","#99aa87"
"S 5020-G30Y","s-5020-g30y","#6f7e61"
"S 6020-G30Y","s-6020-g30y","#5a694f"
"S 0907-G20Y","s-0907-g20y","#dde4d5"
"S 1515-G20Y","s-1515-g20y","#bfd0b7"
"S 2040-G20Y","s-2040-g20y","#85b37d"
"S 3040-G20Y","s-3040-g20y","#6f9b64"
"S 4040-G20Y","s-4040-g20y","#598353"
"S 0510-G30Y","s-0510-g30y","#e8f0d6"
"S 1020-G30Y","s-1020-g30y","#c8dbb4"
"S 1040-G30Y","s-1040-g30y","#add18c"
"S 2040-G30Y","s-2040-g30y","#91b374"
"S 3040-G30Y","s-3040-g30y","#7d9c64"
"S 0505-G30Y","s-0505-g30y","#edf0df"
"S 0520-G30Y","s-0520-g30y","#d8eac1"
"S 0540-G30Y","s-0540-g30y","#b7de95"
"S 0560-G30Y","s-0560-g30y","#a2d369"
"S 1070-G30Y","s-1070-g30y","#80b549"
"S 0502-G50Y","s-0502-g50y","#f0f0e3"
"S 0510-G50Y","s-0510-g50y","#ebefd3"
"S 0530-G50Y","s-0530-g50y","#dbe79f"
"S 0550-G50Y","s-0550-g50y","#cadb70"
"S 1060-G50Y","s-1060-g50y","#b8c752"
"S 0507-G40Y","s-0507-g40y","#edf0dc"
"S 0515-G40Y","s-0515-g40y","#e8efcd"
"S 1020-G40Y","s-1020-g40y","#cbd6ac"
"S 2030-G40Y","s-2030-g40y","#abb783"
"S 3040-G40Y","s-3040-g40y","#8b9c60"
"S 0603-G40Y","s-0603-g40y","#ecede2"
"S 1005-G40Y","s-1005-g40y","#e0e3d3"
"S 1510-G40Y","s-1510-g40y","#ced4bc"
"S 2020-G40Y","s-2020-g40y","#b6c099"
"S 3020-G40Y","s-3020-g40y","#9ea784"
"S 0505-G70Y","s-0505-g70y","#f1f1dd"
"S 1010-G70Y","s-1010-g70y","#e0dfbf"
"S 2020-G70Y","s-2020-g70y","#c3c290"
"S 3020-G70Y","s-3020-g70y","#aaa980"
"S 5020-G70Y","s-5020-g70y","#7f7d59"
"S 0804-G90Y","s-0804-g90y","#ece9d8"
"S 1010-G90Y","s-1010-g90y","#e5debc"
"S 2020-G90Y","s-2020-g90y","#cdc293"
