"J-S K 550 K 55","550-k-55","#73ada0"
"J-S K 560 K 55","560-k-55","#7aa29d"
"J-S K 570 K 55","570-k-55","#86b79e"
"J-S K 571 K 55","571-k-55","#90c19b"
"J-S K 580 K 55","580-k-55","#7d9682"
"J-S K 590 K 55","590-k-55","#57a6a6"
"J-S K 600 K 55","600-k-55","#96bb87"
"J-S K 610 K 55","610-k-55","#89998b"
"J-S K 620 K 55","620-k-55","#96977a"
"J-S K 630 K 55","630-k-55","#8ca67f"
"J-S K 640 K 55","640-k-55","#99c49a"
"J-S K 650 K 55","650-k-55","#9cc988"
"J-S K 660 K 55","660-k-55","#b3d08f"
"J-S K 670 K 55","670-k-55","#a8d177"
"J-S K 680 K 55","680-k-55","#dece8a"
"J-S K 690 K 55","690-k-55","#e0d37e"
"J-S K 710 K 55","710-k-55","#e5bb8f"
"J-S K 720 K 55","720-k-55","#ddba95"
"J-S K 730 K 55","730-k-55","#c5a88a"
"J-S K 740 K 55","740-k-55","#b19c84"
"J-S K 750 K 55","750-k-55","#aea38a"
"J-S K 760 K 55","760-k-55","#98908d"
"J-S K 770 K 55","770-k-55","#a29794"
"J-S K 780 K 55","780-k-55","#a7827b"
"J-S K 810 K 55","810-k-55","#d4a79a"
"J-S K 820 K 55","820-k-55","#c0928b"
"J-S K 830 K 55","830-k-55","#a88e8d"
"J-S K 840 K 55","840-k-55","#9c898b"
"J-S K 880 K 55","880-k-55","#8f8f93"
"J-S K 890 K 55","890-k-55","#ccc8c3"
"J-S K 900 K 55","900-k-55","#969498"
"J-S K 910 K 55","910-k-55","#bcc2c0"
"J-S K 920 K 55","920-k-55","#acafb3"
"J-S K 930 K 55","930-k-55","#8d9397"
"J-S K 931 K 55","931-k-55","#c1c6c9"
"J-S K 950 K 55","950-k-55","#c0c1c0"
"J-S K 960 K 55","960-k-55","#a4a4a1"
"J-S K 970 K 55","970-k-55","#939594"
