"Gelb 2C 01-100","gelb-2c-01-100","#ffce00"
"Gruen 5C 65-9954-K-55","gruen-5c-65-9954-k-55","#62b597"
"Gruen 5C 65-9954-K-30","gruen-5c-65-9954-k-30","#b7d7cc"
"Gruen 5C 66-9955-K-100","gruen-5c-66-9955-k-100","#006c4b"
"Gruen 5C 66-9955-K-55","gruen-5c-66-9955-k-55","#62a292"
"Gruen 5C 66-9955-K-30","gruen-5c-66-9955-k-30","#b5cfca"
"Gruen 5C 18-8834-K-100","gruen-5c-18-8834-k-100","#304c2d"
"Gruen 5C 18-8834-K-55","gruen-5c-18-8834-k-55","#8b9a8c"
"Gruen 5C 18-8834-K-30","gruen-5c-18-8834-k-30","#c5cbc7"
"Gruen 5C 19-8835-K-100","gruen-5c-19-8835-k-100","#375d32"
"Gruen 5C 19-8835-K-55","gruen-5c-19-8835-k-55","#90a38e"
"Gruen 5C 19-8835-K-30","gruen-5c-19-8835-k-30","#c8d1ca"
"Gruen 5C 67-9958-K-100","gruen-5c-67-9958-k-100","#3c613e"
"Gruen 5C 67-9958-K-55","gruen-5c-67-9958-k-55","#98a99c"
"Gruen 5C 67-9958-K-30","gruen-5c-67-9958-k-30","#cbd2ce"
"Gruen 5C 68-9961-K-100","gruen-5c-68-9961-k-100","#2d4f31"
"Gruen 5C 68-9961-K-55","gruen-5c-68-9961-k-55","#8a9c8e"
"Gruen 5C 68-9961-K-30","gruen-5c-68-9961-k-30","#c3cbc7"
"Gruen 5C 20-8836-K-100","gruen-5c-20-8836-k-100","#496f23"
"Gruen 5C 20-8836-K-55","gruen-5c-20-8836-k-55","#96aa84"
"Gruen 5C 20-8836-K-30","gruen-5c-20-8836-k-30","#c9d2c3"
"Gruen 5C 69-9963-K-100","gruen-5c-69-9963-k-100","#4b722c"
"Gruen 5C 69-9963-K-55","gruen-5c-69-9963-k-55","#9db091"
"Gruen 5C 69-9963-K-30","gruen-5c-69-9963-k-30","#cdd5c9"
"Gruen 5C 70-9957-K-100","gruen-5c-70-9957-k-100","#007c41"
"Gruen 5C 70-9957-K-55","gruen-5c-70-9957-k-55","#71ae90"
"Gruen 5C 70-9957-K-30","gruen-5c-70-9957-k-30","#bad4c8"
"Gruen 5C 21-8837-K-100","gruen-5c-21-8837-k-100","#007139"
"Gruen 5C 21-8837-K-55","gruen-5c-21-8837-k-55","#76ab8d"
"Gruen 5C 21-8837-K-30","gruen-5c-21-8837-k-30","#bdd3c9"
"Gruen 5C 22-8838-K-100","gruen-5c-22-8838-k-100","#008d38"
"Gruen 5C 22-8838-K-55","gruen-5c-22-8838-k-55","#64b989"
"Gruen 5C 22-8838-K-30","gruen-5c-22-8838-k-30","#b5d8c5"
"Gruen 5C 23-8839-K-100","gruen-5c-23-8839-k-100","#278f26"
"Gruen 5C 23-8839-K-55","gruen-5c-23-8839-k-55","#98c293"
"Gruen 5C 23-8839-K-30","gruen-5c-23-8839-k-30","#ccdecb"
"Gruen 5C 71-9964-K-100","gruen-5c-71-9964-k-100","#128e24"
"Gruen 5C 71-9964-K-55","gruen-5c-71-9964-k-55","#8bbe89"
"Gruen 5C 71-9964-K-30","gruen-5c-71-9964-k-30","#c6dbc6"
"Gruen 5C 24-8840-K-100","gruen-5c-24-8840-k-100","#31a410"
"Gruen 5C 24-8840-K-55","gruen-5c-24-8840-k-55","#8bc67b"
"Gruen 5C 24-8840-K-30","gruen-5c-24-8840-k-30","#c6dfc1"
"Gruen 5C 72-9965-K-100","gruen-5c-72-9965-k-100","#45ab1b"
"Gruen 5C 72-9965-K-55","gruen-5c-72-9965-k-55","#9cce8c"
"Gruen 5C 72-9965-K-30","gruen-5c-72-9965-k-30","#cce2c6"
"Gruen 5C 25-8841-K-100","gruen-5c-25-8841-k-100","#36a10c"
"Gruen 5C 25-8841-K-55","gruen-5c-25-8841-k-55","#91c67f"
"Gruen 5C 25-8841-K-30","gruen-5c-25-8841-k-30","#c7dfc0"
"Gruen 5C 73-9960-K-100","gruen-5c-73-9960-k-100","#428d1c"
"Gruen 5C 73-9960-K-55","gruen-5c-73-9960-k-55","#91ba7f"
"Gruen 5C 73-9960-K-30","gruen-5c-73-9960-k-30","#c8dac1"
"Gruen 5C 26-8842-K-100","gruen-5c-26-8842-k-100","#5db100"
"Gruen 5C 26-8842-K-55","gruen-5c-26-8842-k-55","#9bcb77"
"Gruen 5C 26-8842-K-30","gruen-5c-26-8842-k-30","#cde1bf"
"Gruen 5C 74-9966-K-100","gruen-5c-74-9966-k-100","#6bb000"
"Gruen 5C 74-9966-K-55","gruen-5c-74-9966-k-55","#aacf81"
"Gruen 5C 74-9966-K-30","gruen-5c-74-9966-k-30","#d2e3c1"
"Gruen 5C 27-8843-K-100","gruen-5c-27-8843-k-100","#86c100"
"Gruen 5C 27-8843-K-55","gruen-5c-27-8843-k-55","#b1d56a"
"Gruen 5C 27-8843-K-30","gruen-5c-27-8843-k-30","#d5e5b9"
"Gruen 5C 75-9967-K-100","gruen-5c-75-9967-k-100","#7dbb00"
"Gruen 5C 75-9967-K-55","gruen-5c-75-9967-k-55","#b0d378"
"Gruen 5C 75-9967-K-30","gruen-5c-75-9967-k-30","#d4e4bd"
"Gruen 5C 76-9962-K-100","gruen-5c-76-9962-k-100","#686625"
"Gruen 5C 76-9962-K-55","gruen-5c-76-9962-k-55","#9d9c73"
"Gruen 5C 76-9962-K-30","gruen-5c-76-9962-k-30","#cccbbb"
"Braun 6C 61-9975-K-100","braun-6c-61-9975-k-100","#7c683a"
"Braun 6C 61-9975-K-55","braun-6c-61-9975-k-55","#b4a993"
"Braun 6C 61-9975-K-30","braun-6c-61-9975-k-30","#d7d1c9"
"Braun 6C 77-9968-K-100","braun-6c-77-9968-k-100","#c9ae00"
"Braun 6C 77-9968-K-55","braun-6c-77-9968-k-55","#d8c667"
"Braun 6C 77-9968-K-30","braun-6c-77-9968-k-30","#e8dfb4"
"Braun 6C 78-9969-K-100","braun-6c-78-9969-k-100","#d5c200"
"Braun 6C 78-9969-K-55","braun-6c-78-9969-k-55","#e1d267"
"Braun 6C 78-9969-K-30","braun-6c-78-9969-k-30","#ece4b6"
"Braun 6C 16-8844-K-100","braun-6c-16-8844-k-100","#d49708"
"Braun 6C 16-8844-K-55","braun-6c-16-8844-k-55","#e2be7f"
"Braun 6C 16-8844-K-30","braun-6c-16-8844-k-30","#eedcc3"
"Braun 6C 62-9971-K-100","braun-6c-62-9971-k-100","#d3912b"
"Braun 6C 62-9971-K-55","braun-6c-62-9971-k-55","#e2b787"
"Braun 6C 62-9971-K-30","braun-6c-62-9971-k-30","#edd8c6"
"Braun 6C 63-9972-K-100","braun-6c-63-9972-k-100","#c77e1d"
"Braun 6C 63-9972-K-55","braun-6c-63-9972-k-55","#daad7f"
"Braun 6C 63-9972-K-30","braun-6c-63-9972-k-30","#e8d4c2"
"Braun 6C 64-9973-K-100","braun-6c-64-9973-k-100","#a57433"
"Braun 6C 64-9973-K-55","braun-6c-64-9973-k-55","#c6a888"
"Braun 6C 64-9973-K-30","braun-6c-64-9973-k-30","#e0d2c6"
"Braun 6C 65-9974-K-100","braun-6c-65-9974-k-100","#865c2d"
"Braun 6C 65-9974-K-55","braun-6c-65-9974-k-55","#b29a82"
"Braun 6C 65-9974-K-30","braun-6c-65-9974-k-30","#d6cac2"
"Braun 6C 66-9976-K-100","braun-6c-66-9976-k-100","#514030"
"Braun 6C 66-9976-K-55","braun-6c-66-9976-k-55","#938982"
"Braun 6C 66-9976-K-30","braun-6c-66-9976-k-30","#c8c3c2"
"Braun 6C 12-8845-K-100","braun-6c-12-8845-k-100","#7c4c26"
"Braun 6C 12-8845-K-55","braun-6c-12-8845-k-55","#b0937b"
"Braun 6C 12-8845-K-30","braun-6c-12-8845-k-30","#d4c5bd"
"Braun 6C 13-8846-K-100","braun-6c-13-8846-k-100","#874624"
"Braun 6C 13-8846-K-55","braun-6c-13-8846-k-55","#b58c77"
"Braun 6C 13-8846-K-30","braun-6c-13-8846-k-30","#d8c4bd"
"Braun 6C 67-9977-K-100","braun-6c-67-9977-k-100","#5a3f30"
"Braun 6C 67-9977-K-55","braun-6c-67-9977-k-55","#a1938c"
"Braun 6C 67-9977-K-30","braun-6c-67-9977-k-30","#cec6c6"
"Braun 6C 14-8847-K-100","braun-6c-14-8847-k-100","#b85a1f"
"Braun 6C 14-8847-K-55","braun-6c-14-8847-k-55","#d49a78"
"Braun 6C 14-8847-K -30","braun-6c-14-8847-k-30","#e6c9bc"
"Braun 6C 68-9981-K-100","braun-6c-68-9981-k-100","#ba562e"
"Braun 6C 68-9981-K-55","braun-6c-68-9981-k-55","#d49b8a"
"Braun 6C 68-9981-K-30","braun-6c-68-9981-k-30","#e7cbc7"
"Braun 6C 69-9982-K-100","braun-6c-69-9982-k-100","#a04c36"
"Braun 6C 69-9982-K-55","braun-6c-69-9982-k-55","#c5958c"
"Braun 6C 69-9982-K-30","braun-6c-69-9982-k-30","#e0c9c8"
"Braun 6C 70-9978-K-100","braun-6c-70-9978-k-100","#703e31"
"Braun 6C 70-9978-K -55","braun-6c-70-9978-k-55","#a5857f"
"Braun 6C 70-9978-K-30","braun-6c-70-9978-k-30","#d0c0c0"
"Braun 6C 20-8848-K-100","braun-6c-20-8848-k-100","#803e2f"
"Braun 6C 20-8848-K-55","braun-6c-20-8848-k-55","#b18985"
"Braun 6C 20-8848-K-30","braun-6c-20-8848-k-30","#d7c4c3"
"Braun 6C 71-9983-K-100","braun-6c-71-9983-k-100","#71413a"
"Braun 6C 71-9983-K-55","braun-6c-71-9983-k-55","#aa9292"
"Braun 6C 71-9983-K-30","braun-6c-71-9983-k-30","#d2c7c9"
"Braun 6C 21-8849-K-100","braun-6c-21-8849-k-100","#693b34"
"Braun 6C 21-8849-K-55","braun-6c-21-8849-k-55","#9d817e"
"Braun 6C 21-8849-K-30","braun-6c-21-8849-k-30","#ccbfc1"
"Braun 6C 72-9984-K-100","braun-6c-72-9984-k-100","#5f3a36"
"Braun 6C 72-9984-K-55","braun-6c-72-9984-k-55","#9f8c8c"
"Braun 6C 72-9984-K-30","braun-6c-72-9984-k-30","#cdc4c7"
"Braun 6C 22-8850-K-100","braun-6c-22-8850-k-100","#5b382f"
"Braun 6C 22-8850-K-55","braun-6c-22-8850-k-55","#9e8986"
