"Munsell 10YR 7-4","munsell-10yr-7-4","#caa881"
"Munsell 10YR 6-4","munsell-10yr-6-4","#b0916c"
"Munsell 10YR 5-4","munsell-10yr-5-4","#92734e"
"Munsell 10YR 4-4","munsell-10yr-4-4","#795837"
"Munsell 10YR 3-4","munsell-10yr-3-4","#5c4223"
"Munsell 10YR 8-6","munsell-10yr-8-6","#f0c381"
"Munsell 10YR 7-6","munsell-10yr-7-6","#d4a368"
"Munsell 10YR 6-6","munsell-10yr-6-6","#b78b4e"
"Munsell 10YR 5-6","munsell-10yr-5-6","#9c7237"
"Munsell 10YR 4-6","munsell-10yr-4-6","#805522"
"Munsell 10YR 3-6","munsell-10yr-3-6","#5f3d13"
"Munsell 10YR 8-8","munsell-10yr-8-8","#f8bd66"
"Munsell 10YR 7-8","munsell-10yr-7-8","#db9e50"
"Munsell 10YR 6-8","munsell-10yr-6-8","#bc8731"
"Munsell 10YR 5-8","munsell-10yr-5-8","#9f691f"
"Munsell 10YR 4-8","munsell-10yr-4-8","#7e5006"
"Munsell 10YR 8-10","munsell-10yr-8-10","#ffb94f"
"Munsell 10YR 7-10","munsell-10yr-7-10","#e09b37"
"Munsell 10YR 6-10","munsell-10yr-6-10","#c3860e"
"Munsell 10YR 5-10","munsell-10yr-5-10","#a16500"
"Munsell 10YR 8-12","munsell-10yr-8-12","#ffb52a"
"Munsell 10YR 7-12","munsell-10yr-7-12","#e59700"
"Munsell 10YR 6-12","munsell-10yr-6-12","#c67f00"
"Munsell 10YR 8-14","munsell-10yr-8-14","#ffb300"
"Munsell 10YR 7-14","munsell-10yr-7-14","#eb9800"
"Munsell 2-5Y 9-2","munsell-2-5y-9-2","#f5e4c4"
"Munsell 2-5Y 8-5-2","munsell-2-5y-8-5-2","#e8d9bb"
"Munsell 2-5Y 8-2","munsell-2-5y-8-2","#d8cbaf"
"Munsell 2-5Y 7-2","munsell-2-5y-7-2","#beaf96"
"Munsell 2-5Y 6-2","munsell-2-5y-6-2","#a3937d"
"Munsell 2-5Y 5-2","munsell-2-5y-5-2","#887863"
"Munsell 2-5Y 4-2","munsell-2-5y-4-2","#6d5d49"
"Munsell 2-5Y 3-2","munsell-2-5y-3-2","#524533"
"Munsell 2-5Y 2-2","munsell-2-5y-2-2","#3c3021"
"Munsell 2-5Y 9-4","munsell-2-5y-9-4","#fce1aa"
"Munsell 2-5Y 8-5-4","munsell-2-5y-8-5-4","#efd49f"
"Munsell 2-5Y 8-4","munsell-2-5y-8-4","#e0c693"
"Munsell 2-5Y 7-4","munsell-2-5y-7-4","#c7ad7d"
"Munsell 2-5Y 6-4","munsell-2-5y-6-4","#ac8f66"
"Munsell 2-5Y 5-4","munsell-2-5y-5-4","#8f764c"
"Munsell 2-5Y 4-4","munsell-2-5y-4-4","#735a2f"
"Munsell 2-5Y 3-4","munsell-2-5y-3-4","#5c4421"
"Munsell 2-5Y 8-5-6","munsell-2-5y-8-5-6","#f6d186"
"Munsell 2-5Y 8-6","munsell-2-5y-8-6","#eac579"
"Munsell 2-5Y 7-6","munsell-2-5y-7-6","#cda961"
"Munsell 2-5Y 6-6","munsell-2-5y-6-6","#b28c4c"
"Munsell 2-5Y 5-6","munsell-2-5y-5-6","#967532"
"Munsell 2-5Y 4-6","munsell-2-5y-4-6","#7b581c"
"Munsell 2-5Y 8-5-8","munsell-2-5y-8-5-8","#ffcf6b"
"Munsell 2-5Y 8-8","munsell-2-5y-8-8","#f2c25f"
"Munsell 2-5Y 7-8","munsell-2-5y-7-8","#d1a440"
"Munsell 2-5Y 6-8","munsell-2-5y-6-8","#b78932"
"Munsell 2-5Y 5-8","munsell-2-5y-5-8","#9c7517"
"Munsell 2-5Y 8-5-10","munsell-2-5y-8-5-10","#ffcb4c"
"Munsell 2-5Y 8-10","munsell-2-5y-8-10","#f6bf3f"
