"MD-Color CM402","md-color-cm402","#418dba"
"MD-Color CM403","md-color-cm403","#3a5a82"
"MD-Color CM404","md-color-cm404","#414761"
"MD-Color CM405","md-color-cm405","#cfdfe7"
"MD-Color CM406","md-color-cm406","#b7cddf"
"MD-Color CM407","md-color-cm407","#8fb3d7"
"MD-Color CM408","md-color-cm408","#6d95bf"
"MD-Color CM409","md-color-cm409","#235d89"
"MD-Color CM410","md-color-cm410","#a8bacc"
"MD-Color CM411","md-color-cm411","#8493a5"
"MD-Color CM412","md-color-cm412","#66778f"
"MD-Color CM413","md-color-cm413","#586b7f"
"MD-Color CM414","md-color-cm414","#405165"
"MD-Color CM415","md-color-cm415","#adc1cc"
"MD-Color CM416","md-color-cm416","#96adbb"
"MD-Color CM417","md-color-cm417","#738e9f"
"MD-Color CM418","md-color-cm418","#728e9f"
"MD-Color CM419","md-color-cm419","#5c7b8e"
"MD-Color CM420","md-color-cm420","#e3e7e4"
"MD-Color CM421","md-color-cm421","#d9e1e1"
"MD-Color CM422","md-color-cm422","#cfdadd"
"MD-Color CM423","md-color-cm423","#c0cfd7"
"MD-Color CM424","md-color-cm424","#8ea6b7"
"MD-Color CM425","md-color-cm425","#e1eae9"
"MD-Color CM426","md-color-cm426","#d0e6eb"
"MD-Color CM427","md-color-cm427","#adccdb"
"MD-Color CM428","md-color-cm428","#6eb1db"
"MD-Color CM429","md-color-cm429","#1078a2"
"MD-Color CM430","md-color-cm430","#84bcd4"
"MD-Color CM431","md-color-cm431","#5ea8c8"
"MD-Color CM432","md-color-cm432","#4296bb"
"MD-Color CM433","md-color-cm433","#2f6e8f"
"MD-Color CM434","md-color-cm434","#33546e"
"MD-Color CM435","md-color-cm435","#dde8eb"
"MD-Color CM436","md-color-cm436","#9dcee4"
"MD-Color CM437","md-color-cm437","#6ea7c3"
"MD-Color CM438","md-color-cm438","#488dac"
"MD-Color CM439","md-color-cm439","#267290"
"MD-Color CM440","md-color-cm440","#bdd9dd"
"MD-Color CM441","md-color-cm441","#84c2d8"
"MD-Color CM442","md-color-cm442","#66a9bf"
"MD-Color CM443","md-color-cm443","#3f8ea6"
"MD-Color CM444","md-color-cm444","#1a728b"
"MD-Color CM445","md-color-cm445","#c6e2e4"
"MD-Color CM446","md-color-cm446","#badbe3"
"MD-Color CM447","md-color-cm447","#a7ced7"
"MD-Color CM448","md-color-cm448","#7fc0cf"
"MD-Color CM449","md-color-cm449","#45a5bb"
