"TAG 7226-2","7226-2","#8a98a4"
"TAG 7238-1","7238-1","#9eacb6"
"TAG 7256-1","7256-1","#b0bec8"
"TAG 7266-2","7266-2","#b9c6cd"
"TAG 7278-2","7278-2","#c9d3d8"
"TAG 7290-1","7290-1","#dce1e2"
"TAG 7292-1","7292-1","#d4d8db"
"TAG 7296-1","7296-1","#c7cbce"
"TAG 7298-2","7298-2","#b8bcbe"
"TAG 7406-3","7406-3","#3a464f"
"TAG 7436-1","7436-1","#85a1af"
"TAG 7444-1","7444-1","#91acb9"
"TAG 7454-1","7454-1","#9ab6c2"
"TAG 7466-1","7466-1","#aec4ce"
"TAG 7478-1","7478-1","#c3d5db"
"TAG 7490-1","7490-1","#cddadd"
"TAG 7494-1","7494-1","#c6ced1"
"TAG 7498-1","7498-1","#bdc5c9"
"TAG 7500-2","7500-2","#b1b8bb"
"TAG 7602-3","7602-3","#61493f"
"TAG 7626-2","7626-2","#937b71"
"TAG 7648-2","7648-2","#a38b82"
"TAG 7658-2","7658-2","#ae978e"
"TAG 7668-2","7668-2","#bca79e"
"TAG 7678-2","7678-2","#cdb9b0"
"TAG 7690-2","7690-2","#bab7b9"
"TAG 7692-1","7692-1","#d3cac5"
"TAG 7694-2","7694-2","#c5bcb7"
"TAG 7698-2","7698-2","#bcb7b4"
"TAG 7804-3","7804-3","#674a3f"
"TAG 7822-1","7822-1","#9f827b"
"TAG 7844-1","7844-1","#af918a"
"TAG 7858-1","7858-1","#b69e98"
"TAG 7872-1","7872-1","#bdaba7"
"TAG 7882-1","7882-1","#cabbb6"
"TAG 7892-1","7892-1","#d6c9c4"
"TAG 7892-2","7892-2","#cfc0b9"
"TAG 7896-2","7896-2","#c1b7b3"
"TAG 7900-2","7900-2","#b8b2b0"
"TAG 8002-3","8002-3","#5e423e"
"TAG 8028-1","8028-1","#a37989"
"TAG 8050-1","8050-1","#ad8796"
"TAG 8060-1","8060-1","#b792a2"
"TAG 8070-1","8070-1","#c7a6b5"
"TAG 8080-1","8080-1","#d2b5c1"
"TAG 8090-1","8090-1","#e3c7d0"
"TAG 8092-1","8092-1","#d8c3cc"
"TAG 8094-1","8094-1","#cdbdc5"
"TAG 8098-1","8098-1","#c3b8bf"
"TAG 8202-3","8202-3","#4e403f"
"TAG 8218-2","8218-2","#857c7f"
"TAG 8232-2","8232-2","#8a8286"
"TAG 8246-2","8246-2","#918a8d"
"TAG 8260-2","8260-2","#999396"
"TAG 8274-2","8274-2","#a9a6a9"
"TAG 8282-2","8282-2","#b8b5b7"
"TAG 8288-2","8288-2","#afaeb0"
"TAG 8294-1","8294-1","#cac9cb"
"TAG 8298-2","8298-2","#b8b7b9"
"TAG 8402-2","8402-2","#4d4e52"
"TAG 8418-2","8418-2","#5e6165"
"TAG 8430-2","8430-2","#75787c"
"TAG 8454-2","8454-2","#86888b"
"TAG 8466-2","8466-2","#919396"
"TAG 8478-1","8478-1","#b2b6b9"
"TAG 8478-2","8478-2","#a6a8aa"
"TAG 8490-1","8490-1","#c1c4c6"
"TAG 8502-1","8502-1","#d1d3d4"
"TAG 8514-1","8514-1","#d6d8d7"
