"F 4824","f-4824","#c3c5c5"
"F 4823","f-4823","#a8a9ad"
"F 4822","f-4822","#8c9194"
"F 4821","f-4821","#7b7f86"
"F 4820","f-4820","#57595e"
"F 4835","f-4835","#d9ded7"
"F 4834","f-4834","#c1cac4"
"F 4833","f-4833","#a4b0aa"
"F 4832","f-4832","#8c9c97"
"F 4831","f-4831","#6b7b78"
"F 4830","f-4830","#505e57"
"F 4845","f-4845","#dbe0db"
"F 4844","f-4844","#bdc7c6"
"F 4843","f-4843","#a4afaf"
"F 4842","f-4842","#889798"
"F 4841","f-4841","#6c7d7f"
"F 4840","f-4840","#4e5c5c"
"F 4855","f-4855","#e0e9e7"
"F 4854","f-4854","#cadce1"
"F 4853","f-4853","#afc8d2"
"F 4852","f-4852","#99bac7"
"F 4851","f-4851","#7299ad"
"F 4850","f-4850","#446d80"
