"TRUMATCH 5-c7","5-c7","#a25147"
"TRUMATCH 6-a","6-a","#e31c2a"
"TRUMATCH 6-b","6-b","#e84939"
"TRUMATCH 6-c","6","#ed6b51"
"TRUMATCH 6-d","6-d","#f28f72"
"TRUMATCH 6-e","6-e","#f6b097"
"TRUMATCH 6-f","6-f","#facfbe"
"TRUMATCH 6-g","6-g","#feece4"
"TRUMATCH 6-h","6-h","#fef6f2"
"TRUMATCH 6-a1","6-a1","#d91f2a"
"TRUMATCH 6-b1","6-b1","#de4738"
"TRUMATCH 6-c1","6-c1","#e2684f"
"TRUMATCH 6-d1","6-d1","#e78a6f"
"TRUMATCH 6-e1","6-e1","#eba992"
"TRUMATCH 6-f1","6-f1","#efc7b6"
"TRUMATCH 6-d5","6-d5","#bb725c"
"TRUMATCH 6-e5","6-e5","#be8b79"
"TRUMATCH 6-a2","6-a2","#cf212a"
"TRUMATCH 6-b2","6-b2","#d34537"
"TRUMATCH 6-c2","6-c2","#d7644c"
"TRUMATCH 6-d2","6-d2","#dc846a"
"TRUMATCH 6-e2","6-e2","#e0a28c"
"TRUMATCH 6-a5","6-a5","#b02529"
"TRUMATCH 6-b5","6-b5","#b43f33"
"TRUMATCH 6-c5","6-c5","#b75844"
"TRUMATCH 6-a3","6-a3","#c5222a"
"TRUMATCH 6-b3","6-b3","#c94336"
"TRUMATCH 6-c3","6-c3","#cd6049"
"TRUMATCH 6-d3","6-d3","#d17e66"
"TRUMATCH 6-e3","6-e3","#d59a86"
"TRUMATCH 6-a6","6-a6","#a62629"
"TRUMATCH 6-b6","6-b6","#a93e32"
"TRUMATCH 6-c6","6-c6","#ad5441"
"TRUMATCH 6-a4","6-a4","#ba2429"
"TRUMATCH 6-b4","6-b4","#bf4134"
"TRUMATCH 6-c4","6-c4","#c25c47"
"TRUMATCH 6-d4","6-d4","#c77861"
"TRUMATCH 6-e4","6-e4","#ca9380"
"TRUMATCH 6-a7","6-a7","#9c2728"
"TRUMATCH 6-b7","6-b7","#9f3c30"
"TRUMATCH 6-c7","6-c7","#a2503e"
"TRUMATCH 7-a","7-a","#e95028"
"TRUMATCH 7-b","7-b","#ed6a3c"
"TRUMATCH 7-c","7","#f18958"
