"Plumeria Lei","LH110","#C9709E"
"Heartbroken","RC120-01","#547494"
"Blue Depths","RC150-02","#496B8F"
"Authentic Navy","RC120-02","#475A75"
"Blue Ballad","RC250-01","#90ABC4"
"North Beach Blue","RC140-01","#70839A"
"Stormy Sea","RC140-02","#4C617B"
"Blue Uniform","RC130-02","#3B4F6F"
"Idyllic Blue","RC240-01","#C7D6E6"
"Windsurfer","RC180-01","#A5C0DA"
"Triumph Blue","RC280-01","#3F73A0"
"Thunder Night","RC100-01","#3A5578"
"Blues Scale","RC240-02","#B8CDE1"
"Blue Hydrangea","RC180-02","#87B0D7"
"Beyond The Sea","RH200","#346696"
"Luxurious Blue","RC280-02","#355F88"
"Elegant Lace","RC220-02","#D8E3EE"
"Washed Away","RD180-02","#91BAD6"
"Atlantic Sea","RC290-01","#487190"
"Fountain Pen","RC100-02","#354A67"
"Scandinavia","RD180-01","#B1CFE3"
"Florentine Blue","RC260-01","#83A9C4"
"Ripped Jeans","RC250-02","#507A98"
"Saxophone Solo","RC290-02","#3F556C"
"Soft Chambray","RD170-01","#A8C4D6"
"Blue Dust","RC270-01","#7D99AE"
"Breakwaters","RC260-02","#6086A2"
"Beach View","RC270-02","#4B748D"
"Airy Blue","RC230-02","#CFDEE8"
"Water Splash","RD160-02","#9AAEBD"
"Backwater","RD130-01","#7F98A8"
"Iron Medallion","RD130-02","#537181"
"Refreshing","RD190-02","#C9DEEB"
"Favorite Jeans","RD170-02","#88ACC1"
"Bubbling Brook","RD110-01","#3A81A1"
"Wind Surfing","RD110-02","#366C8E"
"Humid Weather","RD190-01","#D4E4EC"
"Quiet Blue","RE160-02","#A5C3D2"
"Seaside Retreat","RD150-01","#6F9CB5"
"Marine Bay","RD100-01","#477188"
"Summer Shower","RE160-01","#BAD3DC"
"Miracle Bay","RD290-01","#799DAF"
"Swedish Blue","RD140-02","#658194"
"Prussian Blue","RD100-02","#444D5A"
"Soothing Ocean","RD160-01","#B7C7CF"
"Winding River","RD140-01","#869FAE"
"Blue Eyed Beauty","RD120-01","#4289A8"
"Tropic","RD150-02","#42829E"
"Misty Blue","RD200-01","#CDE4EE"
"Calm Spring","RD250-01","#77AFCB"
"Overboard","RD280-01","#41A4CD"
"Hero Blue","RD280-02","#1898C8"
"Pool Party","RD200-02","#ADD8EE"
"Azure Pool","RD240-01","#67B0D7"
"Serene Stream","RD240-02","#40A4CE"
"Aspiration","RH190","#217AB4"
"Casual Blue","RD230-01","#A6D7EB"
"Blue Bird Of Paradise","RD210-02","#A2D1E3"
"Bit Of Sapphire","RD230-02","#52B2D3"
"Blue Splash","RD250-02","#2A7FA1"
"Abstract Idea","RD270-01","#8EAAB6"
"Totally Scientific","RD270-02","#7D96A1"
"Storm","RD290-02","#44778A"
"Harborside","RD120-02","#36637D"
"Cool Vista","RD220-01","#AECED9"
"Baroque","RD220-02","#96BDCD"
"By The Sea","RD260-01","#7DAAC0"
"Vintage Sapphire","RD260-02","#569FBC"
"Morning Hush","RE190-01","#E1ECEF"
"Blue Lustre","RE180-02","#CCDEE3"
"Yacht Club","RE130-01","#5990A4"
"Arroyo","RE130-02","#357A91"
