"EN-95","en-95","#f9faf8"
"E 25-70D","e-25-70d","#bbb195"
"E 25-50D","e-25-50d","#84785f"
"E 25-40D","e-25-40d","#675a42"
"E 25-40H","e-25-40h","#6c5723"
"E 25-80H","e-25-80h","#ddca94"
"E 25-80P","e-25-80p","#e5c359"
"E 25-70L","e-25-70l","#c7ab5b"
"E 25-60P","e-25-60p","#ae8b15"
"E 27-70L","e-27-70l","#c2b059"
"E 27-60L","e-27-60l","#a5933e"
"E 27-60F","e-27-60f","#a1956a"
"E 27-50H","e-27-50h","#85773e"
"E 27-90B","e-27-90b","#eae6d4"
"E 27-85B","e-27-85b","#dfdccb"
"E 27-80B","e-27-80b","#d3cebc"
"E 27-70D","e-27-70d","#b7af91"
"E 27-60D","e-27-60d","#9f967a"
"E 27-50D","e-27-50d","#847b60"
"E 27-40D","e-27-40d","#675f44"
"E 27-30B","e-27-30b","#454136"
"E 27-90F","e-27-90f","#f0e8b4"
"E 27-85H","e-27-85h","#e6d99b"
"E 29-85B","e-29-85b","#dedbc8"
"E 29-80B","e-29-80b","#d2cfbc"
"E 29-70B","e-29-70b","#b3b1a0"
"E 29-60D","e-29-60d","#9b987d"
"E 29-50B","e-29-50b","#7b786b"
"E 29-30D","e-29-30d","#444029"
"E 29-92B","e-29-92b","#f0eeda"
"E 29-90B","e-29-90b","#edead7"
"E 29-90H","e-29-90h","#ede5a8"
"E 29-80H","e-29-80h","#d4cc8f"
"E 29-75H","e-29-75h","#c3bc88"
"E 29-60H","e-29-60h","#9c965a"
"E 29-50D","e-29-50d","#7c785d"
"E 29-40H","e-29-40h","#655f2b"
"E 32-90D","e-32-90d","#dfe2bf"
"E 32-80D","e-32-80d","#cdcead"
"E 32-80H","e-32-80h","#cfd099"
"E 32-80P","e-32-80p","#cad154"
"E 32-60H","e-32-60h","#989a63"
"E 32-50L","e-32-50l","#797d2c"
"E 35-30B","e-35-30b","#3d4036"
"E 35-20B","e-35-20b","#27291c"
"E 35-90A","e-35-90a","#ebede1"
"E 35-85A","e-35-85a","#d8d9cf"
"E 35-80A","e-35-80a","#cdcfc4"
"E 35-75A","e-35-75a","#c1c3bb"
"E 35-70A","e-35-70a","#b2b3aa"
"E 35-65A","e-35-65a","#a5a59c"
"E 35-50B","e-35-50b","#797b6f"
"E 35-40B","e-35-40b","#5d5f54"
"E 35-92B","e-35-92b","#e8ebd9"
"E 35-85B","e-35-85b","#d7dac6"
"E 35-80B","e-35-80b","#cbcfbb"
"E 35-70B","e-35-70b","#b1b3a3"
"E 35-60B","e-35-60b","#959789"
"E 35-50D","e-35-50d","#797d66"
"E 35-40D","e-35-40d","#5a5f48"
"E 35-30D","e-35-30d","#3e432d"
"E 35-90B","e-35-90b","#e3e8d4"
"E 35-90D","e-35-90d","#e4e8c5"
"E 35-80D","e-35-80d","#c9cdae"
"E 35-80H","e-35-80h","#c6d296"
"E 35-70H","e-35-70h","#a9b180"
"E 35-70D","e-35-70d","#b0b497"
"E 35-60D","e-35-60d","#91977b"
"E 35-50H","e-35-50h","#768051"
"E 37-80D","e-37-80d","#c6d4b6"
"E 37-80H","e-37-80h","#bcd3a2"
"E 37-80L","e-37-80l","#b0d585"
"E 37-70H","e-37-70h","#a2b887"
"E 37-60D","e-37-60d","#8e9a81"
"E 37-50D","e-37-50d","#768069"
"E 37-50H","e-37-50h","#6f8256"
"E 37-50L","e-37-50l","#668243"
"E 39-80B","e-39-80b","#c7d1c3"
"E 39-80D","e-39-80d","#bcccb4"
"E 39-80H","e-39-80h","#b0d2a6"
"E 39-70H","e-39-70h","#9aba90"
"E 39-60L","e-39-60l","#74a067"
"E 39-50H","e-39-50h","#65835d"
"E 39-40H","e-39-40h","#496540"
"E 39-30D","e-39-30d","#3d4836"
"E 42-90D","e-42-90d","#d7eed6"
"E 42-80D","e-42-80d","#b8d0ba"
"E 42-70D","e-42-70d","#a0b8a4"
"E 42-70H","e-42-70h","#8fbd98"
"E 42-50L","e-42-50l","#4d875d"
"E 42-40H","e-42-40h","#3e6449"
"E 42-30H","e-42-30h","#264529"
"E 45-20B","e-45-20b","#1c2119"
"E 45-92B","e-45-92b","#e0f0e3"
"E 45-90B","e-45-90b","#dcebdd"
"E 45-85B","e-45-85b","#d2e1d5"
"E 45-80B","e-45-80b","#c5d2c7"
"E 45-70B","e-45-70b","#abb7ae"
"E 45-60B","e-45-60b","#8e9a92"
"E 45-50B","e-45-50b","#768179"
"E 45-30D","e-45-30d","#37473b"
"E 45-90A","e-45-90a","#e2e9e2"
"E 45-85A","e-45-85a","#d5dcd6"
"E 45-80A","e-45-80a","#c7cec8"
"E 45-75A","e-45-75a","#bac1bb"
"E 45-70A","e-45-70a","#afb5af"
"E 45-65A","e-45-65a","#a2a7a2"
"E 45-40B","e-45-40b","#566059"
"E 45-30B","e-45-30b","#3b423c"
"E 45-90D","e-45-90d","#d2f0db"
"E 45-80D","e-45-80d","#b6d0bf"
"E 45-70D","e-45-70d","#9cb3a4"
"E 45-60D","e-45-60d","#84998c"
"E 45-50D","e-45-50d","#6b8071"
"E 45-50H","e-45-50h","#548067"
"E 45-40D","e-45-40d","#4f6155"
"E 45-30L","e-45-30l","#004e2a"
"E 45-80H","e-45-80h","#a2d5b6"
"E 45-70H","e-45-70h","#88ba9d"
"E 45-60H","e-45-60h","#709d83"
"E 45-60L","e-45-60l","#60a87f"
"E 45-50H","e-45-50h","#558374"
"E 45-40D","e-45-40d","#51645c"
"E 45-30L","e-45-30l","#004c32"
"E 45-20H","e-45-20h","#00321c"
"E 45-80H","e-45-80h","#9dd5c0"
"E 45-70H","e-45-70h","#87b9a6"
"E 45-70B","e-45-70b","#a7b5ae"
"E 52-60H","e-52-60h","#6aa393"
"E 52-70L","e-52-70l","#6fc4ad"
"E 52-60L","e-52-60l","#50a792"
"E 52-50L","e-52-50l","#328977"
"E 52-40L","e-52-40l","#006f5e"
"E 52-70D","e-52-70d","#9cb8ae"
"E 55-75A","e-55-75a","#bbc1be"
"E 55-70A","e-55-70a","#b1b7b5"
"E 55-60B","e-55-60b","#8b9996"
"E 55-50B","e-55-50b","#717d7a"
"E 55-40B","e-55-40b","#566260"
"E 55-30B","e-55-30b","#394442"
"E 55-20B","e-55-20b","#181e18"
"E 55-90A","e-55-90a","#e1ebe6"
"E 55-85A","e-55-85a","#d8dfdb"
"E 55-80A","e-55-80a","#cad1ce"
"E 55-80B","e-55-80b","#c1d0cb"
"E 55-70B","e-55-70b","#a9b7b3"
"E 55-60D","e-55-60d","#819b95"
"E 55-50D","e-55-50d","#677f7b"
"E 55-40D","e-55-40d","#4d6561"
"E 55-90B","e-55-90b","#deefe9"
