"Flat","flat","#aaafb4"
"KM3053-2 Barrymore","km3053-2-barrymore","#a1a0b3"
"KM3054-3 Suzette","km3054-3-suzette","#817f96"
"KM3055-3 Vintage Velvet","km3055-3-vintage-velvet","#716e85"
"KM3056-5 Royal Treatment","km3056-5-royal-treatment","#524e5d"
"KM3057-1 Tentative Dawn","km3057-1-tentative-dawn","#e1e0e8"
"KM3058-1 Pastel Princess","km3058-1-pastel-princess","#d6d6e3"
"KM3059-1 Pick of the Patch","km3059-1-pick-of-the-patch","#cccade"
"KM3060-2 Lined with Lilacs","km3060-2-lined-with-lilacs","#b1b2ce"
"KM3061-2 Royal Glimmer","km3061-2-royal-glimmer","#9da0c1"
"KM3062-3 Grape Gathering","km3062-3-grape-gathering","#8788ae"
"KM3063-5 Plum Berry","km3063-5-plum-berry","#71749c"
"KM3064-5 Rare Orchid","km3064-5-rare-orchid","#555374"
"KM3065-1 Purple Haze","km3065-1-purple-haze","#e3e3ec"
"KM3066-1 Little Cutie","km3066-1-little-cutie","#d9dae8"
"KM3067-1 Flora Vista","km3067-1-flora-vista","#cbcee6"
"KM3068-1 Peak of Perfection","km3068-1-peak-of-perfection","#bfc3e3"
"KM3069-2 Petal Soft","km3069-2-petal-soft","#b3b9dd"
"KM3070-2 Adora","km3070-2-adora","#9ba1d0"
"KM3071-3 Exotic Beauty","km3071-3-exotic-beauty","#7075af"
"KM3072-5 Petulant Pat","km3072-5-petulant-pat","#595a93"
"KM3073-1 Alicia","km3073-1-alicia","#eff0ee"
"KM3074-1 Edge of Dawn","km3074-1-edge-of-dawn","#e3e6eb"
"KM3075-1 Beautiful Berry","km3075-1-beautiful-berry","#ced4e7"
"KM3076-1 Berry Blush","km3076-1-berry-blush","#bcc4e3"
"KM3077-2 Roswell","km3077-2-roswell","#b1bcdd"
"KM3078-2 Florette","km3078-2-florette","#94a1d1"
"KM3079-3 Purple Wave","km3079-3-purple-wave","#717bb4"
"KM3080-5 Georgian Court","km3080-5-georgian-court","#4c4e81"
"KM3081-1 Loyalist","km3081-1-loyalist","#e5e7ea"
"KM3082-1 Little Grapette","km3082-1-little-grapette","#d1d5e3"
"KM3083-1 Violet Vista","km3083-1-violet-vista","#b9c0d5"
"KM3084-2 Purple Paradis","km3084-2-purple-paradis","#b0b8ce"
"KM3085-2 Purple Moon","km3085-2-purple-moon","#959eb9"
"KM3086-3 Premiere Purple","km3086-3-premiere-purple","#7e86a4"
"KM3087-3 Mountain Vale","km3087-3-mountain-vale","#6a7492"
"KM3088-5 Grand Grape","km3088-5-grand-grape","#4c4e65"
"KM3089-1 Real Time","km3089-1-real-time","#e0e4e6"
"KM3090-1 Romance in Bloom","km3090-1-romance-in-bloom","#d8dbe1"
"KM3091-1 Kecia","km3091-1-kecia","#c4cad5"
"KM3092-1 Favorite Things","km3092-1-favorite-things","#b5bbca"
"KM3093-2 Purpley Puff","km3093-2-purpley-puff","#abb3c0"
"KM3094-2 Tiannas Eyes","km3094-2-tiannas-eyes","#8e97a8"
"KM3095-3 Flirty Fran","km3095-3-flirty-fran","#646b7d"
"KM3096-5 Pantry Plum","km3096-5-pantry-plum","#494c58"
"KM3097-1 Icy Blue","km3097-1-icy-blue","#eaefef"
"KM3098-1 Moondancing","km3098-1-moondancing","#dce6ed"
"KM3099-1 Breezy Blue","km3099-1-breezy-blue","#c9d9eb"
"KM3100-1 Morning Sky","km3100-1-morning-sky","#b2c7e6"
"KM3101-2 Prince Charming","km3101-2-prince-charming","#a8c0e3"
"KM3102-2 Royal Regatta","km3102-2-royal-regatta","#89a6d6"
"KM3103-3 Blue Bounty","km3103-3-blue-bounty","#5e7bb6"
"KM3104-5 Evening Magic","km3104-5-evening-magic","#445183"
"KM3105-1 Blue Brush Stroke","km3105-1-blue-brush-stroke","#e4e8e9"
"KM3106-1 Blue Dawn","km3106-1-blue-dawn","#cbd9e8"
"KM3107-1 By the Bay","km3107-1-by-the-bay","#bacce2"
"KM3108-1 Scuba Blue","km3108-1-scuba-blue","#b0c5de"
"KM3109-2 Washed Indigo","km3109-2-washed-indigo","#a7bdd9"
