"Krautol Khaki 18","krautol-khaki-18","#e4e3d5"
"Krautol Korallenrot 11","krautol-korallenrot-11","#f5936b"
"Krautol Korallenrot 12","krautol-korallenrot-12","#fba282"
"Krautol Korallenrot 13","krautol-korallenrot-13","#fbb89f"
"Krautol Korallenrot 14","krautol-korallenrot-14","#f8c6af"
"Krautol Korallenrot 15","krautol-korallenrot-15","#fad5c2"
"Krautol Korallenrot 16","krautol-korallenrot-16","#f8dcc6"
"Krautol Korallenrot 17","krautol-korallenrot-17","#f5e3d1"
"Krautol Korallenrot 18","krautol-korallenrot-18","#f1eadb"
"Krautol Lehm 11","krautol-lehm-11","#9b7856"
"Krautol Lehm 12","krautol-lehm-12","#ac8c6a"
"Krautol Lehm 13","krautol-lehm-13","#bd9f81"
"Krautol Lehm 14","krautol-lehm-14","#cdb294"
"Krautol Lehm 15","krautol-lehm-15","#d5bfa5"
"Krautol Lehm 16","krautol-lehm-16","#e2cfb9"
"Krautol Lehm 17","krautol-lehm-17","#e7d9c5"
"Krautol Lehm 18","krautol-lehm-18","#eadfce"
"Krautol Limonengelb 11","krautol-limonengelb-11","#eec928"
"Krautol Limonengelb 12","krautol-limonengelb-12","#fcda53"
"Krautol Limonengelb 13","krautol-limonengelb-13","#fdde73"
"Krautol Limonengelb 14","krautol-limonengelb-14","#fce58e"
"Krautol Limonengelb 15","krautol-limonengelb-15","#f9e99f"
"Krautol Limonengelb 16","krautol-limonengelb-16","#f9ecb5"
"Krautol Limonengelb 17","krautol-limonengelb-17","#f3eac2"
"Krautol Limonengelb 18","krautol-limonengelb-18","#f1edcf"
"Krautol Linde 11","krautol-linde-11","#b19742"
"Krautol Linde 12","krautol-linde-12","#bca557"
"Krautol Linde 13","krautol-linde-13","#c8b36d"
"Krautol Linde 14","krautol-linde-14","#d3c082"
"Krautol Linde 15","krautol-linde-15","#dece96"
"Krautol Linde 16","krautol-linde-16","#e1d6ab"
"Krautol Linde 17","krautol-linde-17","#ebe2be"
"Krautol Linde 18","krautol-linde-18","#ede6ca"
"Krautol Lorbeergruen 11","krautol-lorbeergruen-11","#8c8060"
"Krautol Lorbeergruen 12","krautol-lorbeergruen-12","#9d9372"
"Krautol Lorbeergruen 13","krautol-lorbeergruen-13","#a9a185"
"Krautol Lorbeergruen 14","krautol-lorbeergruen-14","#b7b096"
"Krautol Lorbeergruen 15","krautol-lorbeergruen-15","#c8c4ac"
"Krautol Lorbeergruen 16","krautol-lorbeergruen-16","#d5d0bd"
"Krautol Lorbeergruen 17","krautol-lorbeergruen-17","#e1ddcb"
"Krautol Lorbeergruen 18","krautol-lorbeergruen-18","#ede9d8"
"Krautol Magentapink 11","krautol-magentapink-11","#c35b7c"
"Krautol Magentapink 12","krautol-magentapink-12","#cd6a8f"
"Krautol Magentapink 13","krautol-magentapink-13","#d67ba2"
"Krautol Magentapink 14","krautol-magentapink-14","#df90b4"
"Krautol Magentapink 15","krautol-magentapink-15","#e8a6c6"
"Krautol Magentapink 16","krautol-magentapink-16","#e9b5cd"
"Krautol Magentapink 17","krautol-magentapink-17","#eec8d9"
"Krautol Magentapink 18","krautol-magentapink-18","#eed6df"
"Krautol Magentarot 11","krautol-magentarot-11","#9e5876"
"Krautol Magentarot 12","krautol-magentarot-12","#b0698b"
"Krautol Magentarot 13","krautol-magentarot-13","#bb7a9d"
"Krautol Magentarot 14","krautol-magentarot-14","#cc8eae"
"Krautol Magentarot 15","krautol-magentarot-15","#dca6c4"
"Krautol Magentarot 16","krautol-magentarot-16","#e5b8d1"
"Krautol Magentarot 17","krautol-magentarot-17","#eac7d7"
"Krautol Magentarot 18","krautol-magentarot-18","#f0d9e3"
"Krautol Mandelbraun 11","krautol-mandelbraun-11","#bf8355"
"Krautol Mandelbraun 12","krautol-mandelbraun-12","#ce946b"
"Krautol Mandelbraun 13","krautol-mandelbraun-13","#d5a37b"
"Krautol Mandelbraun 14","krautol-mandelbraun-14","#e3b891"
"Krautol Mandelbraun 15","krautol-mandelbraun-15","#e7c6a7"
"Krautol Mandelbraun 16","krautol-mandelbraun-16","#ecd1b3"
"Krautol Mandelbraun 17","krautol-mandelbraun-17","#f1dec5"
"Krautol Mandelbraun 18","krautol-mandelbraun-18","#ede1ce"
"Krautol Mimose 11","krautol-mimose-11","#dca940"
"Krautol Mimose 12","krautol-mimose-12","#e5b852"
"Krautol Mimose 13","krautol-mimose-13","#f0c76c"
"Krautol Mimose 14","krautol-mimose-14","#f2d081"
"Krautol Mimose 15","krautol-mimose-15","#f4d995"
"Krautol Mimose 16","krautol-mimose-16","#f8e4b3"
"Krautol Mimose 17","krautol-mimose-17","#f7eac4"
"Krautol Mimose 18","krautol-mimose-18","#f2e9cb"
"Krautol Minze 11","krautol-minze-11","#658a59"
"Krautol Minze 12","krautol-minze-12","#789b6a"
"Krautol Minze 13","krautol-minze-13","#8ead83"
"Krautol Minze 14","krautol-minze-14","#a0be97"
"Krautol Minze 15","krautol-minze-15","#b7d0b1"
"Krautol Minze 16","krautol-minze-16","#c5d8be"
"Krautol Minze 17","krautol-minze-17","#d3e3cb"
"Krautol Minze 18","krautol-minze-18","#dde9ce"
"Krautol Mohnrot 11","krautol-mohnrot-11","#d05666"
"Krautol Mohnrot 12","krautol-mohnrot-12","#dd6f80"
"Krautol Mohnrot 13","krautol-mohnrot-13","#e38a97"
"Krautol Mohnrot 14","krautol-mohnrot-14","#eaa1ab"
"Krautol Mohnrot 15","krautol-mohnrot-15","#f0bac0"
"Krautol Mohnrot 16","krautol-mohnrot-16","#f0c6c9"
"Krautol Mohnrot 17","krautol-mohnrot-17","#eed4d2"
"Krautol Mohnrot 18","krautol-mohnrot-18","#ebdfd8"
"Krautol Oliv 11","krautol-oliv-11","#767e5b"
"Krautol Oliv 12","krautol-oliv-12","#899371"
"Krautol Oliv 13","krautol-oliv-13","#9da789"
"Krautol Oliv 14","krautol-oliv-14","#b1b99c"
"Krautol Oliv 15","krautol-oliv-15","#c1c9b0"
"Krautol Oliv 16","krautol-oliv-16","#ccd2bb"
"Krautol Oliv 17","krautol-oliv-17","#dce1ca"
"Krautol Oliv 18","krautol-oliv-18","#e0e4cc"
"Krautol Petrol 11","krautol-petrol-11","#44807d"
"Krautol Petrol 12","krautol-petrol-12","#549593"
"Krautol Petrol 13","krautol-petrol-13","#71acac"
