"S 0560-Y","s-0560-y","#fccf4d"
"S 0550-Y","s-0550-y","#fad568"
"S 1060-Y","s-1060-y","#ebc344"
"S 0505-Y10R","s-0505-y10r","#f5edd6"
"S 0510-Y10R","s-0510-y10r","#f8eac3"
"S 0520-Y10R","s-0520-y10r","#f9e3af"
"S 0530-Y10R","s-0530-y10r","#fcd994"
"S 0540-Y10R","s-0540-y10r","#ffd884"
"S 0550-Y10R","s-0550-y10r","#ffcf69"
"S 1060-Y10R","s-1060-y10r","#f4ba43"
"S 0505-Y20R","s-0505-y20r","#f7efd7"
"S 0510-Y20R","s-0510-y20r","#f8e6c4"
"S 0520-Y20R","s-0520-y20r","#fcdca6"
"S 0530-Y20R","s-0530-y20r","#fdd393"
"S 0540-Y20R","s-0540-y20r","#ffca7d"
"S 0550-Y20R","s-0550-y20r","#ffc268"
"S 1060-Y20R","s-1060-y20r","#f5ac48"
"S 0505-Y30R","s-0505-y30r","#f7ecd6"
"S 0510-Y30R","s-0510-y30r","#fae5c7"
"S 0520-Y30R","s-0520-y30r","#f9d6ac"
"S 0530-Y30R","s-0530-y30r","#feca90"
"S 0540-Y30R","s-0540-y30r","#ffbf7d"
"S 0550-Y30R","s-0550-y30r","#ffb56a"
"S 1060-Y30R","s-1060-y30r","#ef9e4a"
"S 0505-Y50R","s-0505-y50r","#f4e6d3"
"S 0510-Y50R","s-0510-y50r","#fae3ce"
"S 0520-Y50R","s-0520-y50r","#facdac"
"S 0530-Y50R","s-0530-y50r","#ffbf97"
"S 0540-Y50R","s-0540-y50r","#feb283"
"S 0550-Y50R","s-0550-y50r","#fda26f"
"S 1060-Y50R","s-1060-y50r","#ea8952"
"S 0505-Y70R","s-0505-y70r","#f5e8de"
"S 0510-Y70R","s-0510-y70r","#f9dece"
"S 0520-Y70R","s-0520-y70r","#f7c9b5"
"S 0530-Y70R","s-0530-y70r","#fbb9a2"
"S 0540-Y70R","s-0540-y70r","#f9a78e"
"S 0550-Y70R","s-0550-y70r","#fa9a7b"
"S 1060-Y70R","s-1060-y70r","#e67a5f"
"S 0505-Y90R","s-0505-y90r","#f4e8e1"
"S 0510-Y90R","s-0510-y90r","#f8e0d8"
"S 0520-Y90R","s-0520-y90r","#f9cdc4"
"S 0530-Y90R","s-0530-y90r","#f9bbb3"
"S 0540-Y90R","s-0540-y90r","#f4a5a0"
"S 0550-Y90R","s-0550-y90r","#ed8f89"
"S 1060-Y90R","s-1060-y90r","#e37773"
"S 0505-R10B","s-0505-r10b","#efe5e3"
"S 0510-R10B","s-0510-r10b","#f4e1e0"
"S 0520-R10B","s-0520-r10b","#f1cbce"
"S 0530-R10B","s-0530-r10b","#f2bbc3"
"S 0540-R10B","s-0540-r10b","#f0a8b3"
"S 0550-R10B","s-0550-r10b","#e992a0"
"S 1060-R10B","s-1060-r10b","#d98391"
"S 0505-R30B","s-0505-r30b","#f4eaeb"
"S 0510-R20B","s-0510-r20b","#f2e1e1"
"S 0520-R30B","s-0520-r30b","#f2d5e0"
"S 0530-R30B","s-0530-r30b","#ebbed4"
"S 0540-R30B","s-0540-r30b","#eeb0d1"
"S 1040-R30B","s-1040-r30b","#db9fbf"
"S 1050-R30B","s-1050-r30b","#d583af"
"S 0505-R40B","s-0505-r40b","#ece7e8"
"S 0510-R40B","s-0510-r40b","#ede3e8"
"S 0520-R40B","s-0520-r40b","#e8d2e3"
"S 0530-R40B","s-0530-r40b","#e2c2dd"
"S 1040-R40B","s-1040-r40b","#d3a4cc"
"S 1050-R40B","s-1050-r40b","#ca8dc3"
"S 2050-R40B","s-2050-r40b","#aa6ca2"
"S 0505-R50B","s-0505-r50b","#ebe8e9"
"S 0510-R50B","s-0510-r50b","#eae5ea"
"S 0520-R50B","s-0520-r50b","#ded4e5"
"S 0530-R50B","s-0530-r50b","#d5c1e2"
"S 1040-R50B","s-1040-r50b","#c5a7d7"
"S 2050-R50B","s-2050-r50b","#a176b2"
"S 3050-R50B","s-3050-r50b","#865b97"
"S 0505-R60B","s-0505-r60b","#ebeced"
"S 0510-R60B","s-0510-r60b","#e4e4ea"
"S 0520-R60B","s-0520-r60b","#d5d6e8"
"S 0525-R60B","s-0525-r60b","#cdcbe8"
"S 1040-R60B","s-1040-r60b","#b5acde"
"S 2050-R60B","s-2050-r60b","#8d7dbe"
"S 3050-R60B","s-3050-r60b","#7360a2"
"S 0505-R70B","s-0505-r70b","#e9eceb"
"S 0510-R70B","s-0510-r70b","#dfe4eb"
"S 0520-R70B","s-0520-r70b","#ced9e9"
"S 0525-R70B","s-0525-r70b","#c4d0e9"
"S 1040-R70B","s-1040-r70b","#a4b3e2"
"S 1550-R70B","s-1550-r70b","#8a9cd6"
"S 2050-R70B","s-2050-r70b","#7787c3"
"S 0505-R80B","s-0505-r80b","#e5eaea"
"S 0510-R80B","s-0510-r80b","#dae5ea"
"S 0520-R80B","s-0520-r80b","#c8dcea"
"S 0530-R80B","s-0530-r80b","#b0cee7"
"S 1040-R80B","s-1040-r80b","#93b8e0"
"S 1550-R80B","s-1550-r80b","#73a2d7"
"S 1555-R80B","s-1555-r80b","#6493cf"
"S 0505-R90B","s-0505-r90b","#e3eae9"
"S 0510-R90B","s-0510-r90b","#dae8ed"
"S 0520-R90B","s-0520-r90b","#c1dbe8"
"S 0530-R90B","s-0530-r90b","#a9cfe6"
"S 0540-R90B","s-0540-r90b","#93c6e8"
"S 1050-R90B","s-1050-r90b","#6cb2e1"
"S 1560-R90B","s-1560-r90b","#3592ca"
"S 0505-B","s-0505-b","#dfeaea"
"S 0510-B","s-0510-b","#d4e5e8"
"S 0520-B","s-0520-b","#c0e1e7"
"S 0530-B","s-0530-b","#a4d7e7"
"S 0540-B","s-0540-b","#87c5d9"
"S 1050-B","s-1050-b","#59b4d2"
"S 1060-B","s-1060-b","#23aad4"
"S 0505-B10G","s-0505-b10g","#e3eeea"
"S 0510-B10G","s-0510-b10g","#d5e8e7"
"S 0520-B10G","s-0520-b10g","#b9dfe3"
"S 0530-B10G","s-0530-b10g","#9cd6e0"
"S 0540-B10G","s-0540-b10g","#83d0dd"
"S 1050-B10G","s-1050-b10g","#4bb9cf"
"S 2050-B10G","s-2050-b10g","#2e9fb5"
"S 0505-B50G","s-0505-b50g","#e3ede9"
"S 0510-B50G","s-0510-b50g","#d4e8e5"
"S 0520-B50G","s-0520-b50g","#bee4de"
"S 0530-B50G","s-0530-b50g","#a5e3db"
"S 1040-B50G","s-1040-b50g","#72cac1"
"S 1050-B50G","s-1050-b50g","#3fc3b9"
"S 2060-B50G","s-2060-b50g","#009f95"
"S 0505-G","s-0505-g","#ecf2e8"
"S 0510-B90G","s-0510-b90g","#deefe3"
"S 0520-B90G","s-0520-b90g","#c5e9d5"
"S 0530-B90G","s-0530-b90g","#abe5c9"
"S 1040-B90G","s-1040-b90g","#7ecfb0"
"S 1050-B90G","s-1050-b90g","#61c9a4"
"S 2050-B90G","s-2050-b90g","#35a986"
"S 0505-G10Y","s-0505-g10y","#ebf0e3"
"S 0510-G10Y","s-0510-g10y","#e2eedd"
"S 0520-G10Y","s-0520-g10y","#cbe9cb"
"S 0530-G10Y","s-0530-g10y","#b5e1b7"
"S 0540-G10Y","s-0540-g10y","#a7dda8"
"S 0550-G10Y","s-0550-g10y","#8dd994"
"S 0560-G10Y","s-0560-g10y","#71c97d"
"S 0505-G30Y","s-0505-g30y","#ecefe1"
"S 0510-G30Y","s-0510-g30y","#e3edd5"
"S 0520-G30Y","s-0520-g30y","#d5e5bf"
"S 0530-G30Y","s-0530-g30y","#c6e1aa"
"S 0540-G30Y","s-0540-g30y","#b6dc96"
"S 0550-G30Y","s-0550-g30y","#add77d"
"S 0560-G30Y","s-0560-g30y","#a0cd66"
"S 0505-G50Y","s-0505-g50y","#f0f2df"
"S 0510-G50Y","s-0510-g50y","#e7ecd2"
"S 0520-G50Y","s-0520-g50y","#e5edba"
"S 0530-G50Y","s-0530-g50y","#d7e49f"
"S 0540-G50Y","s-0540-g50y","#d2e08c"
"S 0550-G50Y","s-0550-g50y","#cadc71"
"S 0560-G50Y","s-0560-g50y","#c2d657"
"S 0505-G70Y","s-0505-g70y","#f2f1de"
"S 0510-G70Y","s-0510-g70y","#f0f1cd"
"S 0520-G70Y","s-0520-g70y","#edeeb5"
"S 0530-G70Y","s-0530-g70y","#eaed9f"
"S 0540-G70Y","s-0540-g70y","#e7e882"
"S 0550-G70Y","s-0550-g70y","#e4e368"
"S 0560-G70Y","s-0560-g70y","#dedd4f"
"S 0505-G80Y","s-0505-g80y","#f2f0db"
"S 0510-G80Y","s-0510-g80y","#efedca"
"S 0520-G80Y","s-0520-g80y","#f2ebb3"
"S 0530-G80Y","s-0530-g80y","#eee79e"
"S 0540-G80Y","s-0540-g80y","#ede582"
"S 0550-G80Y","s-0550-g80y","#e7de66"
"S 0560-G80Y","s-0560-g80y","#e4d947"
"S 0505-G90Y","s-0505-g90y","#f5f2dd"
"S 0510-G90Y","s-0510-g90y","#f2eecc"
"S 0520-G90Y","s-0520-g90y","#f2e9af"
