"Magical Moonlight","1045-1","#f0eeeb"
"Barely Rose","1045-2","#ede0e3"
"Santolina Blooms","1045-3","#e3d0d5"
"Pink Potion","1045-4","#ceaebb"
"Keepsake Rose","1045-5","#b08693"
"Wild Geranium","1045-6","#986a79"
"Chilled Wine","1045-7","#6d4052"
"Milk And Cookies","1046-1","#e9e1df"
"Magic Moments","1046-2","#e9dbe0"
"Old Mission Pink","1046-3","#d8c2ca"
"High Society","1046-4","#cab7c0"
"Gothic Amethyst","1046-5","#a38b93"
"Velvet Slipper","1046-6","#846c76"
"Purple Basil","1046-7","#5c4450"
"Forever Faithful","1047-1","#efe6e1"
"Lost Love","1047-2","#e5d7d4"
"Just Gorgeous","1047-3","#d6c4c1"
"Ancestral","1047-4","#d0c1c3"
"Coffee Custard","1047-5","#ab9b9c"
"Choo Choo","1047-6","#867578"
"Carob Chip","1047-7","#5a484b"
"Lauren's Lace","1048-1","#efeae7"
"Silk Sheets","1048-2","#efdddf"
"Rose Cloud","1048-3","#e2c9ce"
"Rose Stain","1048-4","#d3b6ba"
"Coffee Rose","1048-5","#a9898d"
"Chocolate Sparkle","1048-6","#8c6c6f"
"Gooseberry","1048-7","#604046"
"Snowy Mount","1049-1","#f1eeeb"
"Sweet Bianca","1049-2","#eedadd"
"Nostalgia","1049-3","#d6b8bd"
"Lighthearted Rose","1049-4","#c7a1a9"
"Mauve Madness","1049-5","#aa7982"
"Cabernet","1049-6","#8e5b68"
"Red Red Wine","1049-7","#71424a"
"Bare Pink","1050-1","#f2e7e7"
"Pink Pail","1050-2","#eaced4"
"Love In A Mist","1050-3","#e1b9c2"
"Madagascar Pink","1050-4","#d194a1"
"Briar Rose","1050-5","#c07281"
"Heart's Content","1050-6","#a9586c"
"Magenta","1050-7","#953d55"
"Cozy Cottage","1051-1","#f2ddd8"
"Pink Cardoon","1051-2","#ecc9ca"
"Strawberry Mousse","1051-3","#e9b3b4"
"Pink Clay Pot","1051-4","#d99294"
"Cranberry","1051-5","#c27277"
"Grenadine","1051-6","#ac545e"
"Apple-a-day","1051-7","#903f45"
"Ginger Cream","1052-1","#efe0d7"
"Brandy Alexander","1052-2","#f3e2dc"
"Strawflower","1052-3","#ddbdba"
"Floral Tapestry","1052-4","#c39191"
"Horizon Glow","1052-5","#ad7171"
"Mesa Red","1052-6","#92555b"
"Ruby Lips","1052-7","#813e45"
"Cow's Milk","1053-1","#f1ede5"
"Shangri La","1053-2","#ecd4d2"
"Powdered Petals","1053-3","#e3c7c6"
"Radiant Rouge","1053-4","#d7b1b2"
"Brandy Snaps","1053-5","#b58e8b"
"Clay Ridge","1053-6","#956a66"
"Burgundy Wine","1053-7","#6c403e"
"Winter Wedding","1054-1","#f1e4dc"
"Sweet Truffle","1054-2","#f0dcd7"
"Whirligig","1054-3","#e6cdca"
"Tea Time","1054-4","#d9bebc"
"Tawny Mushroom","1054-5","#b39997"
"Oakwood Brown","1054-6","#8f716e"
"Chocolate Eclair","1054-7","#674848"
"Fresh Dough","1055-1","#f2ebe6"
"Hawaiian Shell","1055-2","#f3dbd9"
"Rose Hip","1055-3","#dbb9b6"
"Pepperberry","1055-4","#c79d9b"
"Cinnamon Diamonds","1055-5","#a97673"
"Barn Door","1055-6","#8e5959"
"Bordeaux","1055-7","#774041"
"Sea Anemone","1056-1","#e8dad6"
"Romeo","1056-2","#e3d2ce"
"Ashes Of Roses","1056-3","#d9bcb7"
"Raffia Cream","1056-4","#cda09a"
"Earth Rose","1056-5","#b57770"
"Fire Weed","1056-6","#9b5b55"
"Brick Dust","1056-7","#86423e"
"Macadamia Nut","1057-1","#eee3dd"
"Cool Melon","1057-2","#ebd1cd"
"Rose Petal","1057-3","#e6c1bb"
"Coral Cove","1057-4","#dda69f"
"Chili Pepper","1057-5","#ca7c74"
"Sienna Red","1057-6","#b1635e"
"Burning Bush","1057-7","#a0403e"
"Potpourri","1058-1","#f1e0db"
"Cameo Peach","1058-2","#ebcfc9"
"Tangy Taffy","1058-3","#e7cac3"
"Mesa Pink","1058-4","#ddb1a8"
"Sunstone","1058-5","#c7887f"
"Pizza Pie","1058-6","#ab6057"
"Autumn Ridge","1058-7","#9b423f"
"Apricot Cream","1059-1","#eeded8"
"Birthday Cake","1059-2","#e9d2cc"
"Reindeer","1059-3","#dac0ba"
"Parfait","1059-4","#c8a6a1"
"Ferris Wheel","1059-5","#ad7d76"
"Canyon Stone","1059-6","#93625b"
"Sweet Spiceberry","1059-7","#7b453e"
"Winter Peach","1060-1","#ebd9d0"
"China Silk","1060-2","#e3d1cc"
"Kangaroo Paw","1060-3","#decac5"
"Velveteen Crush","1060-4","#cdaea5"
"Bedford Brown","1060-5","#aa8880"
"Raspberry Truffle","1060-6","#8a5d55"
"Warm Mahogany","1060-7","#6d4741"
"Irish Cream","1061-1","#efe7df"
"Wistful Beige","1061-2","#eaddd7"
"Belle Of The Ball","1061-3","#e3cbc0"
"Just Rosey","1061-4","#c4a295"
"Cappucino Bombe","1061-5","#b4897d"
"Safari Brown","1061-6","#976c60"
"Bigfoot","1061-7","#715145"
"Butter Icing","1062-1","#efe3d9"
"Coral Cream","1062-2","#ead6ce"
"Ginger Shortbread","1062-3","#e3cec6"
"Sandpaper","1062-4","#d7b1a5"
"Big Cypress","1062-5","#b98675"
"Apple Brown Betty","1062-6","#9c6757"
"Warm Wassail","1062-7","#864f3e"
"Polo Tan","1063-1","#f4e5dd"
"Spice Cookie","1063-2","#f0ded3"
"Pale Coral","1063-3","#f2d1c4"
"Georgia Peach","1063-4","#ecbdb0"
"Orange Essential","1063-5","#d1907c"
"Crushed Cinnamon","1063-6","#b7735e"
"Ancient Copper","1063-7","#9f543e"
"Aubergine","1064-1","#f2e4dd"
"Pink Chablis","1064-2","#f4ded9"
"Texas Rose","1064-3","#f1d2c9"
"Peach Beige","1064-4","#ecbcb2"
"Holland Tile","1064-5","#dd9789"
"Sahara Sun","1064-6","#c67363"
"Rum Raisin","1064-7","#a4493d"
"Chantilly Lace","1065-1","#f1e2de"
"Fiesta","1065-2","#edd8d2"
"Honeysweet","1065-3","#e9cfc8"
"Sweet Peach","1065-4","#e2bcb3"
"Mexican Moonlight","1065-5","#c99387"
"Cinnabar","1065-6","#ae6456"
"Cedar Chest","1065-7","#91493e"
"Siesta Sands","1066-1","#f1e6e0"
"Slightly Peach","1066-2","#f1ddd8"
"Cool Cantaloupe","1066-3","#f1d3ca"
"Adorable","1066-4","#e3beb0"
"Copper Trail","1066-5","#c18978"
"Amaretto","1066-6","#ab6f60"
"Baked Bean","1066-7","#8c4f42"
"Pine Hutch","1067-1","#ecdbd2"
"Bare Beige","1067-2","#e8d3c9"
"Au Naturel","1067-3","#e8cac0"
"Summer Tan","1067-4","#e0b4a4"
"Copper Beech","1067-5","#b1715a"
"Warm Up","1067-6","#9e6654"
"Burled Redwood","1067-7","#8f4c3a"
"Sweet Gardenia","1068-1","#efe4da"
"Sablewood","1068-2","#ecdfd6"
"Sultan Sand","1068-3","#e3c9be"
"Suntan","1068-4","#d9b19f"
"Terrazzo Tan","1068-5","#be8973"
"Nutmeg","1068-6","#a8715a"
"Spiced Cider","1068-7","#915b41"
"Nosegay","1069-1","#efdbcd"
"Scotchtone","1069-2","#ebccb9"
"Starfish","1069-3","#e5bca5"
"Orange Maple","1069-4","#d3a083"
"Honey Graham","1069-5","#bc886a"
"Foxfire Brown","1069-6","#9f6949"
"Cinnamon Spice","1069-7","#935f43"
"Canyon Peach","1070-1","#eedacb"
"Blush Beige","1070-2","#edd5c7"
"Tantalizing Tan","1070-3","#e7c3ac"
"Clay Fire","1070-4","#d8a686"
"Hitching Post","1070-5","#c48d69"
"Ginger Spice","1070-6","#a66e49"
"Cinnamon Stick","1070-7","#966544"
"South Peak","1071-1","#eadfd2"
"Enjoy","1071-2","#ead4c4"
"Birthday Suit","1071-3","#e2c7b6"
"Cinnamon Ice","1071-4","#dbbba7"
"Cool Clay","1071-5","#ba947b"
"Prairie Fire","1071-6","#996e5a"
"Spiced Cinnamon","1071-7","#805b48"
"Almond Roca","1072-1","#f0e8e0"
"Sandy Beach","1072-2","#e9dad2"
"Wild Rice","1072-3","#d5bfb4"
"Taupe Tapestry","1072-4","#c3a79a"
"Tattered Teddy","1072-5","#a2806f"
"Suede Leather","1072-6","#896757"
"Bird House Brown","1072-7","#6c483a"
"Lotus Petal","1073-1","#f2e9dc"
"Malted Milk","1073-2","#e8d9ce"
"Pale Taupe","1073-3","#e3d1c8"
"Pueblo","1073-4","#d0bbb0"
"Tanglewood","1073-5","#a58f85"
"Derby Brown","1073-6","#8a7265"
"Fudge","1073-7","#63493e"
"Pearls And Lace","1074-1","#eee6db"
"Moroccan Moonlight","1074-2","#eae0d4"
"Bermuda Sand","1074-3","#dacbbf"
"Notorious","1074-4","#bda998"
"Peppered Pecan","1074-5","#957d6f"
"Caramelized Walnut","1074-6","#6e564a"
"Little Bear","1074-7","#604b42"
"Linen Ruffle","1075-1","#efebe3"
"Indian Muslin","1075-2","#eae3d8"
"Casual Elegance","1075-3","#dfd5c8"
"Thumper","1075-4","#bdada4"
"Ranch Mink","1075-5","#968379"
"Poppy Pods","1075-6","#736157"
"Fudge Truffle","1075-7","#604a3f"
"Fuzzy Unicorn","1076-1","#eae3db"
"Ash","1076-2","#e4ded5"
"Gotta Have It","1076-3","#d0c2b4"
"Cuppa Coffee","1076-4","#b09f8f"
"Locomotion","1076-5","#988171"
"Warrior","1076-6","#7d685b"
"Ground Coffee","1076-7","#63554b"
"Berkshire Lace","1077-1","#f0e1cf"
"Sandpiper","1077-2","#ebdac8"
"Persuasion","1077-3","#c4ae96"
"Weathered Wood","1077-4","#b19c86"
"Chocolate Moment","1077-5","#998069"
"Salted Pretzel","1077-6","#816b56"
"Coffee House","1077-7","#6c5b4d"
"Cream Puff","1078-1","#eee9dc"
"Water Chestnut","1078-2","#e8e1d5"
"Comfort","1078-3","#e3ceb8"
"Kangaroo","1078-4","#c4ad92"
"Confidence","1078-5","#a98a6b"
"Cocoa Delight","1078-6","#8d725a"
"Chocolate Ripple","1078-7","#76604e"
"String Of Pearls","1079-1","#ebe3d8"
"Stone Harbor","1079-2","#e8e0d8"
"Cocoa Cream","1079-3","#dbc8b6"
"Transcend","1079-4","#c3ac98"
"Cocoloco","1079-5","#aa8f7a"
"Caravel Brown","1079-6","#8c6e54"
"Molasses","1079-7","#74563d"
"Oatmeal Cookie","1080-1","#eadac6"
"Pumpkin Cream","1080-2","#e6c8a9"
"Nutmeg Glow","1080-3","#d8b691"
"Siesta Dreams","1080-4","#c9a480"
"Tropical Tan","1080-5","#ba8f68"
"Cinnamon Crunch","1080-6","#a37d5a"
"Slippery Stone","1080-7","#8d6a4a"
"Elegant Ivory","1081-1","#f1e6d6"
"Beachy Keen","1081-2","#e6d0b6"
"My Love","1081-3","#e1c6a8"
"Cinnamon Frost","1081-4","#d3b191"
"Fire Dust","1081-5","#b98d68"
"Cinnamon Twist","1081-6","#9f7250"
"Copper Pot","1081-7","#936647"
"Honeysuckle","1082-1","#eee2d5"
"Shoreland","1082-2","#ead9cb"
"Ice Cream Cone","1082-3","#e3d0bf"
"Weathered Sandstone","1082-4","#dfc0a6"
"Doeskin","1082-5","#c89b75"
"Cowboy Hat","1082-6","#b27d50"
"Ginger","1082-7","#97653c"
"Percale","1083-1","#f0e8dd"
"Euro Linen","1083-2","#f2e8db"
"Oak Buff","1083-3","#eed8c2"
"Malibu Dune","1083-4","#e7ceb5"
"Cheddar Biscuit","1083-5","#d2ad87"
"Caramel Kiss","1083-6","#b08a61"
"Bourbon","1083-7","#926b43"
"Sugar Soap","1084-1","#efe8dc"
"Onion Powder","1084-2","#ece2d4"
"Sourdough","1084-3","#ddcfbc"
"Happy Trails","1084-4","#cdb69b"
"Coffee Kiss","1084-5","#b19576"
"Cocoa Pecan","1084-6","#967b5d"
"Maple Syrup","1084-7","#75583d"
"Blank Canvas","1085-1","#eae4d6"
"Bone White","1085-2","#e4d9c5"
"Seriously Sand","1085-3","#dcccb4"
"Best Beige","1085-4","#c6b49c"
"Sauteed Mushroom","1085-5","#ab9378"
